,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2013,22,CIN,NFL,RB,1.0,0.0,12.0,45.0,0.0,2.0,50.0,12.0,3.8,45.0,12.0,11.0,7.0,73.0,10.4,0.0,4.0,54.5,17.0,7.0,73.0,63.6,6.6,19.0,6.2,118.0,0.0,1.0,
1,2014,23,CIN,NFL,RB,1.0,0.0,3.0,6.0,0.0,0.0,33.3,6.0,2.0,6.0,3.0,9.0,8.0,46.0,5.8,0.0,2.0,44.4,13.0,8.0,46.0,88.9,5.1,11.0,4.7,52.0,0.0,0.0,
2,2015,24,CIN,NFL,RB,1.0,0.0,6.0,28.0,0.0,2.0,16.7,14.0,4.7,28.0,6.0,4.0,2.0,2.0,1.0,0.0,0.0,25.0,4.0,2.0,2.0,50.0,0.5,8.0,3.8,30.0,0.0,1.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021,30,TAM,NFL,RB,2.0,0.0,13.0,44.0,1.0,2.0,46.2,8.0,3.4,22.0,6.5,8.0,5.0,39.0,7.8,0.0,3.0,50.0,22.0,2.5,19.5,62.5,4.9,18.0,4.6,83.0,1.0,0.0,
5,2022,31,TAM,NFL,RB,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,
6,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,6.0,0.0,34.0,123.0,1.0,6.0,41.2,14.0,3.6,20.5,5.7,32.0,22.0,160.0,7.3,0.0,9.0,46.9,22.0,3.7,26.7,68.8,5.0,56.0,5.1,283.0,1.0,2.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,0.0,96.0,349.0,3.0,17.0,41.2,14.0,3.6,20.5,5.7,91.0,62.0,453.0,7.3,0.0,26.0,46.9,22.0,3.7,26.7,68.8,5.0,159.0,5.1,802.0,3.0,6.0,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CIN (3 Yrs),CIN (3 Yrs),CIN (3 Yrs),CIN (3 Yrs),,3.0,0.0,21.0,79.0,0.0,4.0,38.1,14.0,3.8,26.3,7.0,24.0,17.0,121.0,7.1,0.0,6.0,45.8,17.0,5.7,40.3,70.8,5.0,38.0,5.3,200.0,0.0,2.0,
10,TAM (2 Yrs),TAM (2 Yrs),TAM (2 Yrs),TAM (2 Yrs),,3.0,0.0,13.0,44.0,1.0,2.0,46.2,8.0,3.4,14.7,4.3,8.0,5.0,39.0,7.8,0.0,3.0,50.0,22.0,1.7,13.0,62.5,4.9,18.0,4.6,83.0,1.0,0.0,
