,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,116.0,1.0,1.0,2021-09-09,TAM,,DAL,"W, 31-29",,3,2,12,6.0,0,66.7,4.0,0,0,0,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,26.2,0,0.0,7,20.6
1,2.0,117.0,2.0,2.0,2021-09-19,TAM,,ATL,"W, 48-25",,2,2,16,8.0,0,100.0,8.0,0,0,0,,1,16,0,16.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,9.5,0,0.0,4,13.3
2,3.0,118.0,3.0,3.0,2021-09-26,TAM,@,LAR,"L, 24-34",,10,9,51,5.7,1,90.0,5.1,0,0,0,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,1,0,0,1,0,0,33,45.2,0,0.0,7,23.3
3,3.0,,4.0,4.0,2021-10-03,TAM,@,NWE,"W, 19-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,4.0,119.0,5.0,5.0,2021-10-10,TAM,,MIA,"W, 45-17",,2,2,14,7.0,1,100.0,7.0,4,21,0,5.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,23.0,0,0.0,4,14.3
5,5.0,120.0,6.0,6.0,2021-10-14,TAM,@,PHI,"W, 28-22",,2,2,4,2.0,0,100.0,2.0,0,0,0,,0,0,0,,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,12,16.0,0,0.0,4,16.7
6,6.0,121.0,7.0,7.0,2021-10-24,TAM,,CHI,"W, 38-3",,3,2,5,2.5,0,66.7,1.7,0,0,0,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,15.1,0,0.0,2,8.0
7,7.0,122.0,8.0,8.0,2021-10-31,TAM,@,NOR,"L, 27-36",,1,1,7,7.0,1,100.0,7.0,2,30,0,15.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,21.3,0,0.0,11,37.9
8,8.0,123.0,9.0,10.0,2021-11-14,TAM,@,WAS,"L, 19-29",,3,1,4,4.0,0,33.3,1.3,1,4,0,4.0,1,19,0,19.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,14,29.2,0,0.0,7,28.0
9,9.0,124.0,10.0,11.0,2021-11-22,TAM,,NYG,"W, 30-10",,1,1,3,3.0,0,100.0,3.0,0,0,0,,1,18,0,18.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,10.3,0,0.0,6,24.0
