,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,21,PIT,NFL,WR,14.0,7.0,79.0,58.0,917.0,15.8,7.0,37.0,57.0,97.0,4.1,65.5,73.4,11.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,58.0,15.8,917.0,7.0,0.0,10.0,
1,2018,22,PIT,NFL,WR,16.0,13.0,166.0,111.0,1426.0,12.8,7.0,67.0,57.2,97.0,6.9,89.1,66.9,8.6,1.0,13.0,0.0,1.0,100.0,13.0,13.0,0.8,0.1,112.0,12.8,1439.0,7.0,1.0,11.0,PB
2,2019,23,PIT,NFL,WR,12.0,12.0,70.0,42.0,552.0,13.1,3.0,23.0,44.3,76.0,3.5,46.0,60.0,7.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,42.0,13.1,552.0,3.0,1.0,4.0,
3,2020,24,PIT,NFL,WR,16.0,14.0,128.0,97.0,831.0,8.6,9.0,48.0,61.7,31.0,6.1,51.9,75.8,6.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,97.0,8.6,831.0,9.0,3.0,7.0,
4,2021,25,PIT,NFL,WR,5.0,5.0,28.0,15.0,129.0,8.6,0.0,6.0,39.3,24.0,3.0,25.8,53.6,4.6,3.0,9.0,1.0,1.0,33.3,3.0,3.0,1.8,0.6,18.0,7.7,138.0,1.0,0.0,1.0,
5,2022,26,KAN,NFL,WR,16.0,14.0,101.0,78.0,933.0,12.0,3.0,47.0,67.3,53.0,4.9,58.3,77.2,9.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,78.0,12.0,933.0,3.0,3.0,9.0,
6,2023,27,NWE,NFL,WR,11.0,7.0,47.0,29.0,260.0,9.0,1.0,13.0,42.6,37.0,2.6,23.6,61.7,5.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,29.0,9.0,260.0,1.0,0.0,2.0,
7,2024,28,KAN,NFL,WR,14.0,8.0,26.0,18.0,231.0,12.8,2.0,11.0,53.8,50.0,1.3,16.5,69.2,8.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,18.0,12.8,231.0,2.0,0.0,2.0,
8,2025,29,KAN,NFL,WR,3.0,2.0,12.0,10.0,115.0,11.5,0.0,4.0,75.0,27.0,3.3,38.3,83.3,9.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,10.0,11.5,115.0,0.0,0.0,,
9,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,107.0,82.0,657.0,458.0,5394.0,11.8,32.0,256.0,56.6,97.0,4.3,50.4,69.7,8.2,4.0,22.0,1.0,2.0,50.0,13.0,5.5,0.2,0.0,462.0,11.7,5416.0,33.0,8.0,46.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,13.0,104.0,73.0,857.0,11.8,5.0,41.0,56.6,97.0,4.3,50.4,69.7,8.2,1.0,3.0,0.0,0.0,50.0,13.0,5.5,0.2,0.0,73.0,11.7,860.0,5.0,1.0,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PIT (5 Yrs),PIT (5 Yrs),PIT (5 Yrs),PIT (5 Yrs),,63.0,51.0,471.0,323.0,3855.0,11.9,26.0,181.0,55.4,97.0,5.1,61.2,68.6,8.2,4.0,22.0,1.0,2.0,50.0,13.0,5.5,0.3,0.1,327.0,11.9,3877.0,27.0,5.0,33.0,
13,KAN (3 Yrs),KAN (3 Yrs),KAN (3 Yrs),KAN (3 Yrs),,33.0,24.0,139.0,106.0,1279.0,12.1,5.0,62.0,65.5,53.0,3.2,38.8,76.3,9.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,106.0,12.1,1279.0,5.0,3.0,11.0,
14,NWE (1 Yr),NWE (1 Yr),NWE (1 Yr),NWE (1 Yr),,11.0,7.0,47.0,29.0,260.0,9.0,1.0,13.0,42.6,37.0,2.6,23.6,61.7,5.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,29.0,9.0,260.0,1.0,0.0,2.0,
