,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Ret.1,Yds.2,PRTD,Y/Ret.1,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2020-09-13,CLE,@,BAL,"L, 6-38",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2020-09-17,CLE,,CIN,"W, 35-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3.0,2020-09-27,CLE,,WAS,"W, 34-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1.0,1.0,4.0,4.0,2020-10-04,CLE,@,DAL,"W, 49-38",*,0,0,0,,0,,,3,73,0,24.3,1,13,0,13.0,33,43.4,0,0.0,9,29.0
4,2.0,2.0,5.0,5.0,2020-10-11,CLE,,IND,"W, 32-23",,0,0,0,,0,,,5,99,0,19.8,1,5,0,5.0,10,13.7,0,0.0,9,32.1
5,3.0,3.0,6.0,6.0,2020-10-18,CLE,@,PIT,"L, 7-38",,1,0,0,,0,0.0,0.0,4,89,0,22.3,2,6,0,3.0,3,5.3,0,0.0,12,44.4
6,4.0,4.0,7.0,7.0,2020-10-25,CLE,@,CIN,"W, 37-34",,3,3,56,18.7,1,100.0,18.7,2,43,0,21.5,0,0,0,,36,69.2,0,0.0,7,25.0
7,5.0,5.0,8.0,8.0,2020-11-01,CLE,,LVR,"L, 6-16",,0,0,0,,0,,,1,33,0,33.0,0,0,0,,4,8.2,0,0.0,5,27.8
8,6.0,6.0,9.0,10.0,2020-11-15,CLE,,HOU,"W, 10-7",,2,2,16,8.0,0,100.0,8.0,1,1,0,1.0,2,11,0,5.5,16,24.6,0,0.0,5,29.4
9,7.0,7.0,10.0,11.0,2020-11-22,CLE,,PHI,"W, 22-17",,0,0,0,,0,,,1,30,0,30.0,4,22,0,5.5,7,10.4,0,0.0,8,27.6
10,8.0,8.0,11.0,12.0,2020-11-29,CLE,@,JAX,"W, 27-25",,0,0,0,,0,,,0,0,0,,1,4,0,4.0,11,16.4,0,0.0,9,34.6
11,9.0,9.0,12.0,13.0,2020-12-06,CLE,@,TEN,"W, 41-35",,3,2,92,46.0,1,66.7,30.7,0,0,0,,3,1,0,0.3,41,56.2,0,0.0,9,30.0
12,10.0,10.0,13.0,14.0,2020-12-14,CLE,,BAL,"L, 42-47",,5,3,74,24.7,0,60.0,14.8,0,0,0,,1,5,0,5.0,58,69.0,0,0.0,12,36.4
13,11.0,11.0,14.0,15.0,2020-12-20,CLE,@,NYG,"W, 20-6",*,3,3,55,18.3,0,100.0,18.3,1,11,0,11.0,1,6,0,6.0,36,56.3,0,0.0,5,26.3
14,11.0,,15.0,16.0,2020-12-27,CLE,@,NYJ,"L, 16-23",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
15,12.0,12.0,16.0,17.0,2021-01-03,CLE,,PIT,"W, 24-22",,3,1,11,11.0,0,33.3,3.7,0,0,0,,2,4,0,2.0,13,21.0,0,0.0,3,12.0
16,,,,,,,,,9-3,,20,14,304,21.7,2,70.0,15.2,18,379,0,21.1,18,77,0,4.3,268,34.0,0,0.0,93,29.9
