,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,44.0,1.0,1,2023-09-10,CLE,,CIN,"W, 24-3",*,2,1,12,12.0,0,50.0,6.0,3,15,0,5.0,0,0,0,0,0,0,66,89.2,0,0.0,10,32.3
1,2.0,45.0,2.0,2,2023-09-18,CLE,@,PIT,"L, 22-26",,4,1,7,7.0,0,25.0,1.8,0,0,0,,0,0,0,0,0,0,76,87.4,0,0.0,7,22.6
2,3.0,46.0,3.0,3,2023-09-24,CLE,,TEN,"W, 27-3",*,4,3,49,16.3,0,75.0,12.3,2,11,0,5.5,1,0,0,1,0,0,63,88.7,0,0.0,7,29.2
3,4.0,47.0,4.0,4,2023-10-01,CLE,,BAL,"L, 3-28",*,4,1,7,7.0,0,25.0,1.8,3,24,0,8.0,0,0,0,0,0,0,62,89.9,0,0.0,7,25.0
4,5.0,48.0,5.0,6,2023-10-15,CLE,,SFO,"W, 19-17",*,1,0,0,,0,0.0,0.0,1,5,0,5.0,0,0,0,0,0,0,61,80.3,0,0.0,1,3.2
5,6.0,49.0,6.0,7,2023-10-22,CLE,@,IND,"W, 39-38",,3,2,22,11.0,0,66.7,7.3,3,22,0,7.3,0,0,0,0,0,0,46,61.3,0,0.0,5,12.5
6,7.0,50.0,7.0,8,2023-10-29,CLE,@,SEA,"L, 20-24",*,0,0,0,,0,,,1,7,0,7.0,0,0,0,0,0,0,65,83.3,0,0.0,2,7.7
7,,,,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions,Player went from Cleveland Browns to Detroit Lions
8,7.0,,9.0,10,2023-11-12,DET,@,LAC,"W, 41-38",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8.0,51.0,10.0,11,2023-11-19,DET,,CHI,"W, 31-26",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,3,4.8,0,0.0,7,26.9
10,9.0,52.0,11.0,12,2023-11-23,DET,,GNB,"L, 22-29",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,8,9.5,0,0.0,0,0.0
11,10.0,53.0,12.0,13,2023-12-03,DET,@,NOR,"W, 33-28",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,12,20.7,0,0.0,0,0.0
12,11.0,54.0,13.0,14,2023-12-10,DET,@,CHI,"L, 13-28",,1,1,17,17.0,0,100.0,17.0,0,0,0,,0,0,0,0,0,0,9,13.8,0,0.0,7,29.2
13,12.0,55.0,14.0,15,2023-12-16,DET,,DEN,"W, 42-17",,1,1,5,5.0,0,100.0,5.0,0,0,0,,0,0,0,0,0,0,11,16.7,0,0.0,3,10.3
14,13.0,56.0,15.0,16,2023-12-24,DET,@,MIN,"W, 30-24",*,1,1,11,11.0,0,100.0,11.0,0,0,0,,0,0,0,0,0,0,5,6.3,0,0.0,4,15.4
15,14.0,57.0,16.0,17,2023-12-30,DET,@,DAL,"L, 19-20",,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,3,4.3,0,0.0,5,19.2
16,15.0,58.0,17.0,18,2024-01-07,DET,,MIN,"W, 30-20",,2,2,25,12.5,0,100.0,12.5,0,0,0,,0,0,0,0,0,0,21,36.8,0,0.0,4,14.3
17,,,,,,,,,9-6,,25,13,155,11.9,0,52.0,6.2,13,84,0,6.5,1,0,0,1,0,0,511,47.8,0,0.0,69,16.3
