,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2018,21,NYJ,NFL,QB,13.0,13.0,4-9-0,239.0,414.0,57.7,2865.0,17.0,4.1,15.0,3.6,130.0,43.2,76.0,6.9,6.11,12.0,220.4,77.6,45.9,30.0,204.0,6.76,5.99,5.24,1.0,1.0,7.0,
1,2019,22,NYJ,NFL,QB,13.0,13.0,7-6-0,273.0,441.0,61.9,3024.0,19.0,4.3,13.0,2.9,147.0,43.7,92.0,6.9,6.39,11.1,232.6,84.3,45.6,33.0,212.0,6.96,5.93,5.5,2.0,3.0,6.0,
2,2020,23,NYJ,NFL,QB,12.0,12.0,2-10-0,217.0,364.0,59.6,2208.0,9.0,2.5,11.0,3.0,109.0,38.3,69.0,6.1,5.2,10.2,184.0,72.7,32.9,35.0,234.0,8.77,4.95,4.16,0.0,0.0,4.0,
3,2021,24,CAR,NFL,QB,12.0,11.0,4-7-0,243.0,406.0,59.9,2527.0,9.0,2.2,13.0,3.2,123.0,41.0,63.0,6.2,5.23,10.4,210.6,71.9,38.8,35.0,204.0,7.94,5.27,4.35,0.0,0.0,6.0,
4,2022,25,CAR,NFL,QB,6.0,6.0,4-2-0,82.0,140.0,58.6,1143.0,7.0,5.0,3.0,2.1,57.0,44.0,52.0,8.2,8.2,13.9,190.5,92.6,51.4,10.0,78.0,6.67,7.1,7.13,0.0,1.0,4.0,
5,2023,26,SFO,NFL,QB,10.0,1.0,0-1-0,28.0,46.0,60.9,297.0,2.0,4.3,1.0,2.2,15.0,46.2,48.0,6.5,6.35,10.6,29.7,85.1,49.3,6.0,40.0,11.54,4.94,4.85,0.0,0.0,1.0,
6,2024,27,MIN,NFL,QB,17.0,17.0,14-3-0,361.0,545.0,66.2,4319.0,35.0,6.4,12.0,2.2,207.0,47.7,97.0,7.9,8.22,12.0,254.1,102.5,60.4,48.0,335.0,8.09,6.72,6.99,3.0,5.0,14.0,"PB,AP MVP-10,AP CPoY-3"
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,83.0,73.0,35-38-0,1443.0,2356.0,61.2,16383.0,98.0,4.2,68.0,2.9,788.0,43.3,97.0,7.0,6.49,11.4,197.4,83.9,,197.0,1307.0,7.72,5.91,5.47,6.0,10.0,42.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,15.0,35-38-0,296.0,483.0,61.2,3356.0,20.0,4.2,14.0,2.9,161.0,43.3,97.0,7.0,6.49,11.4,197.4,83.9,,40.0,268.0,7.72,5.91,5.47,1.0,2.0,9.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,NYJ (3 Yrs),NYJ (3 Yrs),NYJ (3 Yrs),NYJ (3 Yrs),,38.0,38.0,13-25-0,729.0,1219.0,59.8,8097.0,45.0,3.7,39.0,3.2,386.0,41.9,92.0,6.6,5.94,11.1,213.1,78.6,,98.0,650.0,7.44,5.65,5.01,3.0,4.0,17.0,
11,CAR (2 Yrs),CAR (2 Yrs),CAR (2 Yrs),CAR (2 Yrs),,18.0,17.0,8-9-0,325.0,546.0,59.5,3670.0,16.0,2.9,16.0,2.9,180.0,41.8,63.0,6.7,5.99,11.3,203.9,77.3,,45.0,282.0,7.61,5.73,5.06,0.0,1.0,10.0,
12,MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),MIN (1 Yr),,17.0,17.0,14-3-0,361.0,545.0,66.2,4319.0,35.0,6.4,12.0,2.2,207.0,47.7,97.0,7.9,8.22,12.0,254.1,102.5,,48.0,335.0,8.09,6.72,6.99,3.0,5.0,14.0,
13,SFO (1 Yr),SFO (1 Yr),SFO (1 Yr),SFO (1 Yr),,10.0,1.0,0-1-0,28.0,46.0,60.9,297.0,2.0,4.3,1.0,2.2,15.0,46.2,48.0,6.5,6.35,10.6,29.7,85.1,,6.0,40.0,11.54,4.94,4.85,0.0,0.0,1.0,
