,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,78.0,1.0,1.0,2024-09-08,ATL,,PIT,"L, 10-18",,7,4,52,13.0,0,57.1,7.4,0,0,0,,2,56,0,28.0,0,0,0,0,0,0,30,53.6,0,0.0,6,24.0
1,2.0,79.0,2.0,2.0,2024-09-16,ATL,@,PHI,"W, 22-21",*,5,3,42,14.0,0,60.0,8.4,1,3,0,3.0,0,0,0,,0,0,0,0,0,0,61,100.0,0,0.0,5,22.7
2,3.0,80.0,3.0,3.0,2024-09-22,ATL,,KAN,"L, 17-22",*,3,2,17,8.5,0,66.7,5.7,1,20,0,20.0,1,28,0,28.0,0,0,0,0,0,0,58,95.1,0,0.0,6,25.0
3,4.0,81.0,4.0,4.0,2024-09-29,ATL,,NOR,"W, 26-24",*,7,6,52,8.7,0,85.7,7.4,0,0,0,,2,39,0,19.5,0,0,0,0,0,0,55,98.2,0,0.0,5,17.9
4,5.0,82.0,5.0,5.0,2024-10-03,ATL,,TAM,"W, 36-30 (OT)",*,9,6,66,11.0,0,66.7,7.3,0,0,0,,0,0,0,,1,0,0,0,0,0,85,97.7,0,0.0,8,25.0
5,6.0,83.0,6.0,6.0,2024-10-13,ATL,@,CAR,"W, 38-20",*,4,3,30,10.0,0,75.0,7.5,1,3,0,3.0,1,25,0,25.0,1,1,0,0,0,0,58,82.9,0,0.0,5,18.5
6,7.0,84.0,7.0,7.0,2024-10-20,ATL,,SEA,"L, 14-34",*,4,2,9,4.5,0,50.0,2.3,0,0,0,,1,22,0,22.0,0,0,0,0,0,0,64,87.7,0,0.0,7,26.9
7,8.0,85.0,8.0,8.0,2024-10-27,ATL,@,TAM,"W, 31-26",*,3,3,9,3.0,0,100.0,3.0,1,17,0,17.0,2,61,0,30.5,0,0,0,0,0,0,55,88.7,0,0.0,5,18.5
8,9.0,86.0,9.0,9.0,2024-11-03,ATL,,DAL,"W, 27-21",*,3,3,28,9.3,1,100.0,9.3,1,7,0,7.0,2,42,0,21.0,1,0,0,1,0,0,52,91.2,0,0.0,5,19.2
9,10.0,87.0,10.0,10.0,2024-11-10,ATL,@,NOR,"L, 17-20",*,4,3,30,10.0,0,75.0,7.5,1,6,0,6.0,2,57,0,28.5,0,0,0,0,0,0,77,98.7,0,0.0,5,18.5
10,11.0,88.0,11.0,11.0,2024-11-17,ATL,@,DEN,"L, 6-38",*,6,6,46,7.7,0,100.0,7.7,0,0,0,,0,0,0,,0,0,0,0,0,0,58,98.3,0,0.0,7,26.9
11,12.0,89.0,12.0,13.0,2024-12-01,ATL,,LAC,"L, 13-17",*,6,4,95,23.8,0,66.7,15.8,1,-2,0,-2.0,0,0,0,,0,0,0,0,0,0,77,95.1,0,0.0,5,22.7
12,13.0,90.0,13.0,14.0,2024-12-08,ATL,@,MIN,"L, 21-42",,11,8,98,12.3,0,72.7,8.9,1,3,0,3.0,1,31,0,31.0,1,1,0,0,0,0,47,63.5,0,0.0,7,25.9
13,14.0,91.0,14.0,15.0,2024-12-16,ATL,@,LVR,"W, 15-9",,3,1,14,14.0,0,33.3,4.7,0,0,0,,0,0,0,,0,0,0,0,0,0,24,41.4,0,0.0,4,16.0
14,15.0,92.0,15.0,16.0,2024-12-22,ATL,,NYG,"W, 34-7",*,4,3,19,6.3,0,75.0,4.8,1,8,0,8.0,0,0,0,,0,0,0,0,0,0,61,91.0,0,0.0,2,8.3
15,16.0,93.0,16.0,17.0,2024-12-29,ATL,@,WAS,"L, 24-30 (OT)",,1,1,13,13.0,0,100.0,13.0,1,14,0,14.0,0,0,0,,0,0,0,0,0,0,40,62.5,0,0.0,0,0.0
16,17.0,94.0,17.0,18.0,2025-01-05,ATL,,CAR,"L, 38-44 (OT)",*,7,4,66,16.5,0,57.1,9.4,0,0,0,,0,0,0,,0,0,0,0,0,0,79,100.0,0,0.0,0,0.0
17,,,,,,,,,8-9,,87,62,686,11.1,1,71.3,7.9,10,79,0,7.9,14,361,0,25.8,4,2,0,1,0,0,981,85.8,0,0.0,82,18.4
