,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,33.0,1.0,1.0,2021-09-12,PIT,@,BUF,"W, 23-16",,0,0,0,,0,,,0,0,0,,0,0,0,,1,5,0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.2,0,0.0,9,31.0
1,2.0,34.0,2.0,2.0,2021-09-19,PIT,,LVR,"L, 17-26",,0,0,0,,0,,,0,0,0,,4,92,0,23.0,2,21,0,10.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8,0,0.0,11,39.3
2,3.0,35.0,3.0,3.0,2021-09-26,PIT,,CIN,"L, 10-24",,4,3,33,11.0,0,75.0,8.3,0,0,0,,1,22,0,22.0,1,14,0,14.0,0.0,0,0,0,0,0,0,1,0,0,1,1,0,47,56.6,0,0.0,10,41.7
3,4.0,36.0,4.0,4.0,2021-10-03,PIT,@,GNB,"L, 17-27",,1,1,2,2.0,0,100.0,2.0,0,0,0,,3,99,0,33.0,1,14,0,14.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.7,0,0.0,9,36.0
4,5.0,37.0,5.0,5.0,2021-10-10,PIT,,DEN,"W, 27-19",,2,1,1,1.0,0,50.0,0.5,0,0,0,,2,35,0,17.5,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,52.3,0,0.0,9,34.6
5,6.0,38.0,6.0,6.0,2021-10-17,PIT,,SEA,"W, 23-20 (OT)",,2,2,18,9.0,0,100.0,9.0,0,0,0,,3,73,0,24.3,4,29,0,7.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,69.3,0,0.0,12,35.3
6,7.0,39.0,7.0,8.0,2021-10-31,PIT,@,CLE,"W, 15-10",*,0,0,0,,0,,,1,10,0,10.0,2,44,0,22.0,2,29,0,14.5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,11,14.9,0,0.0,7,36.8
7,8.0,40.0,8.0,9.0,2021-11-08,PIT,,CHI,"W, 29-27",,1,1,12,12.0,0,100.0,12.0,0,0,0,,2,40,0,20.0,4,28,0,7.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,26,36.1,0,0.0,11,31.4
8,9.0,41.0,9.0,10.0,2021-11-14,PIT,,DET,"T, 16-16 (OT)",*,12,9,63,7.0,0,75.0,5.3,0,0,0,,2,35,0,17.5,6,54,0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,70.1,0,0.0,14,41.2
9,10.0,42.0,10.0,11.0,2021-11-21,PIT,@,LAC,"L, 37-41",,2,2,12,6.0,0,100.0,6.0,1,5,0,5.0,2,63,0,31.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,21.7,0,0.0,10,29.4
