,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2018-09-09,BUF,@,BAL,"L, 3-47",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2018-09-16,BUF,,LAC,"L, 20-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,1.0,3.0,3.0,2018-09-23,BUF,@,MIN,"W, 27-6",*,1,1,6,6.0,0,100.0,6.0,0,0,0,,0,0,0,,1,13,0,13.0,0,0,0,0,0,0,14,20.9,0,0.0,3,12.5
3,2.0,2.0,4.0,4.0,2018-09-30,BUF,@,GNB,"L, 0-22",,0,0,0,,0,,,0,0,0,,0,0,0,,1,-1,0,-1.0,0,0,0,0,0,0,20,34.5,0,0.0,3,13.0
4,3.0,3.0,5.0,5.0,2018-10-07,BUF,,TEN,"W, 13-12",,1,1,7,7.0,0,100.0,7.0,1,-3,0,-3.0,0,0,0,,1,8,0,8.0,0,0,0,0,0,0,13,20.0,0,0.0,2,9.5
5,4.0,4.0,6.0,6.0,2018-10-14,BUF,@,HOU,"L, 13-20",,1,1,2,2.0,0,100.0,2.0,0,0,0,,1,18,0,18.0,1,0,0,0.0,2,1,0,0,0,0,14,22.6,0,0.0,2,7.1
6,4.0,,7.0,7.0,2018-10-21,BUF,@,IND,"L, 5-37",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,5.0,5.0,8.0,8.0,2018-10-29,BUF,,NWE,"L, 6-25",,1,1,16,16.0,0,100.0,16.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,11,17.2,0,0.0,0,0.0
8,6.0,6.0,9.0,9.0,2018-11-04,BUF,,CHI,"L, 9-41",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,17,18.7,0,0.0,0,0.0
9,7.0,7.0,10.0,10.0,2018-11-11,BUF,@,NYJ,"W, 41-10",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,19,26.0,0,0.0,0,0.0
10,7.0,,11.0,12.0,2018-11-25,BUF,,JAX,"W, 24-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,7.0,,12.0,13.0,2018-12-02,BUF,@,MIA,"L, 17-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,8.0,8.0,13.0,14.0,2018-12-09,BUF,,NYJ,"L, 23-27",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,1,1.3,0,0.0,0,0.0
13,9.0,9.0,14.0,15.0,2018-12-16,BUF,,DET,"W, 14-13",,0,0,0,,0,,,1,7,0,7.0,0,0,0,,0,0,0,,0,0,0,0,0,0,8,11.8,0,0.0,0,0.0
14,9.0,,15.0,16.0,2018-12-23,BUF,@,NWE,"L, 12-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,10.0,10.0,16.0,17.0,2018-12-30,BUF,,MIA,"W, 42-17",,1,1,5,5.0,0,100.0,5.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,4,6.5,0,0.0,0,0.0
16,,,,,,,,,5-5,,6,5,36,7.2,0,83.3,6.0,2,4,0,2.0,1,18,0,18.0,4,20,0,5.0,2,1,0,0,0,0,121,17.6,0,0.0,10,3.8
