,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,61.0,1.0,1.0,2021-09-12,NOR,,GNB,"W, 38-3",*,20,83,0,4.2,4,3,8,2.7,1,75.0,2.0,0,0,0,,0,0,0,0,0,0,45,72.6,0,0.0,0,0.0
1,2.0,62.0,2.0,2.0,2021-09-19,NOR,@,CAR,"L, 7-26",*,8,5,0,0.6,6,4,25,6.3,0,66.7,4.2,0,0,0,,0,0,0,0,0,0,37,84.1,0,0.0,0,0.0
2,3.0,63.0,3.0,3.0,2021-09-26,NOR,@,NWE,"W, 28-13",*,24,89,0,3.7,4,3,29,9.7,1,75.0,7.3,0,0,0,,0,0,0,0,0,0,52,83.9,0,0.0,0,0.0
3,4.0,64.0,4.0,4.0,2021-10-03,NOR,,NYG,"L, 21-27 (OT)",*,26,120,0,4.6,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,59,86.8,0,0.0,0,0.0
4,5.0,65.0,5.0,5.0,2021-10-10,NOR,@,WAS,"W, 33-22",*,16,71,1,4.4,8,5,51,10.2,1,62.5,6.4,3,29,0,9.7,0,0,0,0,0,0,49,87.5,0,0.0,3,10.3
5,6.0,66.0,6.0,7.0,2021-10-25,NOR,@,SEA,"W, 13-10",*,20,51,0,2.6,11,10,128,12.8,1,90.9,11.6,0,0,0,,0,0,0,0,0,0,61,82.4,0,0.0,0,0.0
6,7.0,67.0,7.0,8.0,2021-10-31,NOR,,TAM,"W, 36-27",*,19,61,1,3.2,4,3,15,5.0,0,75.0,3.8,0,0,0,,0,0,0,0,0,0,51,67.1,0,0.0,0,0.0
7,8.0,68.0,8.0,9.0,2021-11-07,NOR,,ATL,"L, 25-27",,13,50,1,3.8,7,4,54,13.5,0,57.1,7.7,0,0,0,,0,0,0,0,0,0,52,68.4,0,0.0,0,0.0
8,8.0,,9.0,10.0,2021-11-14,NOR,@,TEN,"L, 21-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8.0,,10.0,11.0,2021-11-21,NOR,@,PHI,"L, 29-40",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,8.0,,11.0,12.0,2021-11-25,NOR,,BUF,"L, 6-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,8.0,,12.0,13.0,2021-12-02,NOR,,DAL,"L, 17-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,9.0,69.0,13.0,14.0,2021-12-12,NOR,@,NYJ,"W, 30-9",,27,120,1,4.4,5,4,25,6.3,0,80.0,5.0,0,0,0,,0,0,0,0,0,0,52,74.3,0,0.0,1,3.3
13,10.0,70.0,14.0,15.0,2021-12-19,NOR,@,TAM,"W, 9-0",*,11,18,0,1.6,6,2,13,6.5,0,33.3,2.2,0,0,0,,0,0,0,0,0,0,37,60.7,0,0.0,0,0.0
14,11.0,71.0,15.0,16.0,2021-12-27,NOR,,MIA,"L, 3-20",*,13,52,0,4.0,4,2,7,3.5,0,50.0,1.8,0,0,0,,0,0,0,0,0,0,31,59.6,0,0.0,0,0.0
15,12.0,72.0,16.0,17.0,2022-01-02,NOR,,CAR,"W, 18-10",*,13,32,0,2.5,6,5,68,13.6,1,83.3,11.3,0,0,0,,0,0,0,0,0,0,45,77.6,0,0.0,0,0.0
16,13.0,73.0,17.0,18.0,2022-01-09,NOR,@,ATL,"W, 30-20",,30,146,0,4.9,2,2,16,8.0,0,100.0,8.0,0,0,0,,0,0,0,1,0,0,56,77.8,0,0.0,0,0.0
17,,,,,,,,,9-4,,240,898,4,3.7,67,47,439,9.3,5,70.1,6.6,3,29,0,9.7,0,0,0,1,0,0,627,75.5,0,0.0,4,1.1
