,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,46.0,1.0,1.0,2020-09-13,NOR,,TAM,"W, 34-23",*,12,16,1,1.3,8,5,51,10.2,1,62.5,6.4,0,0,0,,0,0,0,,0,0,0,0,0,0,45,66.2,0,0.0,1,3.0
1,2.0,47.0,2.0,2.0,2020-09-21,NOR,@,LVR,"L, 24-34",*,13,79,2,6.1,9,9,95,10.6,0,100.0,10.6,0,0,0,,0,0,0,,0,0,0,0,0,0,41,68.3,0,0.0,0,0.0
2,3.0,48.0,3.0,3.0,2020-09-27,NOR,,GNB,"L, 30-37",,6,58,0,9.7,14,13,139,10.7,2,92.9,9.9,0,0,0,,0,0,0,,0,0,0,0,0,0,41,67.2,0,0.0,0,0.0
3,4.0,49.0,4.0,4.0,2020-10-04,NOR,@,DET,"W, 35-29",*,19,83,1,4.4,4,3,36,12.0,0,75.0,9.0,1,13,0,13.0,1,0,0,0.0,0,0,0,1,0,0,47,67.1,0,0.0,2,8.0
4,5.0,50.0,5.0,5.0,2020-10-12,NOR,,LAC,"W, 30-27 (OT)",*,11,45,0,4.1,10,8,74,9.3,0,80.0,7.4,1,31,0,31.0,0,0,0,,0,0,0,0,0,0,58,76.3,0,0.0,1,2.6
5,6.0,51.0,6.0,7.0,2020-10-25,NOR,,CAR,"W, 27-24",*,14,83,0,5.9,8,8,65,8.1,0,100.0,8.1,0,0,0,,0,0,0,,0,0,0,0,0,0,51,72.9,0,0.0,0,0.0
6,7.0,52.0,7.0,8.0,2020-11-01,NOR,@,CHI,"W, 26-23 (OT)",,12,67,0,5.6,13,9,96,10.7,0,69.2,7.4,0,0,0,,0,0,0,,1,0,0,1,0,0,58,78.4,0,0.0,0,0.0
7,8.0,53.0,8.0,9.0,2020-11-08,NOR,@,TAM,"W, 38-3",*,9,40,1,4.4,6,5,9,1.8,0,83.3,1.5,0,0,0,,0,0,0,,0,0,0,0,0,0,37,50.7,0,0.0,0,0.0
8,9.0,54.0,9.0,10.0,2020-11-15,NOR,,SFO,"W, 27-13",,8,15,2,1.9,8,7,83,11.9,1,87.5,10.4,0,0,0,,0,0,0,,0,0,0,0,0,0,39,66.1,0,0.0,1,3.6
9,10.0,55.0,10.0,11.0,2020-11-22,NOR,,ATL,"W, 24-9",,13,45,1,3.5,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,0,33,49.3,0,0.0,0,0.0
10,11.0,56.0,11.0,12.0,2020-11-29,NOR,@,DEN,"W, 31-3",,11,54,0,4.9,2,1,-2,-2.0,0,50.0,-1.0,0,0,0,,0,0,0,,0,0,0,0,0,0,31,48.4,0,0.0,0,0.0
11,12.0,57.0,12.0,13.0,2020-12-06,NOR,@,ATL,"W, 21-16",*,15,88,1,5.9,3,2,9,4.5,0,66.7,3.0,0,0,0,,0,0,0,,0,0,0,1,0,0,48,61.5,0,0.0,0,0.0
12,13.0,58.0,13.0,14.0,2020-12-13,NOR,@,PHI,"L, 21-24",*,11,50,1,4.5,10,7,44,6.3,0,70.0,4.4,0,0,0,,0,0,0,,0,0,0,0,0,0,45,71.4,0,0.0,0,0.0
13,14.0,59.0,14.0,15.0,2020-12-20,NOR,,KAN,"L, 29-32",*,11,54,0,4.9,6,3,40,13.3,1,50.0,6.7,0,0,0,,0,0,0,,0,0,0,0,0,0,40,72.7,0,0.0,1,2.9
14,15.0,60.0,15.0,16.0,2020-12-25,NOR,,MIN,"W, 52-33",*,22,155,6,7.0,5,3,17,5.7,0,60.0,3.4,0,0,0,,0,0,0,,0,0,0,0,0,0,45,60.0,0,0.0,1,3.2
15,15.0,,16.0,17.0,2021-01-03,NOR,@,CAR,"W, 33-7",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
16,,,,,,,,,11-4,,187,932,16,5.0,107,83,756,9.1,5,77.6,7.1,2,44,0,22.0,1,0,0,0.0,1,0,0,3,0,0,659,65.1,0,0.0,7,1.6
