,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2018-09-09,NOR,,TAM,"L, 40-48",*,8,29,2,3.6,12,9,112,12.4,1,75.0,9.3,0,0,0,,0,0,0,,0,0,0,0,0,0,52,81.3,0,0.0,0,0.0
1,2.0,18.0,2.0,2.0,2018-09-16,NOR,,CLE,"W, 21-18",*,13,46,0,3.5,6,6,53,8.8,0,100.0,8.8,0,0,0,,0,0,0,,0,0,0,0,0,0,51,77.3,0,0.0,2,7.4
2,3.0,19.0,3.0,3.0,2018-09-23,NOR,@,ATL,"W, 43-37 (OT)",*,16,66,0,4.1,20,15,124,8.3,0,75.0,6.2,0,0,0,,3,16,0,5.3,0,0,0,0,0,0,67,84.8,0,0.0,3,8.3
3,4.0,20.0,4.0,4.0,2018-09-30,NOR,@,NYG,"W, 33-18",*,19,134,3,7.1,9,5,47,9.4,0,55.6,5.2,0,0,0,,0,0,0,,0,0,0,0,0,0,59,84.3,0,0.0,1,3.4
4,5.0,21.0,5.0,5.0,2018-10-08,NOR,,WAS,"W, 43-19",,6,24,0,4.0,4,3,15,5.0,0,75.0,3.8,0,0,0,,1,0,0,0.0,0,0,0,0,0,0,31,47.0,0,0.0,4,16.0
5,6.0,22.0,6.0,7.0,2018-10-21,NOR,@,BAL,"W, 24-23",*,17,64,1,3.8,2,2,11,5.5,0,100.0,5.5,0,0,0,,1,12,0,12.0,0,0,0,0,0,0,39,54.9,0,0.0,4,16.7
6,7.0,23.0,7.0,8.0,2018-10-28,NOR,@,MIN,"W, 30-20",*,13,45,1,3.5,8,7,31,4.4,1,87.5,3.9,0,0,0,,1,15,0,15.0,0,0,0,0,0,0,38,71.7,0,0.0,3,12.5
7,8.0,24.0,8.0,9.0,2018-11-04,NOR,,LAR,"W, 45-35",*,19,82,2,4.3,5,4,34,8.5,1,80.0,6.8,0,0,0,,0,0,0,,0,0,0,0,0,0,41,57.7,0,0.0,1,3.2
8,9.0,25.0,9.0,10.0,2018-11-11,NOR,@,CIN,"W, 51-14",*,12,56,2,4.7,5,4,46,11.5,0,80.0,9.2,0,0,0,,1,2,0,2.0,0,0,0,0,0,0,34,45.3,0,0.0,3,10.7
9,10.0,26.0,10.0,11.0,2018-11-18,NOR,,PHI,"W, 48-7",*,13,71,0,5.5,1,1,37,37.0,1,100.0,37.0,0,0,0,,1,13,0,13.0,0,0,0,0,0,0,44,62.9,0,0.0,5,17.9
10,11.0,27.0,11.0,12.0,2018-11-22,NOR,,ATL,"W, 31-17",*,14,89,0,6.4,1,1,9,9.0,0,100.0,9.0,0,0,0,,1,7,0,7.0,0,0,0,0,0,0,37,64.9,0,0.0,3,13.0
11,12.0,28.0,12.0,13.0,2018-11-29,NOR,@,DAL,"L, 10-13",*,11,36,0,3.3,11,8,36,4.5,0,72.7,3.3,0,0,0,,3,17,0,5.7,1,0,0,0,0,0,36,69.2,0,0.0,3,15.0
12,13.0,29.0,13.0,14.0,2018-12-09,NOR,@,TAM,"W, 28-14",*,12,51,0,4.3,6,5,36,7.2,0,83.3,6.0,3,76,0,25.3,0,0,0,,0,0,0,0,0,0,41,64.1,0,0.0,3,11.5
13,14.0,30.0,14.0,15.0,2018-12-17,NOR,@,CAR,"W, 12-9",*,14,67,1,4.8,9,7,36,5.1,0,77.8,4.0,1,50,0,50.0,0,0,0,,0,0,0,0,0,0,48,64.0,0,0.0,2,10.0
14,15.0,31.0,15.0,16.0,2018-12-23,NOR,,PIT,"W, 31-28",,7,23,2,3.3,6,4,82,20.5,0,66.7,13.7,0,0,0,,0,0,0,,0,0,0,0,0,0,40,60.6,0,0.0,6,20.7
15,15.0,,16.0,17.0,2018-12-30,NOR,,CAR,"L, 14-33",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,13-2,,194,883,14,4.6,105,81,709,8.8,4,77.1,6.8,4,126,0,31.5,12,82,0,6.8,1,0,0,0,0,0,658,65.9,0,0.0,43,10.7
