,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,30.0,1.0,1.0,2015-09-13,SDG,,DET,"W, 33-28",*,17,15,166,11.1,0,88.2,9.8,0,0,0,,0,0,0,0,0,0,75,100.0,0,0.0,3,10.3
1,2.0,31.0,2.0,2.0,2015-09-20,SDG,@,CIN,"L, 19-24",*,4,2,16,8.0,0,50.0,4.0,1,0,0,0.0,1,1,0,0,0,0,63,100.0,0,0.0,3,12.0
2,3.0,32.0,3.0,3.0,2015-09-27,SDG,@,MIN,"L, 14-31",*,18,12,133,11.1,2,66.7,7.4,1,0,0,0.0,0,0,0,0,0,0,72,98.6,0,0.0,4,14.8
3,4.0,33.0,4.0,4.0,2015-10-04,SDG,,CLE,"W, 30-27",*,7,4,72,18.0,1,57.1,10.3,1,5,0,5.0,0,0,0,0,0,0,61,93.8,0,0.0,4,11.8
4,5.0,34.0,5.0,5.0,2015-10-12,SDG,,PIT,"L, 20-24",*,10,6,57,9.5,0,60.0,5.7,0,0,0,,0,0,0,0,0,0,75,100.0,0,0.0,0,0.0
5,6.0,35.0,6.0,6.0,2015-10-18,SDG,@,GNB,"L, 20-27",*,15,14,157,11.2,0,93.3,10.5,0,0,0,,0,0,0,0,0,0,64,69.6,0,0.0,0,0.0
6,7.0,36.0,7.0,7.0,2015-10-25,SDG,,OAK,"L, 29-37",*,13,9,89,9.9,0,69.2,6.8,0,0,0,,0,0,0,0,0,0,89,100.0,0,0.0,0,0.0
7,8.0,37.0,8.0,8.0,2015-11-01,SDG,@,BAL,"L, 26-29",*,5,5,35,7.0,1,100.0,7.0,0,0,0,,0,0,0,0,0,0,40,59.7,0,0.0,0,0.0
8,8.0,,9.0,9.0,2015-11-09,SDG,,CHI,"L, 19-22",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
9,8.0,,10.0,11.0,2015-11-22,SDG,,KAN,"L, 3-33",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
10,8.0,,11.0,12.0,2015-11-29,SDG,@,JAX,"W, 31-25",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
11,8.0,,12.0,13.0,2015-12-06,SDG,,DEN,"L, 3-17",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
