,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,16.0,1.0,1.0,2014-09-08,SDG,@,ARI,"L, 17-18",*,9,5,37,7.4,0,55.6,4.1,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,60,98.4,0,0.0,0,0.0
1,2.0,17.0,2.0,2.0,2014-09-14,SDG,,SEA,"W, 30-21",*,6,5,55,11.0,0,83.3,9.2,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,79,96.3,0,0.0,0,0.0
2,3.0,18.0,3.0,3.0,2014-09-21,SDG,@,BUF,"W, 22-10",*,2,2,17,8.5,0,100.0,8.5,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,65,98.5,0,0.0,4,15.4
3,4.0,19.0,4.0,4.0,2014-09-28,SDG,,JAX,"W, 33-14",*,11,10,135,13.5,0,90.9,12.3,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,63,100.0,0,0.0,0,0.0
4,5.0,20.0,5.0,5.0,2014-10-05,SDG,,NYJ,"W, 31-0",*,7,3,25,8.3,0,42.9,3.6,1,10,0,10.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,63,85.1,0,0.0,3,12.0
5,6.0,21.0,6.0,6.0,2014-10-12,SDG,@,OAK,"W, 31-28",*,6,3,27,9.0,0,50.0,4.5,1,29,0,29.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,70,97.2,0,0.0,2,6.5
6,7.0,22.0,7.0,7.0,2014-10-19,SDG,,KAN,"L, 20-23",*,10,6,58,9.7,0,60.0,5.8,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,51,98.1,0,0.0,5,17.2
7,8.0,23.0,8.0,8.0,2014-10-23,SDG,@,DEN,"L, 21-35",*,13,9,73,8.1,1,69.2,5.6,1,6,0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,98.4,0,0.0,4,14.8
8,9.0,24.0,9.0,9.0,2014-11-02,SDG,@,MIA,"L, 0-37",*,9,4,47,11.8,0,44.4,5.2,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,84.3,0,0.0,2,8.3
9,10.0,25.0,10.0,11.0,2014-11-16,SDG,,OAK,"W, 13-6",*,13,8,63,7.9,0,61.5,4.8,4,44,0,11.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,70,97.2,0,0.0,9,29.0
10,11.0,26.0,11.0,12.0,2014-11-23,SDG,,STL,"W, 27-24",*,9,6,104,17.3,1,66.7,11.6,1,0,0,0.0,0.0,1,1,0,0,0,0,2,2,0,0,0,0,63,100.0,0,0.0,6,20.0
11,12.0,27.0,12.0,13.0,2014-11-30,SDG,@,BAL,"W, 34-33",*,15,11,121,11.0,2,73.3,8.1,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72,100.0,0,0.0,1,3.2
12,13.0,28.0,13.0,14.0,2014-12-07,SDG,,NWE,"L, 14-23",*,3,2,3,1.5,0,66.7,1.0,2,7,0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,57,100.0,0,0.0,4,13.3
13,14.0,29.0,14.0,15.0,2014-12-14,SDG,,DEN,"L, 10-22",*,8,3,18,6.0,0,37.5,2.3,1,3,0,3.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,19,28.8,0,0.0,1,3.7
14,14.0,,15.0,16.0,2014-12-20,SDG,@,SFO,"W, 38-35 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,14.0,,16.0,17.0,2014-12-28,SDG,@,KAN,"L, 7-19",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,8-6,,121,77,783,10.2,4,63.6,6.5,11,99,0,9.0,0.0,1,1,0,0,0,0,2,2,0,0,0,0,836,91.6,0,0.0,41,10.6
