,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2013-09-09,SDG,,HOU,"L, 28-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,1.0,1.0,2.0,2.0,2013-09-15,SDG,@,PHI,"W, 33-30",,3,2,34,17.0,0,66.7,11.3,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,44,53.0,0,0.0,0,0.0
2,2.0,2.0,3.0,3.0,2013-09-22,SDG,@,TEN,"L, 17-20",*,3,1,-4,-4.0,0,33.3,-1.3,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,49,83.1,0,0.0,0,0.0
3,3.0,3.0,4.0,4.0,2013-09-29,SDG,,DAL,"W, 30-21",*,6,5,80,16.0,0,83.3,13.3,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,68,94.4,0,0.0,0,0.0
4,4.0,4.0,5.0,5.0,2013-10-06,SDG,@,OAK,"L, 17-27",*,9,6,115,19.2,1,66.7,12.8,1,21,0,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72,100.0,0,0.0,2,7.4
5,5.0,5.0,6.0,6.0,2013-10-14,SDG,,IND,"W, 19-9",*,12,9,107,11.9,1,75.0,8.9,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,74,98.7,0,0.0,2,8.0
6,6.0,6.0,7.0,7.0,2013-10-20,SDG,@,JAX,"W, 24-6",*,6,3,67,22.3,0,50.0,11.2,1,11,0,11.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,58,81.7,0,0.0,3,15.0
7,7.0,7.0,8.0,9.0,2013-11-03,SDG,@,WAS,"L, 24-30 (OT)",*,11,8,128,16.0,1,72.7,11.6,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63,98.4,0,0.0,3,10.7
8,8.0,8.0,9.0,10.0,2013-11-10,SDG,,DEN,"L, 20-28",*,5,4,41,10.3,0,80.0,8.2,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,70,97.2,0,0.0,5,16.1
9,9.0,9.0,10.0,11.0,2013-11-17,SDG,@,MIA,"L, 16-20",*,6,3,45,15.0,0,50.0,7.5,2,34,0,17.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,49,75.4,0,0.0,3,11.5
10,10.0,10.0,11.0,12.0,2013-11-24,SDG,@,KAN,"W, 41-38",*,11,9,124,13.8,0,81.8,11.3,1,5,0,5.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,69,98.6,0,0.0,4,10.8
11,11.0,11.0,12.0,13.0,2013-12-01,SDG,,CIN,"L, 10-17",*,10,8,106,13.3,0,80.0,10.6,1,0,0,0.0,0.0,0,0,0,0,,0,1,1,0,0,0,0,65,100.0,0,0.0,4,20.0
12,12.0,12.0,13.0,14.0,2013-12-08,SDG,,NYG,"W, 37-14",*,3,3,59,19.7,2,100.0,19.7,2,2,0,1.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,47,65.3,0,0.0,2,8.0
13,13.0,13.0,14.0,15.0,2013-12-12,SDG,@,DEN,"W, 27-20",*,5,2,29,14.5,2,40.0,5.8,2,11,0,5.5,0.0,0,0,0,0,,0,0,0,0,0,0,0,72,100.0,0,0.0,5,18.5
14,14.0,14.0,15.0,16.0,2013-12-22,SDG,,OAK,"W, 26-13",*,7,3,26,8.7,1,42.9,3.7,3,35,0,11.7,0.0,1,1,0,0,0,0,1,1,0,0,0,0,71,98.6,0,0.0,5,19.2
15,15.0,15.0,16.0,17.0,2013-12-29,SDG,,KAN,"W, 27-24 (OT)",*,8,5,89,17.8,0,62.5,11.1,2,6,0,3.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,73,100.0,0,0.0,5,15.2
16,,,,,,,,,9-6,,105,71,1046,14.7,8,67.6,10.0,15,125,0,8.3,0.0,1,1,0,0,0,0,2,2,0,0,0,0,944,89.3,0,0.0,43,10.3
