,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,140.0,1.0,1.0,2024-09-08,CHI,,TEN,"W, 24-17",*,11,4,29,7.3,0,36.4,2.6,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,38,67.9,0,0.0,0,0.0
1,1.0,,2.0,2.0,2024-09-15,CHI,@,HOU,"L, 13-19",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,,3.0,3.0,2024-09-22,CHI,@,IND,"L, 16-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2.0,141.0,4.0,4.0,2024-09-29,CHI,,LAR,"W, 24-18",*,3,3,19,6.3,0,100.0,6.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,41,68.3,0,0.0,0,0.0
4,3.0,142.0,5.0,5.0,2024-10-06,CHI,,CAR,"W, 36-10",*,6,3,33,11.0,0,50.0,5.5,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,61,81.3,0,0.0,0,0.0
5,4.0,143.0,6.0,6.0,2024-10-13,CHI,,JAX,"W, 35-16",*,5,5,41,8.2,2,100.0,8.2,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,53,80.3,0,0.0,0,0.0
6,5.0,144.0,7.0,8.0,2024-10-27,CHI,@,WAS,"L, 15-18",*,7,2,39,19.5,0,28.6,5.6,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,61,96.8,0,0.0,0,0.0
7,6.0,145.0,8.0,9.0,2024-11-03,CHI,@,ARI,"L, 9-29",*,10,4,36,9.0,0,40.0,3.6,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,69,93.2,0,0.0,0,0.0
8,7.0,146.0,9.0,10.0,2024-11-10,CHI,,NWE,"L, 3-19",*,6,5,44,8.8,0,83.3,7.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,56,93.3,0,0.0,0,0.0
9,8.0,147.0,10.0,11.0,2024-11-17,CHI,,GNB,"L, 19-20",*,8,4,41,10.3,0,50.0,5.1,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,66,91.7,0,0.0,0,0.0
10,9.0,148.0,11.0,12.0,2024-11-24,CHI,,MIN,"L, 27-30 (OT)",*,15,9,86,9.6,1,60.0,5.7,0,0,,0,0,0,,,,0,0,1,0,0,1,0,0,68,89.5,0,0.0,0,0.0
11,10.0,149.0,12.0,13.0,2024-11-28,CHI,@,DET,"L, 20-23",*,8,5,73,14.6,2,62.5,9.1,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,64,95.5,0,0.0,0,0.0
12,11.0,150.0,13.0,14.0,2024-12-08,CHI,@,SFO,"L, 13-38",*,5,3,30,10.0,0,60.0,6.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,47,88.7,0,0.0,0,0.0
13,12.0,151.0,14.0,15.0,2024-12-16,CHI,@,MIN,"L, 12-30",*,13,6,82,13.7,1,46.2,6.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,55,82.1,0,0.0,0,0.0
14,13.0,152.0,15.0,16.0,2024-12-22,CHI,,DET,"L, 17-34",*,13,9,141,15.7,1,69.2,10.8,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,59,92.2,0,0.0,0,0.0
15,14.0,153.0,16.0,17.0,2024-12-26,CHI,,SEA,"L, 3-6",*,8,5,25,5.0,0,62.5,3.1,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,58,95.1,0,0.0,0,0.0
16,15.0,154.0,17.0,18.0,2025-01-05,CHI,@,GNB,"W, 24-22",*,3,3,25,8.3,0,100.0,8.3,0,1,0.0,0,0,1,0.0,-45.00,0.0,0,0,0,0,0,0,0,0,54,87.1,0,0.0,0,0.0
17,,,,,,,,,5-10,,121,70,744,10.6,7,57.9,6.1,0,1,0.0,0,0,1,0.0,-45.00,0.0,0,0,1,0,0,1,0,0,850,87.1,0,0.0,0,0.0
