,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2013,21,SDG,NFL,WR,15.0,14.0,105.0,71.0,1046.0,14.7,8.0,54.0,61.9,43.0,4.7,69.7,67.6,10.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,71.0,14.7,1046.0,8.0,2.0,10.0,AP ORoY-2
1,2014,22,SDG,NFL,WR,14.0,14.0,121.0,77.0,783.0,10.2,4.0,41.0,49.6,35.0,5.5,55.9,63.6,6.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,77.0,10.2,783.0,4.0,2.0,6.0,
2,2015,23,SDG,NFL,WR,8.0,8.0,89.0,67.0,725.0,10.8,4.0,34.0,62.9,38.0,8.4,90.6,75.3,8.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,67.0,10.8,725.0,4.0,1.0,5.0,
3,2016,24,SDG,NFL,WR,1.0,1.0,7.0,6.0,63.0,10.5,0.0,6.0,85.7,15.0,6.0,63.0,85.7,9.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,6.0,10.5,63.0,0.0,0.0,1.0,
4,2017,25,LAC,NFL,WR,16.0,15.0,159.0,102.0,1393.0,13.7,6.0,74.0,55.3,51.0,6.4,87.1,64.2,8.8,2.0,9.0,0.0,0.0,50.0,6.0,4.5,0.6,0.1,104.0,13.5,1402.0,6.0,1.0,11.0,"PB,AP CPoY-1"
5,2018,26,LAC,NFL,WR,16.0,14.0,136.0,97.0,1196.0,12.3,6.0,62.0,63.2,54.0,6.1,74.8,71.3,8.8,9.0,75.0,0.0,4.0,44.4,28.0,8.3,4.7,0.6,106.0,12.0,1271.0,6.0,3.0,12.0,PB
6,2019,27,LAC,NFL,WR,16.0,16.0,149.0,104.0,1199.0,11.5,6.0,63.0,59.1,45.0,6.5,74.9,69.8,8.0,3.0,16.0,0.0,1.0,33.3,18.0,5.3,1.0,0.2,107.0,11.4,1215.0,6.0,0.0,10.0,PB
7,2020,28,LAC,NFL,WR,14.0,13.0,147.0,100.0,992.0,9.9,8.0,61.0,53.7,28.0,7.1,70.9,68.0,6.7,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-0.1,0.1,101.0,9.8,991.0,8.0,3.0,8.0,PB
8,2021,29,LAC,NFL,WR,16.0,16.0,157.0,106.0,1138.0,10.7,6.0,66.0,54.1,42.0,6.6,71.1,67.5,7.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,106.0,10.7,1138.0,6.0,1.0,11.0,PB
9,2022,30,LAC,NFL,WR,10.0,10.0,89.0,66.0,752.0,11.4,4.0,39.0,56.2,46.0,6.6,75.2,74.2,8.4,1.0,8.0,0.0,1.0,100.0,8.0,8.0,0.8,0.1,67.0,11.3,760.0,4.0,1.0,6.0,
10,2023,31,LAC,NFL,WR,13.0,13.0,150.0,108.0,1243.0,11.5,7.0,57.0,58.7,42.0,8.3,95.6,72.0,8.3,2.0,6.0,0.0,1.0,100.0,4.0,3.0,0.5,0.2,110.0,11.4,1249.0,7.0,2.0,11.0,PB
11,2024,32,CHI,NFL,WR,15.0,15.0,121.0,70.0,744.0,10.6,7.0,43.0,47.1,45.0,4.7,49.6,57.9,6.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,70.0,10.6,744.0,7.0,1.0,6.0,
12,2025,33,LAC,NFL,WR,3.0,1.0,28.0,19.0,194.0,10.2,3.0,13.0,60.7,25.0,6.3,64.7,67.9,6.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,19.0,10.2,194.0,3.0,0.0,,
13,13 Yrs,13 Yrs,13 Yrs,13 Yrs,,157.0,150.0,1458.0,993.0,11468.0,11.5,69.0,613.0,56.6,54.0,6.3,73.0,68.1,7.9,18.0,113.0,0.0,7.0,50.0,28.0,6.3,0.7,0.1,1011.0,11.5,11581.0,69.0,17.0,97.0,
14,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,16.0,158.0,108.0,1242.0,11.5,7.0,66.0,56.6,54.0,6.3,73.0,68.1,7.9,2.0,12.0,0.0,1.0,50.0,28.0,6.3,0.7,0.1,109.0,11.5,1254.0,7.0,2.0,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,LAC (12 Yrs),LAC (12 Yrs),LAC (12 Yrs),LAC (12 Yrs),,142.0,135.0,1337.0,923.0,10724.0,11.6,62.0,570.0,57.4,54.0,6.5,75.5,69.0,8.0,18.0,113.0,0.0,7.0,50.0,28.0,6.3,0.8,0.1,941.0,11.5,10837.0,62.0,16.0,91.0,
17,CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,15.0,15.0,121.0,70.0,744.0,10.6,7.0,43.0,47.1,45.0,4.7,49.6,57.9,6.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,70.0,10.6,744.0,7.0,1.0,6.0,
