,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Ret,Yds.4,KRTD,Y/Ret,Ret.1,Yds.5,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.6,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,55.0,1.0,1.0,2018-09-09,LAC,,KAN,"L, 28-38",*,11,8,108,13.5,1,72.7,9.8,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,72,87.8,0,0.0,0,0.0
1,2.0,56.0,2.0,2.0,2018-09-16,LAC,@,BUF,"W, 31-20",*,8,6,67,11.2,0,75.0,8.4,0,0,0,,0,0,0,0,0,0,0,1,25,0,25.0,0,0,0,,0,0,0,0,0,0,50,89.3,0,0.0,1,3.3
2,3.0,57.0,3.0,3.0,2018-09-23,LAC,@,LAR,"L, 23-35",*,7,3,44,14.7,0,42.9,6.3,0,0,0,,0,0,0,0,0,1,7,0,0,0,,0,0,0,,1,1,0,0,0,0,40,76.9,0,0.0,0,0.0
3,4.0,58.0,4.0,4.0,2018-09-30,LAC,,SFO,"W, 29-27",*,10,7,63,9.0,0,70.0,6.3,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,57,83.8,0,0.0,0,0.0
4,5.0,59.0,5.0,5.0,2018-10-07,LAC,,OAK,"W, 26-10",*,9,8,90,11.3,0,88.9,10.0,1,5,0,5.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,49,76.6,0,0.0,1,4.0
5,6.0,60.0,6.0,6.0,2018-10-14,LAC,@,CLE,"W, 38-14",*,6,4,62,15.5,0,66.7,10.3,4,41,0,10.3,0,0,0,0,0,0,0,0,0,0,,1,0,0,0.0,2,0,0,1,-19,0,39,65.0,0,0.0,4,13.8
6,7.0,61.0,7.0,7.0,2018-10-21,LAC,,TEN,"W, 20-19",*,5,5,72,14.4,0,100.0,14.4,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,40,90.9,0,0.0,1,4.3
7,8.0,62.0,8.0,9.0,2018-11-04,LAC,@,SEA,"W, 25-17",*,10,6,124,20.7,0,60.0,12.4,2,28,0,14.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,43,84.3,0,0.0,1,3.6
8,9.0,63.0,9.0,10.0,2018-11-11,LAC,@,OAK,"W, 20-6",*,9,6,57,9.5,1,66.7,6.3,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,50,89.3,0,0.0,0,0.0
9,10.0,64.0,10.0,11.0,2018-11-18,LAC,,DEN,"L, 22-23",*,12,9,89,9.9,1,75.0,7.4,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,69,89.6,0,0.0,0,0.0
10,11.0,65.0,11.0,12.0,2018-11-25,LAC,,ARI,"W, 45-10",,7,7,72,10.3,1,100.0,10.3,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,52,75.4,0,0.0,0,0.0
11,12.0,66.0,12.0,13.0,2018-12-02,LAC,@,PIT,"W, 33-30",*,19,14,148,10.6,1,73.7,7.8,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,58,92.1,0,0.0,0,0.0
12,13.0,67.0,13.0,14.0,2018-12-09,LAC,,CIN,"W, 26-21",*,8,5,78,15.6,1,62.5,9.8,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,54,94.7,0,0.0,1,3.4
13,14.0,68.0,14.0,15.0,2018-12-13,LAC,@,KAN,"W, 29-28",*,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,17,23.0,0,0.0,0,0.0
14,15.0,69.0,15.0,16.0,2018-12-22,LAC,,BAL,"L, 10-22",,8,5,58,11.6,0,62.5,7.3,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,59,93.7,0,0.0,0,0.0
15,16.0,70.0,16.0,17.0,2018-12-30,LAC,@,DEN,"W, 23-9",*,7,4,64,16.0,0,57.1,9.1,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,45,76.3,0,0.0,0,0.0
16,,,,,,,,,12-4,,136,97,1196,12.3,6,71.3,8.8,9,75,0,8.3,0,0,0,0,0,1,7,1,25,0,25.0,1,0,0,0.0,3,1,0,1,-19,0,794,79.8,0,0.0,9,2.1
