,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2019,22,BUF,NFL,RB,12.0,8.0,151.0,775.0,2.0,37.0,49.0,38.0,5.1,64.6,12.6,41.0,29.0,194.0,6.7,2.0,5.0,29.3,49.0,2.4,16.2,70.7,4.7,180.0,5.4,969.0,4.0,4.0,6.0,
1,2020,23,BUF,NFL,RB,16.0,16.0,156.0,687.0,2.0,40.0,47.4,51.0,4.4,42.9,9.8,50.0,38.0,269.0,7.1,0.0,8.0,56.0,34.0,2.4,16.8,76.0,5.4,194.0,4.9,956.0,2.0,1.0,7.0,
2,2021,24,BUF,NFL,RB,17.0,16.0,188.0,870.0,7.0,44.0,47.3,46.0,4.6,51.2,11.1,50.0,40.0,228.0,5.7,1.0,11.0,48.0,19.0,2.4,13.4,80.0,4.6,228.0,4.8,1098.0,8.0,5.0,8.0,
3,2022,25,BUF,NFL,RB,16.0,16.0,177.0,819.0,5.0,43.0,52.5,33.0,4.6,51.2,11.1,52.0,38.0,280.0,7.4,1.0,15.0,53.8,22.0,2.4,17.5,73.1,5.4,215.0,5.1,1099.0,6.0,3.0,9.0,
4,2023,26,HOU,NFL,RB,17.0,10.0,216.0,898.0,4.0,41.0,47.7,24.0,4.2,52.8,12.7,38.0,30.0,193.0,6.4,0.0,7.0,36.8,41.0,1.8,11.4,78.9,5.1,246.0,4.4,1091.0,4.0,1.0,7.0,
5,2024,27,NYG,NFL,RB,15.0,5.0,113.0,437.0,4.0,24.0,47.8,43.0,3.9,29.1,7.5,24.0,21.0,119.0,5.7,0.0,4.0,45.8,23.0,1.4,7.9,87.5,5.0,134.0,4.1,556.0,4.0,2.0,3.0,
6,2025,28,NYG,NFL,RB,3.0,1.0,8.0,24.0,0.0,0.0,25.0,8.0,3.0,8.0,2.7,1.0,1.0,-4.0,-4.0,0.0,0.0,0.0,,0.3,-1.3,100.0,-4.0,9.0,2.2,20.0,0.0,0.0,,
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,96.0,72.0,1009.0,4510.0,24.0,229.0,48.5,51.0,4.5,47.0,10.5,256.0,197.0,1279.0,6.5,4.0,50.0,45.7,49.0,2.1,13.3,77.0,5.0,1206.0,4.8,5789.0,28.0,16.0,40.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,13.0,179.0,799.0,4.0,41.0,48.5,51.0,4.5,47.0,10.5,45.0,35.0,226.0,6.5,1.0,9.0,45.7,49.0,2.1,13.3,77.0,5.0,214.0,4.8,1025.0,5.0,3.0,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BUF (4 Yrs),BUF (4 Yrs),BUF (4 Yrs),BUF (4 Yrs),,61.0,56.0,672.0,3151.0,16.0,164.0,49.1,51.0,4.7,51.7,11.0,193.0,145.0,971.0,6.7,4.0,39.0,47.7,49.0,2.4,15.9,75.1,5.0,817.0,5.0,4122.0,20.0,13.0,30.0,
11,NYG (2 Yrs),NYG (2 Yrs),NYG (2 Yrs),NYG (2 Yrs),,18.0,6.0,121.0,461.0,4.0,24.0,46.3,43.0,3.8,25.6,6.7,25.0,22.0,115.0,5.2,0.0,4.0,44.0,23.0,1.2,6.4,88.0,4.6,143.0,4.0,576.0,4.0,2.0,3.0,
12,HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,17.0,10.0,216.0,898.0,4.0,41.0,47.7,24.0,4.2,52.8,12.7,38.0,30.0,193.0,6.4,0.0,7.0,36.8,41.0,1.8,11.4,78.9,5.1,246.0,4.4,1091.0,4.0,1.0,7.0,
