,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,94.0,1.0,1.0,2025-09-07,NYG,@,WAS,"L, 6-21",,3,9,0,3.0,0,0,0,,0,,,0,0,0,,10,14.7,0,0.0,0,0.0
1,2.0,95.0,2.0,2.0,2025-09-14,NYG,@,DAL,"L, 37-40 (OT)",*,1,4,0,4.0,1,1,-4,-4.0,0,100.0,-4.0,0,0,0,,4,6.0,0,0.0,0,0.0
2,3.0,96.0,3.0,3.0,2025-09-21,NYG,,KAN,"L, 9-22",,4,11,0,2.8,0,0,0,,0,,,5,134,0,26.8,16,24.2,0,0.0,5,23.8
3,,,,,,,,,0-3,,8,24,0,3.0,1,1,-4,-4.0,0,100.0,-4.0,5,134,0,26.8,30,14.9,0,0.0,5,6.1
