,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,62.0,1.0,1.0,2023-09-10,HOU,@,BAL,"L, 9-25",,7,15,0,2.1,0,0,0,,0,,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,16,20.8,0,0.0,0,0.0
1,2.0,63.0,2.0,2.0,2023-09-17,HOU,,IND,"L, 20-31",,4,14,0,3.5,1,1,10,10.0,0,100.0,10.0,0,0,,0,0,0,,,,0,0,2,37,0,18.5,0,0,0,0,0,0,30,35.7,0,0.0,4,13.8
2,3.0,64.0,3.0,3.0,2023-09-24,HOU,@,JAX,"W, 37-17",,9,41,0,4.6,2,2,4,2.0,0,100.0,2.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,22,39.3,0,0.0,0,0.0
3,4.0,65.0,4.0,4.0,2023-10-01,HOU,,PIT,"W, 30-6",,7,25,0,3.6,1,1,11,11.0,0,100.0,11.0,1,1,100.0,6,1,0,6.0,26.0,131.2,0,0,1,35,0,35.0,0,0,0,0,0,0,25,35.2,0,0.0,3,12.0
4,5.0,66.0,5.0,5.0,2023-10-08,HOU,@,ATL,"L, 19-21",,0,0,0,,1,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,17,29.3,0,0.0,4,13.8
5,6.0,67.0,6.0,6.0,2023-10-15,HOU,,NOR,"W, 20-13",,12,58,0,4.8,2,1,4,4.0,0,50.0,2.0,0,0,,0,0,0,,,,0,0,1,18,0,18.0,0,0,0,0,0,0,34,54.0,0,0.0,4,15.4
6,7.0,68.0,7.0,8.0,2023-10-29,HOU,@,CAR,"L, 13-15",,10,30,0,3.0,2,2,13,6.5,0,100.0,6.5,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,23,39.7,0,0.0,2,8.3
7,8.0,69.0,8.0,9.0,2023-11-05,HOU,,TAM,"W, 39-37",*,13,26,0,2.0,2,2,0,0.0,0,100.0,0.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,54,75.0,0,0.0,0,0.0
8,9.0,70.0,9.0,10.0,2023-11-12,HOU,@,CIN,"W, 30-27",*,30,150,1,5.0,2,1,11,11.0,0,50.0,5.5,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,61,81.3,0,0.0,0,0.0
9,10.0,71.0,10.0,11.0,2023-11-19,HOU,,ARI,"W, 21-16",*,22,112,1,5.1,2,2,6,3.0,0,100.0,3.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,57,85.1,0,0.0,0,0.0
10,11.0,72.0,11.0,12.0,2023-11-26,HOU,,JAX,"L, 21-24",*,6,18,0,3.0,7,6,54,9.0,0,85.7,7.7,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,49,81.7,0,0.0,0,0.0
11,12.0,73.0,12.0,13.0,2023-12-03,HOU,,DEN,"W, 22-17",*,8,36,0,4.5,1,1,4,4.0,0,100.0,4.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,31,45.6,0,0.0,0,0.0
12,13.0,74.0,13.0,14.0,2023-12-10,HOU,@,NYJ,"L, 6-30",*,13,65,1,5.0,3,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,32,57.1,0,0.0,5,17.2
13,14.0,75.0,14.0,15.0,2023-12-17,HOU,@,TEN,"W, 19-16 (OT)",*,26,121,0,4.7,5,4,49,12.3,0,80.0,9.8,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,58,75.3,0,0.0,0,0.0
14,15.0,76.0,15.0,16.0,2023-12-24,HOU,,CLE,"L, 22-36",*,9,44,0,4.9,3,3,19,6.3,0,100.0,6.3,0,0,,0,0,0,,,,0,0,0,0,0,,1,0,0,1,0,0,33,44.0,0,0.0,0,0.0
15,16.0,77.0,16.0,17.0,2023-12-31,HOU,,TEN,"W, 26-3",*,16,80,0,5.0,3,3,6,2.0,0,100.0,2.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,38,62.3,0,0.0,0,0.0
16,17.0,78.0,17.0,18.0,2024-01-06,HOU,@,IND,"W, 23-19",*,24,63,1,2.6,1,1,2,2.0,0,100.0,2.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,49,87.5,0,0.0,0,0.0
17,,,,,,,,,10-7,,216,898,4,4.2,38,30,193,6.4,0,78.9,5.1,1,1,100.0,6,1,0,6.0,26.0,131.2,0,0,4,90,0,22.5,1,0,0,1,0,0,629,55.5,0,0.0,22,4.7
