,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,74.0,1.0,1.0,2024-09-08,CAR,@,NOR,"L, 10-47",,5,22,0,4.4,2,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,22,37.3,0,0.0,0,0.0
1,2.0,75.0,2.0,2.0,2024-09-15,CAR,,LAC,"L, 3-26",,7,20,0,2.9,3,3,5,1.7,0,100.0,1.7,0,0,0,,0,0,0,0,0,0,20,41.7,0,0.0,0,0.0
2,3.0,76.0,3.0,3.0,2024-09-22,CAR,@,LVR,"W, 36-22",,7,17,1,2.4,2,2,13,6.5,0,100.0,6.5,0,0,0,,0,0,0,0,0,0,31,41.9,0,0.0,1,3.3
3,4.0,77.0,4.0,4.0,2024-09-29,CAR,,CIN,"L, 24-34",,6,32,0,5.3,4,3,14,4.7,0,75.0,3.5,0,0,0,,0,0,0,0,0,0,22,31.4,0,0.0,0,0.0
4,5.0,78.0,5.0,5.0,2024-10-06,CAR,@,CHI,"L, 10-36",,2,6,0,3.0,3,2,27,13.5,0,66.7,9.0,0,0,0,,0,0,0,0,0,0,23,38.3,0,0.0,0,0.0
5,6.0,79.0,6.0,6.0,2024-10-13,CAR,,ATL,"L, 20-38",,3,1,0,0.3,1,1,12,12.0,0,100.0,12.0,0,0,0,,0,0,0,0,0,0,15,22.7,0,0.0,0,0.0
6,7.0,80.0,7.0,7.0,2024-10-20,CAR,@,WAS,"L, 7-40",,3,34,0,11.3,2,1,-6,-6.0,0,50.0,-3.0,0,0,0,,0,0,0,0,0,0,11,25.6,0,0.0,0,0.0
7,8.0,81.0,8.0,8.0,2024-10-27,CAR,@,DEN,"L, 14-28",*,1,7,0,7.0,7,7,38,5.4,0,100.0,5.4,0,0,0,,0,0,0,0,0,0,21,34.4,0,0.0,0,0.0
8,9.0,82.0,9.0,9.0,2024-11-03,CAR,,NOR,"W, 23-22",,2,-5,0,-2.5,2,2,-5,-2.5,0,100.0,-2.5,1,14,0,14.0,0,0,0,0,0,0,12,22.6,0,0.0,3,10.3
9,10.0,83.0,10.0,10.0,2024-11-10,CAR,,NYG,"W, 20-17 (OT)",,2,5,0,2.5,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,6,10.0,0,0.0,0,0.0
10,10.0,,11.0,12.0,2024-11-24,CAR,,KAN,"L, 27-30",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,10.0,,12.0,13.0,2024-12-01,CAR,,TAM,"L, 23-26 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
