,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2019,22,PHI,NFL,RB,16.0,11.0,179.0,818.0,3.0,30.0,44.7,65.0,4.6,51.1,11.2,63.0,50.0,509.0,10.2,3.0,19.0,49.2,45.0,3.1,31.8,79.4,8.1,229.0,5.8,1327.0,6.0,2.0,8.0,AP ORoY-4
1,2020,23,PHI,NFL,RB,12.0,11.0,164.0,867.0,6.0,39.0,54.9,82.0,5.3,72.3,13.7,52.0,28.0,197.0,7.0,0.0,8.0,34.6,28.0,2.3,16.4,53.8,3.8,192.0,5.5,1064.0,6.0,4.0,6.0,
2,2021,24,PHI,NFL,RB,12.0,12.0,137.0,754.0,0.0,33.0,59.1,38.0,5.5,62.8,11.4,34.0,26.0,158.0,6.1,0.0,6.0,38.2,25.0,2.2,13.2,76.5,4.6,163.0,5.6,912.0,0.0,1.0,7.0,
3,2022,25,PHI,NFL,RB,17.0,15.0,259.0,1269.0,11.0,62.0,56.8,40.0,4.9,74.6,15.2,26.0,20.0,78.0,3.9,0.0,2.0,46.2,16.0,1.2,4.6,76.9,3.0,279.0,4.8,1347.0,11.0,2.0,10.0,PB
4,2023,26,CAR,NFL,RB,16.0,5.0,129.0,432.0,1.0,24.0,40.3,48.0,3.3,27.0,8.1,41.0,27.0,154.0,5.7,0.0,8.0,39.0,14.0,1.7,9.6,65.9,3.8,156.0,3.8,586.0,1.0,2.0,3.0,
5,2024,27,CAR,NFL,RB,11.0,2.0,55.0,205.0,2.0,12.0,45.5,26.0,3.7,18.6,5.0,30.0,24.0,148.0,6.2,1.0,5.0,23.3,33.0,2.2,13.5,80.0,4.9,79.0,4.5,353.0,3.0,1.0,3.0,
6,2025,28,DAL,NFL,RB,3.0,0.0,18.0,109.0,1.0,4.0,50.0,49.0,6.1,36.3,6.0,6.0,6.0,13.0,2.2,0.0,0.0,16.7,6.0,2.0,4.3,100.0,2.2,24.0,5.1,122.0,1.0,1.0,,
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,87.0,56.0,941.0,4454.0,24.0,204.0,51.4,82.0,4.7,51.2,10.8,252.0,181.0,1257.0,6.9,4.0,48.0,38.9,45.0,2.1,14.4,71.8,5.0,1122.0,5.1,5711.0,28.0,13.0,37.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,184.0,870.0,5.0,40.0,51.4,82.0,4.7,51.2,10.8,49.0,35.0,246.0,6.9,1.0,9.0,38.9,45.0,2.1,14.4,71.8,5.0,219.0,5.1,1116.0,5.0,3.0,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),,57.0,49.0,739.0,3708.0,20.0,164.0,53.9,82.0,5.0,65.1,13.0,175.0,124.0,942.0,7.6,3.0,35.0,42.3,45.0,2.2,16.5,70.9,5.4,863.0,5.4,4650.0,23.0,9.0,31.0,
11,CAR (2 Yrs),CAR (2 Yrs),CAR (2 Yrs),CAR (2 Yrs),,27.0,7.0,184.0,637.0,3.0,36.0,41.8,48.0,3.5,23.6,6.8,71.0,51.0,302.0,5.9,1.0,13.0,32.4,33.0,1.9,11.2,71.8,4.3,235.0,4.0,939.0,4.0,3.0,6.0,
12,DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,3.0,0.0,18.0,109.0,1.0,4.0,50.0,49.0,6.1,36.3,6.0,6.0,6.0,13.0,2.2,0.0,0.0,16.7,6.0,2.0,4.3,100.0,2.2,24.0,5.1,122.0,1.0,1.0,,
