,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2024,22,MIN,NFL,WR,1,1,8,3,29,9.7,0,2,37.5,15,3.0,29.0,37.5,3.6,0,0,0,0,0.0,0.0,3,9.7,29,0,0,
1,1 Yr,1 Yr,1 Yr,1 Yr,,1,1,8,3,29,9.7,0,2,37.5,15,3.0,29.0,37.5,3.6,0,0,0,0,0.0,0.0,3,9.7,29,0,0,
2,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,136,51,493,9.7,0,34,37.5,15,3.0,29.0,37.5,3.6,0,0,0,0,0.0,0.0,51,9.7,493,0,0,
