,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,109.0,1.0,1.0,2022-09-11,CLE,@,CAR,"W, 26-24",*,6,3,17,5.7,0,50.0,2.8,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,66,82.5,0,0.0,0,0.0
1,2.0,110.0,2.0,2.0,2022-09-18,CLE,,NYJ,"L, 30-31",*,10,9,101,11.2,1,90.0,10.1,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,54,80.6,0,0.0,1,3.3
2,3.0,111.0,3.0,3.0,2022-09-22,CLE,,PIT,"W, 29-17",*,11,7,101,14.4,1,63.6,9.2,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,59,81.9,0,0.0,1,3.6
3,4.0,112.0,4.0,4.0,2022-10-02,CLE,@,ATL,"L, 20-23",*,4,1,9,9.0,0,25.0,2.3,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,62,84.9,0,0.0,0,0.0
4,5.0,113.0,5.0,5.0,2022-10-09,CLE,,LAC,"L, 28-30",*,12,7,76,10.9,1,58.3,6.3,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,60,89.6,0,0.0,0,0.0
5,6.0,114.0,6.0,6.0,2022-10-16,CLE,,NWE,"L, 15-38",*,12,4,44,11.0,1,33.3,3.7,0,0,,0,0,0,,,,0,0,0.0,1,1,0,0,0,0,53,75.7,0,0.0,0,0.0
6,7.0,115.0,7.0,7.0,2022-10-23,CLE,@,BAL,"L, 20-23",*,4,3,74,24.7,0,75.0,18.5,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,57,95.0,0,0.0,0,0.0
7,8.0,116.0,8.0,8.0,2022-10-31,CLE,,CIN,"W, 32-13",*,7,5,131,26.2,1,71.4,18.7,0,1,0.0,0,0,1,0.0,-45.0,0.0,0,0,0.0,0,0,0,0,0,0,57,79.2,0,0.0,2,8.7
8,9.0,117.0,9.0,10.0,2022-11-13,CLE,@,MIA,"L, 17-39",*,3,3,32,10.7,0,100.0,10.7,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,58,86.6,0,0.0,0,0.0
9,10.0,118.0,10.0,11.0,2022-11-20,CLE,@,BUF,"L, 23-31",*,12,8,113,14.1,2,66.7,9.4,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,63,84.0,0,0.0,0,0.0
10,11.0,119.0,11.0,12.0,2022-11-27,CLE,,TAM,"W, 23-17 (OT)",*,12,7,94,13.4,0,58.3,7.8,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,73,92.4,0,0.0,0,0.0
11,12.0,120.0,12.0,13.0,2022-12-04,CLE,@,HOU,"W, 27-14",*,9,4,40,10.0,0,44.4,4.4,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,51,81.0,0,0.0,1,3.2
12,13.0,121.0,13.0,14.0,2022-12-11,CLE,@,CIN,"L, 10-23",*,7,2,42,21.0,0,28.6,6.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,62,86.1,0,0.0,0,0.0
13,14.0,122.0,14.0,15.0,2022-12-17,CLE,,BAL,"W, 13-3",*,6,4,58,14.5,0,66.7,9.7,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,48,72.7,0,0.0,0,0.0
14,15.0,123.0,15.0,16.0,2022-12-24,CLE,,NOR,"L, 10-17",*,10,6,72,12.0,0,60.0,7.2,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,62,88.6,0,0.0,0,0.0
15,16.0,124.0,16.0,17.0,2023-01-01,CLE,@,WAS,"W, 24-10",*,4,3,105,35.0,2,75.0,26.3,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,35,61.4,0,0.0,0,0.0
16,17.0,125.0,17.0,18.0,2023-01-08,CLE,@,PIT,"L, 14-28",*,3,2,51,25.5,0,66.7,17.0,0,0,,0,0,0,,,,0,0,0.0,1,1,0,0,0,0,58,90.6,0,0.0,0,0.0
17,,,,,,,,,7-10,,132,78,1160,14.9,9,59.1,8.8,0,1,0.0,0,0,1,0.0,-45.0,0.0,0,0,0.0,2,2,0,0,0,0,978,83.3,0,0.0,5,1.1
