,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,141.0,1.0,1,2024-09-08,CLE,,DAL,"L, 17-33",*,9,2,16,8.0,0,22.2,1.8,72,94.7,0,0.0,0,0.0
1,2.0,142.0,2.0,2,2024-09-15,CLE,@,JAX,"W, 18-13",*,8,3,11,3.7,0,37.5,1.4,63,87.5,0,0.0,1,3.7
2,3.0,143.0,3.0,3,2024-09-22,CLE,,NYG,"L, 15-21",*,12,7,86,12.3,2,58.3,7.2,60,89.6,0,0.0,0,0.0
3,4.0,144.0,4.0,4,2024-09-29,CLE,@,LVR,"L, 16-20",*,8,4,35,8.8,0,50.0,4.4,55,93.2,0,0.0,0,0.0
4,5.0,145.0,5.0,5,2024-10-06,CLE,@,WAS,"L, 13-34",*,10,4,60,15.0,0,40.0,6.0,51,82.3,0,0.0,0,0.0
5,6.0,146.0,6.0,6,2024-10-13,CLE,@,PHI,"L, 16-20",*,6,4,42,10.5,0,66.7,7.0,47,82.5,0,0.0,0,0.0
6,,,,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills,Player went from Cleveland Browns to Buffalo Bills
7,7.0,147.0,7.0,7,2024-10-20,BUF,,TEN,"W, 34-10",,5,4,66,16.5,1,80.0,13.2,19,34.5,0,0.0,0,0.0
8,8.0,148.0,8.0,8,2024-10-27,BUF,@,SEA,"W, 31-10",*,2,1,3,3.0,0,50.0,1.5,38,50.0,0,0.0,0,0.0
9,8.0,,9.0,9,2024-11-03,BUF,,MIA,"W, 30-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,8.0,,10.0,10,2024-11-10,BUF,@,IND,"W, 30-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,9.0,149.0,11.0,11,2024-11-17,BUF,,KAN,"W, 30-21",*,3,2,55,27.5,0,66.7,18.3,37,50.7,0,0.0,0,0.0
12,10.0,150.0,12.0,13,2024-12-01,BUF,,SFO,"W, 35-10",,3,3,12,4.0,0,100.0,4.0,27,46.6,0,0.0,0,0.0
13,11.0,151.0,13.0,14,2024-12-08,BUF,@,LAR,"L, 42-44",*,14,6,95,15.8,0,42.9,6.8,32,53.3,0,0.0,0,0.0
14,12.0,152.0,14.0,15,2024-12-15,BUF,@,DET,"W, 48-42",*,0,0,0,,0,,,32,45.7,0,0.0,0,0.0
15,13.0,153.0,15.0,16,2024-12-22,BUF,,NWE,"W, 24-21",,2,1,10,10.0,0,50.0,5.0,32,54.2,0,0.0,0,0.0
16,14.0,154.0,16.0,17,2024-12-29,BUF,,NYJ,"W, 40-14",,3,3,56,18.7,1,100.0,18.7,22,31.4,0,0.0,0,0.0
17,14.0,,17.0,18,2025-01-05,BUF,@,NWE,"L, 16-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,,,,,,,,8-6,,85,44,547,12.4,4,51.8,6.4,587,64.2,0,0.0,1,0.3
