,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2018,23,MIN,NFL,TE,16.0,3.0,7.0,5.0,77.0,15.4,0.0,3.0,71.4,33.0,0.3,4.8,71.4,11.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,5.0,15.4,77.0,0.0,0.0,1.0,
1,2019,24,MIN,NFL,TE,15.0,1.0,10.0,8.0,58.0,7.3,0.0,2.0,60.0,20.0,0.5,3.9,80.0,5.8,0.0,0.0,0.0,0.0,,,,0.0,0.0,8.0,7.3,58.0,0.0,0.0,1.0,
2,2020,25,MIN,NFL,TE,16.0,2.0,26.0,19.0,194.0,10.2,1.0,11.0,61.5,30.0,1.2,12.1,73.1,7.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,19.0,10.2,194.0,1.0,1.0,2.0,
3,2021,26,MIN,NFL,TE,17.0,15.0,87.0,61.0,593.0,9.7,3.0,26.0,47.1,40.0,3.6,34.9,70.1,6.8,0.0,0.0,0.0,0.0,,,,0.0,0.0,61.0,9.7,593.0,3.0,1.0,5.0,
4,2022,27,NYJ,NFL,TE,17.0,16.0,87.0,58.0,552.0,9.5,3.0,25.0,44.8,30.0,3.4,32.5,66.7,6.3,2.0,3.0,0.0,2.0,100.0,2.0,1.5,0.2,0.1,60.0,9.3,555.0,3.0,2.0,4.0,
5,2023,28,NYJ,NFL,TE,17.0,12.0,87.0,61.0,621.0,10.2,0.0,27.0,44.8,37.0,3.6,36.5,70.1,7.1,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,62.0,10.0,621.0,0.0,0.0,4.0,
6,2024,29,NYJ,NFL,TE,16.0,15.0,72.0,51.0,449.0,8.8,4.0,24.0,52.8,27.0,3.2,28.1,70.8,6.2,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,52.0,8.6,449.0,4.0,0.0,4.0,
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,114.0,64.0,376.0,263.0,2544.0,9.7,11.0,118.0,48.9,40.0,2.3,22.3,69.9,6.8,4.0,3.0,0.0,2.0,50.0,2.0,0.8,0.0,0.0,267.0,9.5,2547.0,11.0,4.0,21.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,10.0,56.0,39.0,379.0,9.7,2.0,18.0,48.9,40.0,2.3,22.3,69.9,6.8,1.0,0.0,0.0,0.0,50.0,2.0,0.8,0.0,0.0,40.0,1.4,380.0,2.0,1.0,3.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MIN (4 Yrs),MIN (4 Yrs),MIN (4 Yrs),MIN (4 Yrs),,64.0,21.0,130.0,93.0,922.0,9.9,4.0,42.0,52.3,40.0,1.5,14.4,71.5,7.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,93.0,9.9,922.0,4.0,2.0,9.0,
11,NYJ (3 Yrs),NYJ (3 Yrs),NYJ (3 Yrs),NYJ (3 Yrs),,50.0,43.0,246.0,170.0,1622.0,9.5,7.0,76.0,47.2,37.0,3.4,32.4,69.1,6.6,4.0,3.0,0.0,2.0,50.0,2.0,0.8,0.1,0.1,174.0,9.3,1625.0,7.0,2.0,12.0,
