,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2016,23,SEA,NFL,RB,2.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,1.5,0.5,2.0,1.0,5.0,5.0,0.0,0.0,50.0,5.0,0.5,2.5,50.0,2.5,2.0,4.0,8.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018,25,SEA,NFL,RB,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,2.0,13.0,6.5,1.0,1.0,33.3,7.0,2.0,13.0,66.7,4.3,2.0,6.5,13.0,1.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020,27,WAS,NFL,RB,1.0,0.0,2.0,5.0,1.0,1.0,50.0,3.0,2.5,5.0,2.0,3.0,2.0,8.0,4.0,0.0,0.0,33.3,7.0,2.0,8.0,66.7,2.7,4.0,3.3,13.0,1.0,0.0,
5,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,4.0,0.0,3.0,8.0,1.0,1.0,33.3,3.0,2.7,2.0,0.8,8.0,5.0,26.0,5.2,1.0,1.0,37.5,7.0,1.3,6.5,62.5,3.3,8.0,4.3,34.0,2.0,0.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,0.0,13.0,34.0,4.0,4.0,33.3,3.0,2.7,2.0,0.8,34.0,21.0,111.0,5.2,4.0,4.0,37.5,7.0,1.3,6.5,62.5,3.3,34.0,4.3,145.0,9.0,0.0,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SEA (2 Yrs),SEA (2 Yrs),SEA (2 Yrs),SEA (2 Yrs),,3.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0,0.3,5.0,3.0,18.0,6.0,1.0,1.0,40.0,7.0,1.0,6.0,60.0,3.6,4.0,5.3,21.0,1.0,0.0,
9,WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),WAS (1 Yr),,1.0,0.0,2.0,5.0,1.0,1.0,50.0,3.0,2.5,5.0,2.0,3.0,2.0,8.0,4.0,0.0,0.0,33.3,7.0,2.0,8.0,66.7,2.7,4.0,3.3,13.0,1.0,0.0,
