,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,74.0,1.0,1.0,2023-09-10,JAX,@,IND,"W, 31-21",*,3,1,9,9.0,0,33.3,3.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,42,60.0,0,0.0,0,0.0
1,2.0,75.0,2.0,2.0,2023-09-17,JAX,,KAN,"L, 9-17",*,14,11,110,10.0,0,78.6,7.9,0,0,0,,1,1,100.0,-1,0,0,-1.0,-1.00,79.2,0,0,0,0,0,,0,0,0,0,0,0,54,80.6,0,0.0,0,0.0
2,3.0,76.0,3.0,3.0,2023-09-24,JAX,,HOU,"L, 17-37",*,6,4,54,13.5,1,66.7,9.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,63,86.3,0,0.0,0,0.0
3,4.0,77.0,4.0,4.0,2023-10-01,JAX,,ATL,"W, 23-7",*,12,8,84,10.5,0,66.7,7.0,0,0,0,,0,0,,0,0,0,,,,0,0,1,12,0,12.0,0,0,0,0,0,0,52,78.8,0,0.0,4,18.2
4,5.0,78.0,5.0,5.0,2023-10-08,JAX,@,BUF,"W, 25-20",*,8,6,78,13.0,0,75.0,9.8,1,6,0,6.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,73,83.0,0,0.0,2,8.0
5,6.0,79.0,6.0,6.0,2023-10-15,JAX,,IND,"W, 37-20",*,6,3,49,16.3,1,50.0,8.2,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,45,70.3,0,0.0,2,6.5
6,7.0,80.0,7.0,7.0,2023-10-19,JAX,@,NOR,"W, 31-24",*,6,6,90,15.0,1,100.0,15.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,1,1,0,0,0,0,45,80.4,0,0.0,0,0.0
7,8.0,81.0,8.0,8.0,2023-10-29,JAX,@,PIT,"W, 20-10",*,5,4,46,11.5,0,80.0,9.2,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,47,66.2,0,0.0,0,0.0
8,9.0,82.0,9.0,10.0,2023-11-12,JAX,,SFO,"L, 3-34",*,11,6,104,17.3,0,54.5,9.5,0,0,0,,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,1,15,0,15.0,1,1,0,0,0,0,51,89.5,0,0.0,3,13.0
9,10.0,83.0,10.0,11.0,2023-11-19,JAX,,TEN,"W, 34-14",*,6,3,48,16.0,0,50.0,8.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,54,76.1,0,0.0,1,4.0
10,11.0,84.0,11.0,12.0,2023-11-26,JAX,@,HOU,"W, 24-21",*,7,4,89,22.3,0,57.1,12.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,58,76.3,0,0.0,0,0.0
11,12.0,85.0,12.0,13.0,2023-12-04,JAX,,CIN,"L, 31-34 (OT)",*,1,1,26,26.0,0,100.0,26.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,1,1.4,0,0.0,0,0.0
