,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2018,22,ARI,NFL,WR,12.0,7.0,68.0,43.0,590.0,13.7,3.0,21.0,44.1,75.0,3.6,49.2,63.2,8.7,3.0,35.0,0.0,2.0,100.0,23.0,11.7,2.9,0.3,46.0,13.6,625.0,3.0,0.0,4.0,
1,2019,23,ARI,NFL,WR,13.0,13.0,108.0,68.0,709.0,10.4,3.0,31.0,52.8,69.0,5.2,54.5,63.0,6.6,10.0,93.0,0.0,4.0,80.0,28.0,9.3,7.2,0.8,78.0,10.3,802.0,3.0,0.0,7.0,
2,2020,24,ARI,NFL,WR,14.0,10.0,79.0,48.0,621.0,12.9,6.0,30.0,49.4,80.0,3.4,44.4,60.8,7.9,2.0,3.0,0.0,1.0,50.0,3.0,1.5,0.2,0.1,50.0,12.5,624.0,6.0,1.0,5.0,
3,2021,25,ARI,NFL,WR,17.0,11.0,103.0,77.0,982.0,12.8,5.0,44.0,60.2,50.0,4.5,57.8,74.8,9.5,1.0,11.0,0.0,1.0,100.0,11.0,11.0,0.6,0.1,78.0,12.7,993.0,5.0,0.0,10.0,
4,2022,26,JAX,NFL,WR,17.0,17.0,133.0,84.0,1108.0,13.2,8.0,55.0,52.6,49.0,4.9,65.2,63.2,8.3,5.0,11.0,0.0,0.0,60.0,5.0,2.2,0.6,0.3,89.0,12.6,1119.0,8.0,1.0,10.0,
5,2023,27,JAX,NFL,WR,12.0,12.0,85.0,57.0,787.0,13.8,3.0,34.0,57.6,57.0,4.8,65.6,67.1,9.3,1.0,6.0,0.0,0.0,100.0,6.0,6.0,0.5,0.1,58.0,13.7,793.0,3.0,2.0,7.0,
6,2024,28,JAX,NFL,WR,8.0,7.0,47.0,27.0,379.0,14.0,1.0,18.0,48.9,61.0,3.4,47.4,57.4,8.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,27.0,14.0,379.0,1.0,0.0,3.0,
7,2025,29,HOU,NFL,WR,1.0,1.0,8.0,3.0,25.0,8.3,0.0,2.0,25.0,13.0,3.0,25.0,37.5,3.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,8.3,25.0,0.0,0.0,,
8,8 Yrs,8 Yrs,8 Yrs,8 Yrs,,94.0,78.0,631.0,407.0,5201.0,12.8,29.0,235.0,52.6,80.0,4.3,55.3,64.5,8.2,22.0,159.0,0.0,8.0,77.3,28.0,7.2,1.7,0.2,429.0,12.5,5360.0,29.0,4.0,46.0,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,14.0,114.0,74.0,941.0,12.8,5.0,43.0,52.6,80.0,4.3,55.3,64.5,8.2,4.0,29.0,0.0,1.0,77.3,28.0,7.2,1.7,0.2,78.0,12.5,969.0,5.0,1.0,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ARI (4 Yrs),ARI (4 Yrs),ARI (4 Yrs),ARI (4 Yrs),,56.0,41.0,358.0,236.0,2902.0,12.3,17.0,126.0,52.5,80.0,4.2,51.8,65.9,8.1,16.0,142.0,0.0,8.0,81.3,28.0,8.9,2.5,0.3,252.0,12.1,3044.0,17.0,1.0,26.0,
12,JAX (3 Yrs),JAX (3 Yrs),JAX (3 Yrs),JAX (3 Yrs),,37.0,36.0,265.0,168.0,2274.0,13.5,12.0,107.0,53.6,61.0,4.5,61.5,63.4,8.6,6.0,17.0,0.0,0.0,66.7,6.0,2.8,0.5,0.2,174.0,13.2,2291.0,12.0,3.0,20.0,
13,HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,1.0,1.0,8.0,3.0,25.0,8.3,0.0,2.0,25.0,13.0,3.0,25.0,37.5,3.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,8.3,25.0,0.0,0.0,,
