,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2018-09-09,ARI,,WAS,"L, 6-24",,2,1,4,4.0,0,50.0,2.0,0,0,0,,2,44,0,22.0,45,84.9,0,0.0,4,20.0
1,2.0,2.0,2.0,2.0,2018-09-16,ARI,@,LAR,"L, 0-34",,5,4,27,6.8,0,80.0,5.4,0,0,0,,0,0,0,,31,68.9,0,0.0,2,11.1
2,3.0,3.0,3.0,3.0,2018-09-23,ARI,,CHI,"L, 14-16",*,8,7,90,12.9,0,87.5,11.3,0,0,0,,1,0,0,0.0,37,74.0,0,0.0,2,9.1
3,4.0,4.0,4.0,4.0,2018-09-30,ARI,,SEA,"L, 17-20",,5,4,28,7.0,0,80.0,5.6,1,7,0,7.0,1,0,0,0.0,40,66.7,0,0.0,4,14.3
4,5.0,5.0,5.0,5.0,2018-10-07,ARI,@,SFO,"W, 28-18",*,4,3,85,28.3,1,75.0,21.3,1,5,0,5.0,1,0,0,0.0,32,62.7,0,0.0,5,18.5
5,6.0,6.0,6.0,6.0,2018-10-14,ARI,@,MIN,"L, 17-27",*,7,6,77,12.8,0,85.7,11.0,0,0,0,,3,17,0,5.7,46,79.3,0,0.0,5,17.2
6,7.0,7.0,7.0,7.0,2018-10-18,ARI,,DEN,"L, 10-45",,6,3,57,19.0,0,50.0,9.5,0,0,0,,2,17,0,8.5,52,78.8,0,0.0,6,18.8
7,8.0,8.0,8.0,8.0,2018-10-28,ARI,,SFO,"W, 18-15",*,7,3,42,14.0,1,42.9,6.0,0,0,0,,0,0,0,,50,75.8,0,0.0,7,26.9
8,9.0,9.0,9.0,10.0,2018-11-11,ARI,@,KAN,"L, 14-26",*,6,2,8,4.0,0,33.3,1.3,0,0,0,,3,8,0,2.7,65,89.0,0,0.0,5,20.0
9,10.0,10.0,10.0,11.0,2018-11-18,ARI,,OAK,"L, 21-23",*,4,3,77,25.7,1,75.0,19.3,0,0,0,,4,38,0,9.5,48,88.9,0,0.0,8,24.2
10,11.0,11.0,11.0,12.0,2018-11-25,ARI,@,LAC,"L, 10-45",,6,4,41,10.3,0,66.7,6.8,0,0,0,,1,26,0,26.0,43,91.5,0,0.0,2,7.1
11,12.0,12.0,12.0,13.0,2018-12-02,ARI,@,GNB,"W, 20-17",*,8,3,54,18.0,0,37.5,6.8,1,23,0,23.0,3,14,0,4.7,53,85.5,0,0.0,8,25.8
12,12.0,,13.0,14.0,2018-12-09,ARI,,DET,"L, 3-17",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
13,12.0,,14.0,15.0,2018-12-16,ARI,@,ATL,"L, 14-40",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
14,12.0,,15.0,16.0,2018-12-23,ARI,,LAR,"L, 9-31",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,12.0,,16.0,17.0,2018-12-30,ARI,@,SEA,"L, 24-27",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,,,,,,,,,3-9,,68,43,590,13.7,3,63.2,8.7,3,35,0,11.7,21,164,0,7.8,542,79.1,0,0.0,58,18.2
