,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,13.0,1.0,1.0,2019-09-08,ARI,,DET,"T, 27-27 (OT)",*,12,4,32,8.0,0,33.3,2.7,1,12,0,12.0,3,18,0,6.0,82,93.2,0,0.0,8,20.0
1,2.0,14.0,2.0,2.0,2019-09-15,ARI,@,BAL,"L, 17-23",*,8,6,114,19.0,0,75.0,14.3,0,0,0,,1,0,0,0.0,53,93.0,0,0.0,3,11.1
2,3.0,15.0,3.0,3.0,2019-09-22,ARI,,CAR,"L, 20-38",*,12,10,59,5.9,0,83.3,4.9,0,0,0,,2,20,0,10.0,69,92.0,0,0.0,3,10.0
3,4.0,16.0,4.0,4.0,2019-09-29,ARI,,SEA,"L, 10-27",*,5,4,37,9.3,0,80.0,7.4,1,6,0,6.0,1,1,0,1.0,59,93.7,0,0.0,5,20.0
4,4.0,,5.0,5.0,2019-10-06,ARI,@,CIN,"W, 26-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,4.0,,6.0,6.0,2019-10-13,ARI,,ATL,"W, 34-33",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,4.0,,7.0,7.0,2019-10-20,ARI,@,NYG,"W, 27-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,5.0,17.0,8.0,8.0,2019-10-27,ARI,@,NOR,"L, 9-31",*,11,8,79,9.9,0,72.7,7.2,1,19,0,19.0,0,0,0,,42,85.7,0,0.0,0,0.0
8,6.0,18.0,9.0,9.0,2019-10-31,ARI,,SFO,"L, 25-28",*,5,2,8,4.0,0,40.0,1.6,1,8,0,8.0,0,0,0,,54,96.4,0,0.0,0,0.0
9,7.0,19.0,10.0,10.0,2019-11-10,ARI,@,TAM,"L, 27-30",*,10,6,138,23.0,3,60.0,13.8,0,0,0,,0,0,0,,64,95.5,0,0.0,0,0.0
10,8.0,20.0,11.0,11.0,2019-11-17,ARI,@,SFO,"L, 26-36",*,9,6,41,6.8,0,66.7,4.6,1,1,0,1.0,0,0,0,,66,98.5,0,0.0,0,0.0
11,9.0,21.0,12.0,13.0,2019-12-01,ARI,,LAR,"L, 7-34",*,7,3,23,7.7,0,42.9,3.3,0,0,0,,0,0,0,,60,95.2,0,0.0,0,0.0
12,10.0,22.0,13.0,14.0,2019-12-08,ARI,,PIT,"L, 17-23",*,9,8,85,10.6,0,88.9,9.4,1,4,0,4.0,0,0,0,,56,96.6,0,0.0,1,4.2
13,11.0,23.0,14.0,15.0,2019-12-15,ARI,,CLE,"W, 38-24",*,5,4,33,8.3,0,80.0,6.6,1,28,0,28.0,0,0,0,,54,88.5,0,0.0,1,3.7
14,12.0,24.0,15.0,16.0,2019-12-22,ARI,@,SEA,"W, 27-13",*,5,0,0,,0,0.0,0.0,2,9,0,4.5,0,0,0,,65,94.2,0,0.0,0,0.0
15,13.0,25.0,16.0,17.0,2019-12-29,ARI,@,LAR,"L, 24-31",*,10,7,60,8.6,0,70.0,6.0,1,6,0,6.0,0,0,0,,67,98.5,0,0.0,0,0.0
16,,,,,,,,,2-10-1,,108,68,709,10.4,3,63.0,6.6,10,93,0,9.3,7,39,0,5.6,791,94.1,0,0.0,21,5.6
