,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2020-09-13,JAX,,IND,"W, 27-20",*,16,62,0,3.9,1,1,28,28.0,0,100.0,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,68.0,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2020-09-20,JAX,@,TEN,"L, 30-33",*,16,102,1,6.4,4,3,18,6.0,0,75.0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,38,50.0,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2020-09-24,JAX,,MIA,"L, 13-31",*,11,46,2,4.2,6,6,83,13.8,0,100.0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,30,45.5,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2020-10-04,JAX,@,CIN,"L, 25-33",*,17,75,0,4.4,4,4,32,8.0,0,100.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,76.5,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2020-10-11,JAX,@,HOU,"L, 14-30",*,13,48,0,3.7,7,5,22,4.4,0,71.4,3.1,0,0,0,0,0,1,4,1,1,0,0,0,0,43,57.3,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2020-10-18,JAX,,DET,"L, 16-34",*,12,29,0,2.4,4,4,24,6.0,1,100.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,44,68.8,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2020-10-25,JAX,@,LAC,"L, 29-39",*,22,119,1,5.4,6,4,18,4.5,1,66.7,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,90.5,0,0.0,0,0.0
7,8.0,8.0,8.0,9.0,2020-11-08,JAX,,HOU,"L, 25-27",*,25,99,1,4.0,2,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,72.5,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2020-11-15,JAX,@,GNB,"L, 20-24",*,23,109,0,4.7,5,2,3,1.5,0,40.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,53,82.8,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2020-11-22,JAX,,PIT,"L, 3-27",*,17,73,0,4.3,2,2,21,10.5,0,100.0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,41,70.7,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2020-11-29,JAX,,CLE,"L, 25-27",*,22,128,1,5.8,6,5,31,6.2,0,83.3,5.2,0,0,0,0,0,0,0,1,0,0,1,0,0,63,96.9,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2020-12-06,JAX,@,MIN,"L, 24-27 (OT)",*,18,78,1,4.3,6,6,30,5.0,0,100.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,84.5,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2020-12-13,JAX,,TEN,"L, 10-31",*,12,67,0,5.6,4,4,16,4.0,0,100.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,56.3,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2020-12-20,JAX,@,BAL,"L, 14-40",*,16,35,0,2.2,3,3,18,6.0,1,100.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,62.1,0,0.0,0,0.0
14,14.0,,15.0,16.0,2020-12-27,JAX,,CHI,"L, 17-41",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,14.0,,16.0,17.0,2021-01-03,JAX,@,IND,"L, 14-28",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,1-13,,240,1070,7,4.5,60,49,344,7.0,3,81.7,5.7,0,0,0,0,0,1,4,3,1,0,1,0,0,641,69.8,0,0.0,0,0.0
