,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds.1,1D.1,YBC.1,YBC/R,YAC.1,YAC/R,ADOT,BrkTkl.1,Rec/Br,Drop,Drop%,Int,Rat,Awards
0,2020,22,JAX,NFL,RB,14.0,14.0,240.0,1070.0,54.0,455.0,1.9,615.0,2.6,16.0,15.0,60.0,49.0,344.0,15.0,-39.0,-0.8,383.0,7.8,-0.8,5.0,9.8,2.0,3.3,0.0,107.2,
1,2021,23,JAX,NFL,RB,14.0,13.0,164.0,767.0,41.0,450.0,2.7,317.0,1.9,11.0,14.9,46.0,31.0,222.0,9.0,-8.0,-0.3,230.0,7.4,0.9,2.0,15.5,4.0,8.7,0.0,78.4,
2,2022,24,2TM,NFL,RB,11.0,5.0,110.0,425.0,22.0,288.0,2.6,137.0,1.2,6.0,18.3,14.0,11.0,51.0,5.0,-6.0,-0.5,57.0,5.2,0.5,0.0,,0.0,0.0,0.0,121.4,
3,2022,24,JAX,NFL,RB,7.0,5.0,81.0,340.0,18.0,222.0,2.7,118.0,1.5,4.0,20.3,11.0,9.0,46.0,4.0,3.0,0.3,43.0,4.8,1.4,0.0,,0.0,0.0,0.0,114.4,
4,2022,24,NYJ,NFL,RB,4.0,0.0,29.0,85.0,4.0,66.0,2.3,19.0,0.7,2.0,14.5,3.0,2.0,5.0,1.0,-9.0,-4.5,14.0,7.0,-2.7,0.0,,0.0,0.0,0.0,109.7,
5,2023,25,GNB,NFL,RB,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,1.0,1.0,-2.0,0.0,-3.0,-3.0,1.0,1.0,-3.0,0.0,,0.0,0.0,0.0,79.2,
6,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,40.0,32.0,515.0,2264.0,117.0,1193.0,2.3,1071.0,2.1,33.0,15.6,121.0,92.0,615.0,29.0,-56.0,-0.6,671.0,7.3,0.0,7.0,13.1,6.0,5.0,0.0,100.4,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,14.0,219.0,962.0,50.0,507.0,2.3,455.0,2.1,14.0,15.6,51.0,39.0,261.0,12.0,-24.0,-0.6,285.0,7.3,0.0,3.0,13.1,3.0,5.0,0.0,100.4,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,JAX (3 Yrs),JAX (3 Yrs),JAX (3 Yrs),JAX (3 Yrs),,35.0,32.0,485.0,2177.0,113.0,1127.0,2.3,1050.0,2.2,31.0,15.6,117.0,89.0,612.0,28.0,-44.0,-0.5,656.0,7.4,0.1,7.0,12.7,6.0,5.1,0.0,98.7,
10,NYJ (1 Yr),NYJ (1 Yr),NYJ (1 Yr),NYJ (1 Yr),,4.0,0.0,29.0,85.0,4.0,66.0,2.3,19.0,0.7,2.0,14.5,3.0,2.0,5.0,1.0,-9.0,-4.5,14.0,7.0,-2.7,0.0,,0.0,0.0,0.0,109.7,
11,GNB (1 Yr),GNB (1 Yr),GNB (1 Yr),GNB (1 Yr),,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,,1.0,1.0,-2.0,0.0,-3.0,-3.0,1.0,1.0,-3.0,0.0,,0.0,0.0,0.0,79.2,
