,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,Y/R,TD.2,Ctch%,Y/Tgt,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,84.0,1.0,1.0,2022-09-11,DET,,PHI,"L, 35-38",*,21,37,56.8,215,2,1,5.8,5.68,80.3,1,10,2,9,0,4.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,0,0,1,6,0,69,100.0,0,0.0,0,0.0
1,2.0,85.0,2.0,2.0,2022-09-18,DET,,WAS,"W, 36-27",*,20,34,58.8,256,4,0,7.5,9.88,121.7,3,22,2,-2,0,-1.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
2,3.0,86.0,3.0,3.0,2022-09-25,DET,@,MIN,"L, 24-28",*,25,41,61.0,277,1,1,6.8,6.15,79.0,0,0,2,8,0,4.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,78,100.0,0,0.0,0,0.0
3,4.0,87.0,4.0,4.0,2022-10-02,DET,,SEA,"L, 45-48",*,26,39,66.7,378,4,1,9.7,10.59,121.5,1,9,1,1,0,1.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
4,5.0,88.0,5.0,5.0,2022-10-09,DET,@,NWE,"L, 0-29",*,19,35,54.3,229,0,1,6.5,5.26,62.7,2,18,3,7,0,2.3,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,66,100.0,0,0.0,0,0.0
5,6.0,89.0,6.0,7.0,2022-10-23,DET,@,DAL,"L, 6-24",*,21,26,80.8,228,0,2,8.8,5.31,71.2,5,33,1,4,0,4.0,0,0,0,,0,,,0.0,2,2,0,0,0,0,2,2,0,0,0,0,59,100.0,0,0.0,0,0.0
6,7.0,90.0,7.0,8.0,2022-10-30,DET,,MIA,"L, 27-31",*,27,37,73.0,321,1,0,8.7,9.22,108.1,1,10,1,3,0,3.0,1,1,5,5.0,0,100.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,100.0,0,0.0,0,0.0
7,8.0,91.0,8.0,9.0,2022-11-06,DET,,GNB,"W, 15-9",*,14,26,53.8,137,2,1,5.3,5.08,78.5,0,0,1,-1,0,-1.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0
8,9.0,92.0,9.0,10.0,2022-11-13,DET,@,CHI,"W, 31-30",*,19,26,73.1,236,1,0,9.1,9.85,113.6,2,8,4,14,0,3.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,0,0,0,0,0,62,100.0,0,0.0,0,0.0
9,10.0,93.0,10.0,11.0,2022-11-20,DET,@,NYG,"W, 31-18",*,17,26,65.4,165,0,0,6.3,6.35,83.0,0,0,4,-1,0,-0.3,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
10,11.0,94.0,11.0,12.0,2022-11-24,DET,,BUF,"L, 25-28",*,23,37,62.2,240,2,0,6.5,7.57,98.9,2,10,0,0,0,,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
11,12.0,95.0,12.0,13.0,2022-12-04,DET,,JAX,"W, 40-14",*,31,41,75.6,340,2,0,8.3,9.27,115.9,2,3,0,0,0,,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,74,97.4,0,0.0,0,0.0
12,13.0,96.0,13.0,14.0,2022-12-11,DET,,MIN,"W, 34-23",*,27,39,69.2,330,3,0,8.5,10.0,120.7,0,0,2,9,0,4.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,70,100.0,0,0.0,0,0.0
13,14.0,97.0,14.0,15.0,2022-12-18,DET,@,NYJ,"W, 20-17",*,23,38,60.5,252,1,0,6.6,7.16,88.9,0,0,0,0,0,,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
14,15.0,98.0,15.0,16.0,2022-12-24,DET,@,CAR,"L, 23-37",*,25,42,59.5,355,3,0,8.5,9.88,110.7,2,19,3,15,0,5.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,1,0,0,-1,0,66,100.0,0,0.0,0,0.0
15,16.0,99.0,16.0,17.0,2023-01-01,DET,,CHI,"W, 41-10",*,21,29,72.4,255,3,0,8.8,10.86,133.5,1,9,1,2,0,2.0,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,64,90.1,0,0.0,0,0.0
16,17.0,100.0,17.0,18.0,2023-01-08,DET,@,GNB,"W, 20-16",*,23,34,67.6,224,0,0,6.6,6.59,85.9,1,5,2,5,0,2.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,0,0,1,0,0,62,100.0,0,0.0,0,0.0
17,,,,,,,,,9-8,,382,587,65.1,4438,29,7,7.6,8.01,99.3,23,156,29,73,0,2.5,1,1,5,5.0,0,100.0,5.0,0.0,2,2,0,0,0,0,7,4,0,2,5,0,1133,99.2,0,0.0,0,0.0
