,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2021,22,CAR,NFL,RB,17,10,172,612,5,36,43.0,26,3.6,36.0,10.1,37,25,174,7.0,1,8,40.5,33,1.5,10.2,67.6,4.7,197,4.0,786,6,1,5.0,
1,2022,23,CAR,NFL,RB,15,2,95,466,2,23,45.3,35,4.9,31.1,6.3,17,14,171,12.2,0,5,47.1,45,0.9,11.4,82.4,10.1,109,5.8,637,2,2,4.0,
2,2023,24,CAR,NFL,RB,17,12,238,902,5,59,47.5,22,3.8,53.1,14.0,44,39,233,6.0,0,9,36.4,25,2.3,13.7,88.6,5.3,277,4.1,1135,5,1,6.0,
3,2024,25,CAR,NFL,RB,15,15,250,1195,10,62,54.8,38,4.8,79.7,16.7,54,43,171,4.0,1,10,31.5,20,2.9,11.4,79.6,3.2,293,4.7,1366,11,4,9.0,
4,2025,26,CAR,NFL,RB,3,3,43,168,0,9,51.2,14,3.9,56.0,14.3,14,10,74,7.4,2,4,35.7,27,3.3,24.7,71.4,5.3,53,4.6,242,2,0,,
5,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,67,42,798,3343,22,189,48.7,38,4.2,49.9,11.9,166,131,823,6.3,4,36,36.7,45,2.0,12.3,78.9,5.0,929,4.5,4166,26,8,24.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,11,202,848,6,48,48.7,38,4.2,49.9,11.9,42,33,209,6.3,1,9,36.7,45,2.0,12.3,78.9,5.0,236,4.5,1057,7,2,,
