,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2021-09-12,CAR,,NYJ,"W, 19-14",,0,0,0,,2,2,4,2.0,0,100.0,2.0,1,21,0,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,10.9,0,0.0,24,85.7
1,2.0,2.0,2.0,2.0,2021-09-19,CAR,,NOR,"W, 26-7",,8,10,0,1.3,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19,25.0,0,0.0,16,64.0
2,3.0,3.0,3.0,3.0,2021-09-23,CAR,@,HOU,"W, 24-9",,11,52,0,4.7,5,3,27,9.0,0,60.0,5.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,54.8,0,0.0,6,26.1
3,4.0,4.0,4.0,4.0,2021-10-03,CAR,@,DAL,"L, 28-36",*,13,57,0,4.4,2,2,14,7.0,0,100.0,7.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,33,47.1,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2021-10-10,CAR,,PHI,"L, 18-21",*,24,101,0,4.2,6,5,33,6.6,0,83.3,5.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,64.8,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2021-10-17,CAR,,MIN,"L, 28-34 (OT)",*,16,61,1,3.8,3,1,4,4.0,0,33.3,1.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,64.9,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2021-10-24,CAR,@,NYG,"L, 3-25",*,12,28,0,2.3,5,4,28,7.0,0,80.0,5.6,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,53.1,0,0.0,0,0.0
7,8.0,8.0,8.0,8.0,2021-10-31,CAR,@,ATL,"W, 19-13",*,24,82,1,3.4,2,1,9,9.0,0,50.0,4.5,0,0,0,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,41,55.4,0,0.0,1,3.8
8,9.0,9.0,9.0,9.0,2021-11-07,CAR,,NWE,"L, 6-24",,3,3,0,1.0,2,1,33,33.0,0,50.0,16.5,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,16.9,0,0.0,9,40.9
9,10.0,10.0,10.0,10.0,2021-11-14,CAR,@,ARI,"W, 34-10",,9,27,1,3.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,16,21.3,0,0.0,14,56.0
10,11.0,11.0,11.0,11.0,2021-11-21,CAR,,WAS,"L, 21-27",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0,0.0,11,42.3
11,12.0,12.0,12.0,12.0,2021-11-28,CAR,@,MIA,"L, 10-33",,2,6,0,3.0,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,11,20.0,0,0.0,11,39.3
12,13.0,13.0,13.0,14.0,2021-12-12,CAR,,ATL,"L, 21-29",*,10,33,1,3.3,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25,39.1,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2021-12-19,CAR,@,BUF,"L, 14-31",*,8,40,0,5.0,1,1,1,1.0,0,100.0,1.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,36,47.4,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2021-12-26,CAR,,TAM,"L, 6-32",*,6,9,0,1.5,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,48.6,0,0.0,0,0.0
15,16.0,16.0,16.0,17.0,2022-01-02,CAR,@,NOR,"L, 10-18",*,17,55,1,3.2,4,3,13,4.3,0,75.0,3.3,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,32,52.5,0,0.0,1,3.7
16,17.0,17.0,17.0,18.0,2022-01-09,CAR,@,TAM,"L, 17-41",*,9,48,0,5.3,2,2,8,4.0,1,100.0,4.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,44.4,0,0.0,1,3.6
17,,,,,,,,,5-12,,172,612,5,3.6,37,25,174,7.0,1,67.6,4.7,1,21,0,21.0,0.0,1,1,0,0,0,0,1,1,0,1,0,0,465,40.5,0,0.0,94,20.8
