,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2023,21,NWE,NFL,WR,5,0,7,2,19,9.5,0,1,28.6,11,0.4,3.8,28.6,2.7,0,0,0,0,0.0,0.0,2,9.5,19,0,0,0,
1,2024,22,NWE,NFL,WR,15,13,68,43,589,13.7,3,25,55.9,48,2.9,39.3,63.2,8.7,0,0,0,0,0.0,0.0,43,13.7,589,3,0,5,
2,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,20,13,75,45,608,13.5,3,26,53.3,48,2.3,30.4,60.0,8.1,0,0,0,0,0.0,0.0,45,13.5,608,3,0,5,
3,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,11,64,38,517,13.5,3,22,53.3,48,2.3,30.4,60.0,8.1,0,0,0,0,0.0,0.0,38,11.5,517,3,0,4,
