,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,192.0,1.0,1.0,2023-09-10,LAR,@,SEA,"W, 30-13",*,24,38,63.2,334,0,0,8.8,8.79,91.3,0,0,3,11,0,3.7,81,100.0,0,0.0,0,0.0
1,2.0,193.0,2.0,2.0,2023-09-17,LAR,,SFO,"L, 23-30",*,34,55,61.8,307,1,2,5.6,4.31,67.8,1,10,4,17,0,4.3,80,100.0,0,0.0,0,0.0
2,3.0,194.0,3.0,3.0,2023-09-25,LAR,@,CIN,"L, 16-19",*,18,33,54.5,269,1,2,8.2,6.03,66.4,6,48,1,7,0,7.0,55,100.0,0,0.0,0,0.0
3,4.0,195.0,4.0,4.0,2023-10-01,LAR,@,IND,"W, 29-23 (OT)",*,27,40,67.5,319,1,1,8.0,7.35,89.5,2,16,2,14,0,7.0,82,100.0,0,0.0,0,0.0
4,5.0,196.0,5.0,5.0,2023-10-08,LAR,,PHI,"L, 14-23",*,21,37,56.8,222,2,0,6.0,7.08,92.4,4,27,0,0,0,,56,100.0,0,0.0,0,0.0
5,6.0,197.0,6.0,6.0,2023-10-15,LAR,,ARI,"W, 26-9",*,15,24,62.5,226,1,0,9.4,10.25,107.3,3,23,1,2,0,2.0,57,100.0,0,0.0,0,0.0
6,7.0,198.0,7.0,7.0,2023-10-22,LAR,,PIT,"L, 17-24",*,14,29,48.3,231,1,1,8.0,7.10,72.6,2,12,1,8,0,8.0,68,100.0,0,0.0,0,0.0
7,8.0,199.0,8.0,8.0,2023-10-29,LAR,@,DAL,"L, 20-43",*,13,22,59.1,162,1,1,7.4,6.23,78.2,1,9,1,9,0,9.0,42,67.7,0,0.0,0,0.0
8,8.0,,9.0,9.0,2023-11-05,LAR,@,GNB,"L, 3-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,9.0,200.0,10.0,11.0,2023-11-19,LAR,,SEA,"W, 17-16",*,17,31,54.8,190,1,1,6.1,5.32,70.6,1,5,2,1,0,0.5,67,100.0,0,0.0,0,0.0
10,10.0,201.0,11.0,12.0,2023-11-26,LAR,@,ARI,"W, 37-14",*,25,33,75.8,229,4,1,6.9,8.00,121.1,0,0,1,2,0,2.0,64,95.5,0,0.0,0,0.0
11,11.0,202.0,12.0,13.0,2023-12-03,LAR,,CLE,"W, 36-19",*,22,37,59.5,279,3,0,7.5,9.16,110.1,0,0,1,-2,0,-2.0,64,100.0,0,0.0,0,0.0
12,12.0,203.0,13.0,14.0,2023-12-10,LAR,@,BAL,"L, 31-37 (OT)",*,23,41,56.1,294,3,0,7.2,8.63,103.1,2,12,1,-1,0,-1.0,77,100.0,0,0.0,0,0.0
13,13.0,204.0,14.0,15.0,2023-12-17,LAR,,WAS,"W, 28-20",*,25,33,75.8,258,2,0,7.8,9.03,118.0,3,9,1,2,0,2.0,75,100.0,0,0.0,0,0.0
14,14.0,205.0,15.0,16.0,2023-12-21,LAR,,NOR,"W, 30-22",*,24,34,70.6,328,2,0,9.6,10.82,120.7,1,3,1,-4,0,-4.0,70,100.0,0,0.0,0,0.0
15,15.0,206.0,16.0,17.0,2023-12-31,LAR,@,NYG,"W, 26-25",*,24,34,70.6,317,1,2,9.3,7.26,85.0,4,31,1,-1,0,-1.0,62,100.0,0,0.0,0,0.0
16,15.0,,17.0,18.0,2024-01-07,LAR,@,SFO,"W, 21-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,9-6,,326,521,62.6,3965,24,11,7.6,7.58,92.5,30,205,21,65,0,3.1,1000,97.8,0,0.0,0,0.0
