,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,46.0,1.0,1.0,2013-09-08,DET,,MIN,"W, 34-24",*,28,43,65.1,357,2,1,8.3,8.19,96.8,0,0,6,-3,0,-0.5,0.0,0,0,0,0,0.0,0,1,0,0,1,-1,0,80,100.0,0,0.0,0,0.0
1,2.0,47.0,2.0,2.0,2013-09-15,DET,@,ARI,"L, 21-25",*,24,36,66.7,278,2,0,7.7,8.83,108.3,1,5,2,1,0,0.5,0.0,0,0,0,0,,0,1,1,0,0,-6,0,59,100.0,0,0.0,0,0.0
2,3.0,48.0,3.0,3.0,2013-09-22,DET,@,WAS,"W, 27-20",*,25,42,59.5,385,2,1,9.2,9.05,95.8,1,7,1,2,0,2.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
3,4.0,49.0,4.0,4.0,2013-09-29,DET,,CHI,"W, 40-32",*,23,35,65.7,242,1,1,6.9,6.2,83.3,1,14,5,8,1,1.6,0.0,0,0,0,0,0.0,0,2,1,0,1,0,0,66,100.0,0,0.0,0,0.0
4,5.0,50.0,5.0,5.0,2013-10-06,DET,@,GNB,"L, 9-22",*,25,40,62.5,262,1,0,6.6,7.05,89.8,5,40,1,-1,0,-1.0,0.0,0,0,0,0,,0,1,0,0,0,0,0,67,100.0,0,0.0,0,0.0
5,6.0,51.0,6.0,6.0,2013-10-13,DET,@,CLE,"W, 31-17",*,25,43,58.1,248,4,1,5.8,6.58,95.9,1,0,2,6,0,3.0,0.0,1,0,1,0,,0,0,0,0,0,0,0,75,100.0,0,0.0,0,0.0
6,7.0,52.0,7.0,7.0,2013-10-20,DET,,CIN,"L, 24-27",*,28,51,54.9,357,3,0,7.0,8.18,96.6,0,0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,78,100.0,0,0.0,0,0.0
7,8.0,53.0,8.0,8.0,2013-10-27,DET,,DAL,"W, 31-30",*,33,48,68.8,488,1,2,10.2,8.71,91.3,1,8,3,12,1,4.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,80,100.0,0,0.0,0,0.0
8,9.0,54.0,9.0,10.0,2013-11-10,DET,@,CHI,"W, 21-19",*,18,35,51.4,219,3,1,6.3,6.69,87.7,0,0,2,-1,0,-0.5,0.0,0,0,0,0,0.0,0,1,0,0,0,-4,0,62,100.0,0,0.0,0,0.0
9,10.0,55.0,10.0,11.0,2013-11-17,DET,@,PIT,"L, 27-37",*,19,46,41.3,362,2,1,7.9,7.76,74.7,2,18,3,24,0,8.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,73,100.0,0,0.0,0,0.0
10,11.0,56.0,11.0,12.0,2013-11-24,DET,,TAM,"L, 21-24",*,26,46,56.5,297,3,4,6.5,3.85,61.6,2,11,2,6,0,3.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,76,100.0,0,0.0,0,0.0
11,12.0,57.0,12.0,13.0,2013-11-28,DET,,GNB,"W, 40-10",*,22,35,62.9,330,3,2,9.4,8.57,98.5,1,10,1,8,0,8.0,0.0,0,0,0,0,0.0,0,1,1,0,0,0,0,79,97.5,0,0.0,0,0.0
12,13.0,58.0,13.0,14.0,2013-12-08,DET,@,PHI,"L, 20-34",*,10,25,40.0,151,0,0,6.0,6.04,60.6,0,0,6,-1,0,-0.2,0.0,0,0,0,0,0.0,0,5,1,0,3,-24,0,61,100.0,0,0.0,0,0.0
13,14.0,59.0,14.0,15.0,2013-12-16,DET,,BAL,"L, 16-18",*,18,34,52.9,235,1,3,6.9,3.53,48.0,1,5,2,9,0,4.5,0.0,0,0,0,0,,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
14,15.0,60.0,15.0,16.0,2013-12-22,DET,,NYG,"L, 20-23 (OT)",*,25,42,59.5,222,0,2,5.3,3.14,53.9,2,15,1,-1,0,-1.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,85,100.0,0,0.0,0,0.0
15,16.0,61.0,16.0,17.0,2013-12-29,DET,@,MIN,"L, 13-14",*,22,33,66.7,217,1,0,6.6,7.18,95.1,5,35,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,60,100.0,0,0.0,0,0.0
16,,,,,,,,,7-9,,371,634,58.5,4650,29,19,7.3,6.9,84.2,23,168,37,69,2,1.9,0.0,1,0,1,0,0.0,0,12,4,0,5,-35,0,1133,99.8,0,0.0,0,0.0
