,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD
0,1.0,14.0,1.0,1.0,2011-09-11,DET,@,TAM,"W, 27-20",*,24,33,72.7,305,3,1,9.2,9.7,118.9,0,0,1,0,0,0.0,1,0,0,1,-4,0
1,2.0,15.0,2.0,2.0,2011-09-18,DET,,KAN,"W, 48-3",*,23,39,59.0,294,4,1,7.5,8.44,106.1,0,0,1,1,0,1.0,0,0,0,0,0,0
2,3.0,16.0,3.0,3.0,2011-09-25,DET,@,MIN,"W, 26-23 (OT)",*,32,46,69.6,378,2,0,8.2,9.09,108.8,5,40,1,-1,0,-1.0,1,0,0,0,0,0
3,4.0,17.0,4.0,4.0,2011-10-02,DET,@,DAL,"W, 34-30",*,21,43,48.8,240,2,1,5.6,5.47,71.9,0,0,1,-1,0,-1.0,0,0,0,0,0,0
4,5.0,18.0,5.0,5.0,2011-10-10,DET,,CHI,"W, 24-13",*,19,26,73.1,219,2,1,8.4,8.23,107.7,1,5,1,1,0,1.0,0,0,0,0,0,0
5,6.0,19.0,6.0,6.0,2011-10-16,DET,,SFO,"L, 19-25",*,28,50,56.0,293,2,0,5.9,6.66,86.5,5,49,1,9,0,9.0,1,0,0,0,0,0
6,7.0,20.0,7.0,7.0,2011-10-23,DET,,ATL,"L, 16-23",*,15,32,46.9,183,1,0,5.7,6.34,75.4,3,24,0,0,0,,0,0,0,0,0,0
7,8.0,21.0,8.0,8.0,2011-10-30,DET,@,DEN,"W, 45-10",*,21,30,70.0,267,3,0,8.9,10.9,130.8,2,9,1,21,0,21.0,0,0,0,0,0,0
8,9.0,22.0,9.0,10.0,2011-11-13,DET,@,CHI,"L, 13-37",*,33,63,52.4,329,1,4,5.2,2.68,46.3,2,16,2,1,0,0.5,0,0,0,0,0,0
9,10.0,23.0,10.0,11.0,2011-11-20,DET,,CAR,"W, 49-35",*,28,36,77.8,335,5,2,9.3,9.58,121.9,2,9,4,2,0,0.5,0,0,0,0,0,0
10,11.0,24.0,11.0,12.0,2011-11-24,DET,,GNB,"L, 15-27",*,32,45,71.1,276,1,3,6.1,3.58,66.5,1,3,4,31,0,7.8,1,0,0,0,0,0
11,12.0,25.0,12.0,13.0,2011-12-04,DET,@,NOR,"L, 17-31",*,31,44,70.5,408,1,1,9.3,8.7,97.5,3,29,0,0,0,,0,0,0,0,0,0
12,13.0,26.0,13.0,14.0,2011-12-11,DET,,MIN,"W, 34-28",*,20,29,69.0,227,2,0,7.8,9.21,115.2,5,19,2,4,0,2.0,0,0,0,0,0,0
13,14.0,27.0,14.0,15.0,2011-12-18,DET,@,OAK,"W, 28-27",*,29,52,55.8,391,4,0,7.5,9.06,105.5,2,16,1,5,0,5.0,1,1,0,0,0,0
14,15.0,28.0,15.0,16.0,2011-12-24,DET,,SDG,"W, 38-10",*,29,36,80.6,373,3,0,10.4,12.03,137.6,3,20,2,5,0,2.5,0,0,0,0,0,0
15,16.0,29.0,16.0,17.0,2012-01-01,DET,@,GNB,"L, 41-45",*,36,59,61.0,520,5,2,8.8,8.98,103.8,2,18,0,0,0,,0,0,0,0,0,0
16,,,,,,,,,10-6,,421,663,63.5,5038,41,16,7.6,7.75,97.2,36,257,22,78,0,3.5,5,1,0,1,-4,0
