,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,166.0,1.0,1.0,2021-09-12,LAR,,CHI,"W, 34-14",*,20,26,76.9,321,3,0,12.3,14.65,156.1,1,9,5,-5,0,-1.0,0,0,0,0,0,0,0,0,0,0,52,100.0,0,0.0,0,0.0
1,2.0,167.0,2.0,2.0,2021-09-19,LAR,@,IND,"W, 27-24",*,19,30,63.3,278,2,1,9.3,9.1,101.8,1,8,2,1,0,0.5,0,0,0,0,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
2,3.0,168.0,3.0,3.0,2021-09-26,LAR,,TAM,"W, 34-24",*,27,38,71.1,343,4,0,9.0,11.13,134.0,1,12,2,-2,0,-1.0,0,0,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
3,4.0,169.0,4.0,4.0,2021-10-03,LAR,,ARI,"L, 20-37",*,26,41,63.4,280,2,1,6.8,6.71,89.5,0,0,6,21,0,3.5,0,0,0,0,0,0,0,0,0,0,68,100.0,0,0.0,0,0.0
4,5.0,170.0,5.0,5.0,2021-10-07,LAR,@,SEA,"W, 26-17",*,25,37,67.6,365,1,1,9.9,9.19,97.2,1,7,1,-1,0,-1.0,0,0,0,0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
5,6.0,171.0,6.0,6.0,2021-10-17,LAR,@,NYG,"W, 38-11",*,22,28,78.6,251,4,1,9.0,10.21,128.7,2,17,2,12,0,6.0,0,0,0,0,1,0,0,1,0,0,56,84.8,0,0.0,0,0.0
6,7.0,172.0,7.0,7.0,2021-10-24,LAR,,DET,"W, 28-19",*,28,41,68.3,334,3,0,8.1,9.61,117.3,1,7,2,-2,0,-1.0,0,0,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
7,8.0,173.0,8.0,8.0,2021-10-31,LAR,@,HOU,"W, 38-22",*,21,32,65.6,305,3,0,9.5,11.41,127.7,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,58,86.6,0,0.0,0,0.0
8,9.0,174.0,9.0,9.0,2021-11-07,LAR,,TEN,"L, 16-28",*,31,48,64.6,294,1,2,6.1,4.67,71.0,5,41,2,13,0,6.5,0,0,0,0,0,0,0,0,0,0,78,100.0,0,0.0,0,0.0
9,10.0,175.0,10.0,10.0,2021-11-15,LAR,@,SFO,"L, 10-31",*,26,41,63.4,243,1,2,5.9,4.22,67.4,2,19,1,1,0,1.0,0,0,0,0,0,0,0,0,0,0,55,100.0,0,0.0,0,0.0
10,11.0,176.0,11.0,12.0,2021-11-28,LAR,@,GNB,"L, 28-36",*,21,38,55.3,302,3,1,7.9,8.34,96.6,2,17,1,-1,0,-1.0,0,0,0,0,1,1,0,0,0,0,62,100.0,0,0.0,0,0.0
11,12.0,177.0,12.0,13.0,2021-12-05,LAR,,JAX,"W, 37-7",*,26,38,68.4,295,3,0,7.8,9.34,117.8,1,5,1,2,0,2.0,0,0,0,0,0,0,0,0,0,0,63,92.6,0,0.0,0,0.0
12,13.0,178.0,13.0,14.0,2021-12-13,LAR,@,ARI,"W, 30-23",*,23,30,76.7,287,3,0,9.6,11.57,139.2,3,20,0,0,0,,0,0,0,0,1,0,0,1,0,0,58,100.0,0,0.0,0,0.0
13,14.0,179.0,14.0,15.0,2021-12-21,LAR,,SEA,"W, 20-10",*,21,29,72.4,244,2,1,8.4,8.24,106.1,4,35,3,-3,0,-1.0,0,0,0,0,0,0,0,0,0,0,66,100.0,0,0.0,0,0.0
14,15.0,180.0,15.0,16.0,2021-12-26,LAR,@,MIN,"W, 30-23",*,21,37,56.8,197,1,3,5.3,2.22,46.8,0,0,3,8,0,2.7,0,0,0,0,1,0,0,1,2,0,70,100.0,0,0.0,0,0.0
15,16.0,181.0,16.0,17.0,2022-01-02,LAR,@,BAL,"W, 20-19",*,26,35,74.3,309,2,2,8.8,7.4,96.0,1,9,1,-1,0,-1.0,0,0,0,0,1,1,0,0,0,0,58,100.0,0,0.0,0,0.0
16,17.0,182.0,17.0,18.0,2022-01-09,LAR,,SFO,"L, 24-27 (OT)",*,21,32,65.6,238,3,2,7.4,6.5,93.0,5,37,0,0,0,,0,0,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0
17,,,,,,,,,12-5,,404,601,67.2,4886,41,17,8.1,8.22,102.9,30,243,32,43,0,1.3,0,0,0,0,5,2,0,3,2,0,1065,97.8,0,0.0,0,0.0
