,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2009,21,DET,NFL,QB,10.0,10.0,2-8-0,201.0,377.0,53.3,2267.0,13.0,3.4,20.0,5.3,111.0,39.4,75.0,6.0,4.32,11.3,226.7,61.0,37.1,24.0,169.0,5.99,5.23,3.64,1.0,1.0,3.0,
1,2010,22,DET,NFL,QB,3.0,3.0,1-2-0,57.0,96.0,59.4,535.0,6.0,6.3,1.0,1.0,28.0,40.0,36.0,5.6,6.35,9.4,178.3,91.3,50.1,4.0,36.0,4.0,4.99,5.74,1.0,1.0,2.0,
2,2011,23,DET,NFL,QB,16.0,16.0,10-6-0,421.0,663.0,63.5,5038.0,41.0,6.2,16.0,2.4,243.0,49.8,73.0,7.6,7.75,12.0,314.9,97.2,60.5,36.0,257.0,5.15,6.84,6.98,3.0,4.0,16.0,AP CPoY-1
3,2012,24,DET,NFL,QB,16.0,16.0,4-12-0,435.0,727.0,59.8,4967.0,20.0,2.8,17.0,2.3,267.0,47.5,57.0,6.8,6.33,11.4,310.4,79.8,56.1,29.0,212.0,3.84,6.29,5.81,3.0,3.0,13.0,
4,2013,25,DET,NFL,QB,16.0,16.0,7-9-0,371.0,634.0,58.5,4650.0,29.0,4.6,19.0,3.0,223.0,46.9,87.0,7.3,6.9,12.5,290.6,84.2,53.5,23.0,168.0,3.5,6.82,6.4,2.0,3.0,13.0,
5,2014,26,DET,NFL,QB,16.0,16.0,11-5-0,363.0,602.0,60.3,4257.0,22.0,3.7,12.0,2.0,212.0,43.3,73.0,7.1,6.91,11.7,266.1,85.7,44.7,45.0,254.0,6.96,6.19,6.03,5.0,5.0,13.0,PB
6,2015,27,DET,NFL,QB,16.0,16.0,7-9-0,398.0,592.0,67.2,4262.0,32.0,5.4,13.0,2.2,224.0,49.4,57.0,7.2,7.29,10.7,266.4,97.0,58.3,44.0,251.0,6.92,6.31,6.39,2.0,3.0,13.0,
7,2016,28,DET,NFL,QB,16.0,16.0,9-7-0,388.0,594.0,65.3,4327.0,24.0,4.0,10.0,1.7,218.0,48.0,73.0,7.3,7.34,11.2,270.4,93.3,65.2,37.0,216.0,5.86,6.52,6.56,8.0,8.0,14.0,
8,2017,29,DET,NFL,QB,16.0,16.0,9-7-0,371.0,565.0,65.7,4446.0,29.0,5.1,10.0,1.8,210.0,45.6,71.0,7.9,8.1,12.0,277.9,99.3,65.3,47.0,287.0,7.68,6.8,7.01,1.0,4.0,15.0,
9,2018,30,DET,NFL,QB,16.0,16.0,6-10-0,367.0,555.0,66.1,3777.0,21.0,3.8,11.0,2.0,197.0,45.7,67.0,6.8,6.67,10.3,236.1,89.9,51.3,40.0,255.0,6.72,5.92,5.79,0.0,1.0,10.0,
