,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD
0,1.0,1.0,1.0,1.0,2009-09-13,DET,@,NOR,"L, 27-45",*,16,37,43.2,205,0,3,5.5,1.89,27.4,1,7,2,0,1,0.0,0,0,0,0,0,0
1,2.0,2.0,2.0,2.0,2009-09-20,DET,,MIN,"L, 13-27",*,18,30,60.0,152,1,2,5.1,2.73,56.5,2,16,1,7,0,7.0,1,0,0,0,0,0
2,3.0,3.0,3.0,3.0,2009-09-27,DET,,WAS,"W, 19-14",*,21,36,58.3,241,1,0,6.7,7.25,87.8,2,14,2,23,0,11.5,0,0,0,0,0,0
3,4.0,4.0,4.0,4.0,2009-10-04,DET,@,CHI,"L, 24-48",*,24,36,66.7,296,1,1,8.2,7.53,89.6,5,42,2,20,0,10.0,1,1,0,0,0,0
4,4.0,,5.0,5.0,2009-10-11,DET,,PIT,"L, 20-28",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,4.0,,6.0,6.0,2009-10-18,DET,@,GNB,"L, 0-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5.0,5.0,7.0,8.0,2009-11-01,DET,,STL,"L, 10-17",*,14,33,42.4,168,0,1,5.1,3.73,46.0,2,6,1,4,1,4.0,0,0,0,0,0,0
7,6.0,6.0,8.0,9.0,2009-11-08,DET,@,SEA,"L, 20-32",*,22,42,52.4,203,2,5,4.8,0.43,42.2,2,17,0,0,0,,1,0,0,1,0,0
8,7.0,7.0,9.0,10.0,2009-11-15,DET,@,MIN,"L, 10-27",*,29,51,56.9,224,1,0,4.4,4.78,74.3,3,20,4,28,0,7.0,0,0,0,0,0,0
9,8.0,8.0,10.0,11.0,2009-11-22,DET,,CLE,"W, 38-37",*,26,43,60.5,422,5,2,9.8,10.05,112.7,2,6,2,7,0,3.5,1,0,0,1,0,0
10,9.0,9.0,11.0,12.0,2009-11-26,DET,,GNB,"L, 12-34",*,20,43,46.5,213,1,4,5.0,1.23,30.5,2,14,3,21,0,7.0,0,0,0,0,0,0
11,10.0,10.0,12.0,13.0,2009-12-06,DET,@,CIN,"L, 13-23",*,11,26,42.3,143,1,2,5.5,2.81,41.0,3,27,3,-2,0,-0.7,0,0,0,0,0,0
12,10.0,,13.0,14.0,2009-12-13,DET,@,BAL,"L, 3-48",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,10.0,,14.0,15.0,2009-12-20,DET,,ARI,"L, 24-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,10.0,,15.0,16.0,2009-12-27,DET,@,SFO,"L, 6-20",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,10.0,,16.0,17.0,2010-01-03,DET,,CHI,"L, 23-37",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,,,,,,,,,2-8,,201,377,53.3,2267,13,20,6.0,4.32,61.0,24,169,20,108,2,5.4,4,1,0,2,0,0
