,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2018,22,DAL,NFL,TE,11.0,7.0,17.0,12.0,116.0,9.7,0.0,6.0,64.7,17.0,1.1,10.5,70.6,6.8,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.7,116.0,0.0,0.0,1.0,
1,2019,23,DAL,NFL,TE,16.0,0.0,2.0,1.0,6.0,6.0,0.0,0.0,50.0,6.0,0.1,0.4,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,0.0,
2,2020,24,DAL,NFL,TE,16.0,14.0,89.0,63.0,615.0,9.8,4.0,33.0,61.8,28.0,3.9,38.4,70.8,6.9,0.0,0.0,0.0,0.0,0.0,0.0,63.0,9.8,615.0,4.0,1.0,5.0,
3,2021,25,DAL,NFL,TE,17.0,15.0,104.0,78.0,808.0,10.4,8.0,43.0,62.5,32.0,4.6,47.5,75.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,78.0,10.4,808.0,8.0,0.0,7.0,
4,2022,26,DAL,NFL,TE,15.0,15.0,89.0,57.0,577.0,10.1,5.0,27.0,55.1,30.0,3.8,38.5,64.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,57.0,10.1,577.0,5.0,1.0,6.0,
5,2023,27,HOU,NFL,TE,15.0,8.0,88.0,59.0,635.0,10.8,5.0,35.0,52.3,31.0,3.9,42.3,67.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,59.0,10.8,635.0,5.0,1.0,5.0,
6,2024,28,HOU,NFL,TE,17.0,13.0,85.0,53.0,532.0,10.0,2.0,26.0,49.4,32.0,3.1,31.3,62.4,6.3,0.0,0.0,0.0,0.0,0.0,0.0,53.0,10.0,532.0,2.0,0.0,4.0,
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,107.0,72.0,474.0,323.0,3289.0,10.2,24.0,170.0,56.8,32.0,3.0,30.7,68.1,6.9,0.0,0.0,0.0,0.0,0.0,0.0,323.0,10.2,3289.0,24.0,3.0,28.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,75.0,51.0,523.0,10.2,4.0,27.0,56.8,32.0,3.0,30.7,68.1,6.9,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1.6,523.0,4.0,0.0,4.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,DAL (5 Yrs),DAL (5 Yrs),DAL (5 Yrs),DAL (5 Yrs),,75.0,51.0,301.0,211.0,2122.0,10.1,17.0,109.0,60.1,32.0,2.8,28.3,70.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,10.1,2122.0,17.0,2.0,19.0,
11,HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),HOU (2 Yrs),,32.0,21.0,173.0,112.0,1167.0,10.4,7.0,61.0,50.9,32.0,3.5,36.5,64.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,112.0,10.4,1167.0,7.0,1.0,9.0,
