,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,12.0,1.0,1.0,2019-09-08,DAL,,NYG,"W, 35-17",,0,0,0,,0,,,0,0,0,,9,13.2,0,0.0,3,11.5
1,2.0,13.0,2.0,2.0,2019-09-15,DAL,@,WAS,"W, 31-21",,0,0,0,,0,,,0,0,0,,3,4.3,0,0.0,3,12.5
2,3.0,14.0,3.0,3.0,2019-09-22,DAL,,MIA,"W, 31-6",,0,0,0,,0,,,0,0,0,,14,19.4,0,0.0,4,14.3
3,4.0,15.0,4.0,4.0,2019-09-29,DAL,@,NOR,"L, 10-12",,0,0,0,,0,,,0,0,0,,2,3.4,0,0.0,4,19.0
4,5.0,16.0,5.0,5.0,2019-10-06,DAL,,GNB,"L, 24-34",,0,0,0,,0,,,0,0,0,,3,4.2,0,0.0,7,21.2
5,6.0,17.0,6.0,6.0,2019-10-13,DAL,@,NYJ,"L, 22-24",,1,1,6,6.0,0,100.0,6.0,0,0,0,,6,7.3,0,0.0,5,19.2
6,7.0,18.0,7.0,7.0,2019-10-20,DAL,,PHI,"W, 37-10",,0,0,0,,0,,,0,0,0,,15,21.7,0,0.0,3,12.0
7,8.0,19.0,8.0,9.0,2019-11-04,DAL,@,NYG,"W, 37-18",,0,0,0,,0,,,0,0,0,,1,1.4,0,0.0,6,19.4
8,9.0,20.0,9.0,10.0,2019-11-10,DAL,,MIN,"L, 24-28",,0,0,0,,0,,,0,0,0,,2,2.8,0,0.0,5,20.0
9,10.0,21.0,10.0,11.0,2019-11-17,DAL,@,DET,"W, 35-27",,0,0,0,,0,,,0,0,0,,11,15.1,0,0.0,5,17.2
10,11.0,22.0,11.0,12.0,2019-11-24,DAL,@,NWE,"L, 9-13",,0,0,0,,0,,,1,5,0,5.0,7,11.1,0,0.0,7,24.1
11,12.0,23.0,12.0,13.0,2019-11-28,DAL,,BUF,"L, 15-26",,0,0,0,,0,,,0,0,0,,2,2.6,0,0.0,8,34.8
12,13.0,24.0,13.0,14.0,2019-12-05,DAL,@,CHI,"L, 24-31",,0,0,0,,0,,,0,0,0,,3,4.1,0,0.0,10,33.3
13,14.0,25.0,14.0,15.0,2019-12-15,DAL,,LAR,"W, 44-21",,0,0,0,,0,,,0,0,0,,16,22.9,0,0.0,9,30.0
14,15.0,26.0,15.0,16.0,2019-12-22,DAL,@,PHI,"L, 9-17",,1,0,0,,0,0.0,0.0,0,0,0,,6,9.7,0,0.0,7,25.9
15,16.0,27.0,16.0,17.0,2019-12-29,DAL,,WAS,"W, 47-16",,0,0,0,,0,,,0,0,0,,17,22.7,0,0.0,9,26.5
16,,,,,,,,,8-8,,2,1,6,6.0,0,50.0,3.0,1,5,0,5.0,117,10.4,0,0.0,95,21.5
