,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1,2023-09-10,WAS,,ARI,"W, 20-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,28.0,2.0,2,2023-09-17,WAS,@,DEN,"W, 35-33",,1.5,3,2,1,1,2,0,0,0,0,0,0,0.0,47,71.2,0,0.0
2,2.0,29.0,3.0,3,2023-09-24,WAS,,BUF,"L, 3-37",*,0.0,3,3,0,1,0,0,0,0,0,0,0,0.0,54,79.4,0,0.0
3,3.0,30.0,4.0,4,2023-10-01,WAS,@,PHI,"L, 31-34 (OT)",*,1.0,3,2,1,1,2,0,0,0,0,0,0,0.0,63,88.7,0,0.0
4,4.0,31.0,5.0,5,2023-10-05,WAS,,CHI,"L, 20-40",*,0.5,2,1,1,0,3,0,0,0,0,1,0,0.0,57,89.1,0,0.0
5,5.0,32.0,6.0,6,2023-10-15,WAS,@,ATL,"W, 24-16",*,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,75,90.4,0,0.0
6,6.0,33.0,7.0,7,2023-10-22,WAS,@,NYG,"L, 7-14",*,2.0,3,3,0,3,2,0,0,0,0,0,0,0.0,61,89.7,0,0.0
7,7.0,34.0,8.0,8,2023-10-29,WAS,,PHI,"L, 31-38",*,0.0,1,1,0,0,0,0,0,0,0,0,0,0.0,50,79.4,0,0.0
8,,,,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers,Player went from Washington Commanders to San Francisco 49ers
9,8.0,35.0,9.0,10,2023-11-12,SFO,@,JAX,"W, 34-3",,0.5,1,0,1,0,2,0,0,0,0,0,0,0.0,35,61.4,1,4.3
10,9.0,36.0,10.0,11,2023-11-19,SFO,,TAM,"W, 27-14",,1.0,2,2,0,1,1,0,0,0,0,0,0,0.0,48,67.6,2,9.1
11,10.0,37.0,11.0,12,2023-11-23,SFO,@,SEA,"W, 31-13",,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,26,46.4,4,13.8
12,11.0,38.0,12.0,13,2023-12-03,SFO,@,PHI,"W, 42-19",,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,36,50.0,3,11.5
13,12.0,39.0,13.0,14,2023-12-10,SFO,,SEA,"W, 28-16",,0.0,0,0,0,0,0,0,0,0,0,1,0,0.0,29,49.2,1,3.7
14,13.0,40.0,14.0,15,2023-12-17,SFO,@,ARI,"W, 45-29",,0.5,2,1,1,0,0,0,0,0,0,0,0,0.0,40,54.1,0,0.0
15,14.0,41.0,15.0,16,2023-12-25,SFO,,BAL,"L, 19-33",,0.5,2,0,2,0,1,0,0,0,0,0,0,0.0,31,45.6,1,3.7
16,15.0,42.0,16.0,17,2023-12-31,SFO,@,WAS,"W, 27-10",,0.0,1,1,0,0,1,0,0,0,0,0,0,0.0,26,56.5,0,0.0
17,16.0,43.0,17.0,18,2024-01-07,SFO,,LAR,"L, 20-21",,0.0,2,1,1,0,0,0,0,0,0,0,0,0.0,57,85.1,0,0.0
18,,,,,,,,,9-7,,7.5,25,17,8,7,15,0,0,0,0,2,0,0.0,735,69.8,12,2.9
