,Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
0,2019,22,SFO,NFL,LDE,16,14,1,46,0,46,2,1,0,2,6,0,9.0,47,32,15,16,25,0,12.0,"PB,AP DRoY-1"
1,2020,23,SFO,NFL,DE,2,2,0,0,0,0,0,1,0,0,0,0,0.0,6,3,3,0,1,0,1.0,
2,2021,24,SFO,NFL,RDE/LDE,17,17,0,0,0,0,1,4,0,0,0,0,15.5,52,40,12,21,32,0,12.0,PB
3,2022,25,SFO,NFL,RDE,16,16,0,0,0,0,1,2,0,0,0,0,18.5,51,41,10,19,48,0,18.0,"PB,AP-1,AP MVP-6,AP DPoY-1"
4,2023,26,SFO,NFL,DL,17,17,0,0,0,0,4,2,0,1,-3,0,10.5,53,34,19,16,35,0,11.0,PB
5,2024,27,SFO,NFL,LDE,14,14,1,30,0,30,1,1,0,1,0,0,9.0,52,33,19,15,24,0,8.0,PB
6,2025,28,SFO,NFL,DL,3,3,0,0,0,0,0,2,0,1,0,0,2.0,17,9,8,4,3,0,,
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,85,83,2,76,0,46,9,13,0,5,3,0,64.5,278,192,86,91,168,0,62.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,0,15,0,46,2,3,0,1,1,0,12.9,56,38,17,18,34,0,,
