,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,75.0,1.0,1,2021-09-12,MIN,@,CIN,"L, 24-27 (OT)",,1,4,0,4.0,2,2,15,7.5,0,100.0,7.5,0,0,0,,9,10.8,0,0.0,5,14.7
1,2.0,76.0,2.0,2,2021-09-19,MIN,@,ARI,"L, 33-34",,0,0,0,,1,0,0,,0,0.0,0.0,0,0,0,,1,1.6,0,0.0,19,52.8
2,3.0,77.0,3.0,3,2021-09-26,MIN,,SEA,"W, 30-17",,5,24,0,4.8,0,0,0,,0,,,0,0,0,,22,29.3,0,0.0,1,4.0
3,4.0,78.0,4.0,4,2021-10-03,MIN,,CLE,"L, 7-14",,0,0,0,,1,1,2,2.0,0,100.0,2.0,1,26,0,26.0,5,7.5,0,0.0,7,31.8
4,5.0,79.0,5.0,5,2021-10-10,MIN,,DET,"W, 19-17",,1,2,0,2.0,0,0,0,,0,,,4,68,0,17.0,12,17.9,0,0.0,5,19.2
5,6.0,80.0,6.0,6,2021-10-17,MIN,@,CAR,"W, 34-28 (OT)",,0,0,0,,0,0,0,,0,,,2,68,0,34.0,0,0.0,0,0.0,7,20.0
6,,,,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers,Player went from Minnesota Vikings to Carolina Panthers
7,7.0,81.0,7.0,7,2021-10-24,CAR,@,NYG,"L, 3-25",,0,0,0,,0,0,0,,0,,,3,39,0,13.0,0,0.0,0,0.0,6,22.2
8,8.0,82.0,8.0,8,2021-10-31,CAR,@,ATL,"W, 19-13",,8,31,0,3.9,5,3,35,11.7,0,60.0,7.0,0,0,0,,22,29.7,0,0.0,3,11.5
9,9.0,83.0,9.0,9,2021-11-07,CAR,,NWE,"L, 6-24",,1,0,0,0.0,5,4,30,7.5,0,80.0,6.0,2,43,0,21.5,22,37.3,0,0.0,5,22.7
10,10.0,84.0,10.0,10,2021-11-14,CAR,@,ARI,"W, 34-10",,9,24,0,2.7,4,4,27,6.8,0,100.0,6.8,1,26,0,26.0,16,21.3,0,0.0,3,12.0
11,11.0,85.0,11.0,11,2021-11-21,CAR,,WAS,"L, 21-27",*,1,6,0,6.0,0,0,0,,0,,,1,21,0,21.0,8,15.7,0,0.0,6,23.1
12,12.0,86.0,12.0,12,2021-11-28,CAR,@,MIA,"L, 10-33",,2,4,0,2.0,6,2,20,10.0,0,33.3,3.3,0,0,0,,27,49.1,0,0.0,7,25.0
13,13.0,87.0,13.0,14,2021-12-12,CAR,,ATL,"L, 21-29",,4,16,0,4.0,4,2,17,8.5,0,50.0,4.3,3,75,0,25.0,38,59.4,0,0.0,7,30.4
14,14.0,88.0,14.0,15,2021-12-19,CAR,@,BUF,"L, 14-31",,4,7,0,1.8,4,4,48,12.0,1,100.0,12.0,4,70,0,17.5,40,52.6,0,0.0,5,22.7
15,15.0,89.0,15.0,16,2021-12-26,CAR,,TAM,"L, 6-32",,2,1,0,0.5,6,3,8,2.7,0,50.0,1.3,3,76,0,25.3,23,32.9,0,0.0,8,29.6
16,16.0,90.0,16.0,17,2022-01-02,CAR,@,NOR,"L, 10-18",,6,21,0,3.5,4,4,31,7.8,0,100.0,7.8,1,18,0,18.0,29,47.5,0,0.0,5,18.5
17,17.0,91.0,17.0,18,2022-01-09,CAR,@,TAM,"L, 17-41",,7,26,0,3.7,11,9,56,6.2,0,81.8,5.1,4,116,0,29.0,40,55.6,0,0.0,8,28.6
18,,,,,,,,,5-12,,51,166,0,3.3,53,38,289,7.6,1,71.7,5.5,29,646,0,22.3,314,27.0,0,0.0,107,23.3
