,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2015,22,DET,NFL,RB,16.0,9.0,143.0,597.0,2.0,31.0,51.0,36.0,4.2,37.3,8.9,38.0,25.0,183.0,7.3,1.0,11.0,47.4,36.0,1.6,11.4,65.8,4.8,168.0,4.6,780.0,3.0,5.0,5.0,
1,2016,23,DET,NFL,RB,2.0,2.0,18.0,101.0,0.0,6.0,61.1,24.0,5.6,50.5,9.0,5.0,5.0,57.0,11.4,1.0,4.0,80.0,18.0,2.5,28.5,100.0,11.4,23.0,6.9,158.0,1.0,0.0,1.0,
2,2017,24,DET,NFL,RB,14.0,11.0,165.0,552.0,4.0,26.0,32.7,34.0,3.3,39.4,11.8,35.0,25.0,162.0,6.5,1.0,13.0,42.9,22.0,1.8,11.6,71.4,4.6,190.0,3.8,714.0,5.0,2.0,5.0,
3,2018,25,2TM,NFL,RB,10.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,4.0,3.0,28.0,9.3,0.0,1.0,75.0,12.0,0.3,2.8,75.0,7.0,4.0,7.3,29.0,0.0,1.0,0.0,
4,2018,25,DET,NFL,RB,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.3,0.3,2.0,2.0,18.0,9.0,0.0,1.0,100.0,12.0,0.7,6.0,100.0,9.0,3.0,6.3,19.0,0.0,1.0,0.0,
5,2018,25,MIN,NFL,RB,7.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,1.0,10.0,10.0,0.0,0.0,50.0,10.0,0.1,1.4,50.0,5.0,1.0,10.0,10.0,0.0,0.0,0.0,
6,2019,26,MIN,NFL,RB,16.0,0.0,23.0,115.0,0.0,4.0,26.1,15.0,5.0,7.2,1.4,21.0,15.0,88.0,5.9,1.0,5.0,47.6,16.0,0.9,5.5,71.4,4.2,38.0,5.3,203.0,1.0,1.0,2.0,
7,2020,27,MIN,NFL,RB,16.0,0.0,8.0,42.0,0.0,4.0,62.5,13.0,5.3,2.6,0.5,9.0,8.0,58.0,7.3,2.0,4.0,44.4,22.0,0.5,3.6,88.9,6.4,16.0,6.3,100.0,2.0,0.0,1.0,
8,2021,28,2TM,NFL,RB,17.0,1.0,51.0,166.0,0.0,8.0,45.1,15.0,3.3,9.8,3.0,53.0,38.0,289.0,7.6,1.0,13.0,45.3,23.0,2.2,17.0,71.7,5.5,89.0,5.1,455.0,1.0,0.0,3.0,
9,2021,28,MIN,NFL,RB,6.0,0.0,7.0,30.0,0.0,0.0,42.9,9.0,4.3,5.0,1.2,4.0,3.0,17.0,5.7,0.0,1.0,25.0,10.0,0.5,2.8,75.0,4.3,10.0,4.7,47.0,0.0,0.0,0.0,
10,2021,28,CAR,NFL,RB,11.0,1.0,44.0,136.0,0.0,8.0,45.5,15.0,3.1,12.4,4.0,49.0,35.0,272.0,7.8,1.0,12.0,46.9,23.0,3.2,24.7,71.4,5.6,79.0,5.2,408.0,1.0,0.0,3.0,
11,2022,29,LVR,NFL,RB,17.0,0.0,4.0,20.0,0.0,2.0,75.0,7.0,5.0,1.2,0.2,32.0,25.0,211.0,8.4,1.0,8.0,34.4,23.0,1.5,12.4,78.1,6.6,29.0,8.0,231.0,1.0,0.0,2.0,
12,2023,30,LVR,NFL,RB,17.0,0.0,15.0,89.0,0.0,6.0,60.0,12.0,5.9,5.2,0.9,24.0,19.0,131.0,6.9,0.0,4.0,33.3,18.0,1.1,7.7,79.2,5.5,34.0,6.5,220.0,0.0,0.0,2.0,
13,2024,31,LVR,NFL,RB,16.0,3.0,66.0,311.0,2.0,14.0,50.0,40.0,4.7,19.4,4.1,47.0,40.0,261.0,6.5,3.0,16.0,59.6,24.0,2.5,16.3,85.1,5.6,106.0,5.4,572.0,5.0,2.0,4.0,
14,10 Yrs,10 Yrs,10 Yrs,10 Yrs,,141.0,26.0,494.0,1994.0,8.0,101.0,43.9,40.0,4.0,14.1,3.5,268.0,203.0,1468.0,7.2,11.0,79.0,46.6,36.0,1.4,10.4,75.7,5.5,697.0,5.0,3462.0,19.0,11.0,25.0,
15,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,3.0,60.0,240.0,1.0,12.0,43.9,40.0,4.0,14.1,3.5,32.0,24.0,177.0,7.2,1.0,10.0,46.6,36.0,1.4,10.4,75.7,5.5,84.0,0.6,417.0,2.0,1.0,3.0,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MIN (4 Yrs),MIN (4 Yrs),MIN (4 Yrs),MIN (4 Yrs),,45.0,0.0,38.0,187.0,0.0,8.0,36.8,15.0,4.9,4.2,0.8,36.0,27.0,173.0,6.4,3.0,10.0,44.4,22.0,0.6,3.8,75.0,4.8,65.0,5.5,360.0,3.0,1.0,3.0,
18,DET (4 Yrs),DET (4 Yrs),DET (4 Yrs),DET (4 Yrs),,35.0,22.0,327.0,1251.0,6.0,63.0,42.2,36.0,3.8,35.7,9.3,80.0,57.0,420.0,7.4,3.0,29.0,48.8,36.0,1.6,12.0,71.3,5.3,384.0,4.4,1671.0,9.0,8.0,11.0,
19,LVR (3 Yrs),LVR (3 Yrs),LVR (3 Yrs),LVR (3 Yrs),,50.0,3.0,85.0,420.0,2.0,22.0,52.9,40.0,4.9,8.4,1.7,103.0,84.0,603.0,7.2,4.0,28.0,45.6,24.0,1.7,12.1,81.6,5.9,169.0,6.1,1023.0,6.0,2.0,8.0,
20,CAR (1 Yr),CAR (1 Yr),CAR (1 Yr),CAR (1 Yr),,11.0,1.0,44.0,136.0,0.0,8.0,45.5,15.0,3.1,12.4,4.0,49.0,35.0,272.0,7.8,1.0,12.0,46.9,23.0,3.2,24.7,71.4,5.6,79.0,5.2,408.0,1.0,0.0,3.0,
