,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1,2018-09-10,DET,,NYJ,"L, 17-48",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2,2018-09-16,DET,@,SFO,"L, 27-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3,2018-09-23,DET,,NWE,"W, 26-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,,4.0,4,2018-09-30,DET,@,DAL,"L, 24-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,1.0,33.0,5.0,5,2018-10-07,DET,,GNB,"W, 31-23",,0,0,0,,0,,,0,0,0,,1,30,0,30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,4,14.3
5,2.0,34.0,6.0,7,2018-10-21,DET,@,MIA,"W, 32-21",,1,1,12,12.0,0,100.0,12.0,1,1,0,1.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7,10.9,0,0.0,3,11.1
6,3.0,35.0,7.0,8,2018-10-28,DET,,SEA,"L, 14-28",,1,1,6,6.0,0,100.0,6.0,0,0,0,,3,77,0,25.7,0.0,0,0,0,0,0,0,1,1,0,0,0,0,4,6.8,0,0.0,6,25.0
7,3.0,,8.0,9,2018-11-04,DET,@,MIN,"L, 9-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,,,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings,Player went from Detroit Lions to Minnesota Vikings
9,4.0,36.0,10.0,11,2018-11-18,MIN,@,CHI,"L, 20-25",,1,1,10,10.0,0,100.0,10.0,0,0,0,,2,57,0,28.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0.0,7,31.8
10,5.0,37.0,11.0,12,2018-11-25,MIN,,GNB,"W, 24-17",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.9,0,0.0,8,28.6
11,6.0,38.0,12.0,13,2018-12-02,MIN,@,NWE,"L, 10-24",,0,0,0,,0,,,0,0,0,,2,61,0,30.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.3,0,0.0,12,48.0
12,7.0,39.0,13.0,14,2018-12-10,MIN,@,SEA,"L, 7-21",,0,0,0,,0,,,0,0,0,,3,64,0,21.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,10,45.5
13,8.0,40.0,14.0,15,2018-12-16,MIN,,MIA,"W, 41-17",,0,0,0,,0,,,0,0,0,,1,24,0,24.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0,0.0,18,56.3
14,9.0,41.0,15.0,16,2018-12-23,MIN,@,DET,"W, 27-9",,0,0,0,,0,,,0,0,0,,2,52,0,26.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15,51.7
15,10.0,42.0,16.0,17,2018-12-30,MIN,,CHI,"L, 10-24",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,16,72.7
16,,,,,,,,,5-5,,4,3,28,9.3,0,75.0,7.0,1,1,0,1.0,14,365,0,26.1,0.0,1,1,0,0,0,0,1,1,0,0,0,0,17,2.7,0,0.0,99,38.2
