,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,92.0,1.0,1.0,2022-09-11,LVR,@,LAC,"L, 19-24",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,7,12.1,0,0.0,10,41.7
1,2.0,93.0,2.0,2.0,2022-09-18,LVR,,ARI,"L, 23-29 (OT)",,1,1,23,23.0,0,100.0,23.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,14,20.9,0,0.0,3,14.3
2,3.0,94.0,3.0,3.0,2022-09-25,LVR,@,TEN,"L, 22-24",,0,0,0,,0,,,0,0,0,,1,23,0,23.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,4,16.7
3,4.0,95.0,4.0,4.0,2022-10-02,LVR,,DEN,"W, 32-23",,0,0,0,,0,,,0,0,0,,1,17,0,17.0,0.0,0,0,0,0,0,0,1,1.3,0,0.0,16,50.0
4,5.0,96.0,5.0,5.0,2022-10-10,LVR,@,KAN,"L, 29-30",,0,0,0,,0,,,0,0,0,,1,16,0,16.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,12,42.9
5,6.0,97.0,6.0,7.0,2022-10-23,LVR,,HOU,"W, 38-20",,2,2,7,3.5,0,100.0,3.5,0,0,0,,1,17,0,17.0,0.0,3,3,0,0,0,0,7,12.5,0,0.0,13,48.1
6,7.0,98.0,7.0,8.0,2022-10-30,LVR,@,NOR,"L, 0-24",,5,4,28,7.0,0,80.0,5.6,0,0,0,,1,20,0,20.0,0.0,1,0,1,0,0,0,20,34.5,0,0.0,13,68.4
7,8.0,99.0,8.0,9.0,2022-11-06,LVR,@,JAX,"L, 20-27",,3,1,8,8.0,0,33.3,2.7,0,0,0,,2,21,0,10.5,0.0,0,0,0,0,0,0,14,23.7,0,0.0,14,51.9
8,9.0,100.0,9.0,10.0,2022-11-13,LVR,,IND,"L, 20-25",,4,4,33,8.3,0,100.0,8.3,0,0,0,,3,86,0,28.7,0.0,2,0,2,0,0,0,15,21.4,0,0.0,14,60.9
9,10.0,101.0,10.0,11.0,2022-11-20,LVR,@,DEN,"W, 22-16 (OT)",,4,3,5,1.7,0,75.0,1.3,0,0,0,,3,69,0,23.0,0.0,0,0,0,0,0,0,11,16.7,0,0.0,15,51.7
10,11.0,102.0,11.0,12.0,2022-11-27,LVR,@,SEA,"W, 40-34 (OT)",,3,3,39,13.0,1,100.0,13.0,3,16,0,5.3,3,73,0,24.3,0.0,1,0,1,0,0,0,14,18.2,0,0.0,17,50.0
11,12.0,103.0,12.0,13.0,2022-12-04,LVR,,LAC,"W, 27-20",,1,0,0,,0,0.0,0.0,1,4,0,4.0,0,0,0,,0.0,0,0,0,0,0,0,12,19.7,0,0.0,14,46.7
12,13.0,104.0,13.0,14.0,2022-12-08,LVR,@,LAR,"L, 16-17",,2,2,17,8.5,0,100.0,8.5,0,0,0,,1,15,0,15.0,0.0,0,0,0,0,0,0,8,13.3,0,0.0,12,48.0
13,14.0,105.0,14.0,15.0,2022-12-18,LVR,,NWE,"W, 30-24",,2,2,14,7.0,0,100.0,7.0,0,0,0,,5,111,0,22.2,0.0,1,1,0,0,0,0,15,22.1,0,0.0,21,65.6
14,15.0,106.0,15.0,16.0,2022-12-24,LVR,@,PIT,"L, 10-13",,2,2,27,13.5,0,100.0,13.5,0,0,0,,3,50,0,16.7,0.0,0,0,0,0,0,0,10,18.9,0,0.0,14,63.6
15,16.0,107.0,16.0,17.0,2023-01-01,LVR,,SFO,"L, 34-37 (OT)",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,9,12.9,0,0.0,19,57.6
16,17.0,108.0,17.0,18.0,2023-01-07,LVR,,KAN,"L, 13-31",,2,1,10,10.0,0,50.0,5.0,0,0,0,,1,25,0,25.0,0.0,0,0,0,0,0,0,18,25.7,0,0.0,14,60.9
17,,,,,,,,,6-11,,32,25,211,8.4,1,78.1,6.6,4,20,0,5.0,26,543,0,20.9,0.0,8,4,4,0,0,0,175,15.9,0,0.0,225,49.7
