,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2022,21,NYG,NFL,WR,6,3,31,23,227,9.9,1,13,61.3,19,3.8,37.8,74.2,7.3,2,-1,0,0,50.0,4.0,-0.5,-0.2,0.3,25,9.0,226,1,0,2.0,
1,2023,22,NYG,NFL,WR,15,8,78,60,525,8.8,1,29,53.8,33,4.0,35.0,76.9,6.7,9,87,1,4,66.7,32.0,9.7,5.8,0.6,69,8.9,612,2,0,4.0,
2,2024,23,NYG,NFL,WR,17,7,140,93,699,7.5,3,36,42.1,35,5.5,41.1,66.4,5.0,3,18,0,1,33.3,14.0,6.0,1.1,0.2,96,7.5,717,3,0,5.0,
3,2025,24,NYG,NFL,WR,3,2,22,15,223,14.9,1,10,45.5,50,5.0,74.3,68.2,10.1,0,0,0,0,,,,0.0,0.0,15,14.9,223,1,0,,
4,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,41,20,271,191,1674,8.8,6,88,48.0,50,4.7,40.8,70.5,6.2,14,104,1,5,57.1,32.0,7.4,2.5,0.3,205,8.7,1778,7,0,11.0,
5,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,8,112,79,694,8.8,2,36,48.0,50,4.7,40.8,70.5,6.2,6,43,0,2,57.1,32.0,7.4,2.5,0.3,85,8.7,737,3,0,,
