,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,39.0,1.0,1.0,2025-09-07,NYG,@,WAS,"L, 6-21",,8,6,55,9.2,0,75.0,6.9,2,41,0,20.5,52,76.5,0,0.0,4,17.4
1,2.0,40.0,2.0,2.0,2025-09-14,NYG,@,DAL,"L, 37-40 (OT)",*,10,8,142,17.8,1,80.0,14.2,0,0,0,,47,70.1,0,0.0,0,0.0
2,3.0,41.0,3.0,3.0,2025-09-21,NYG,,KAN,"L, 9-22",*,4,1,26,26.0,0,25.0,6.5,0,0,0,,51,77.3,0,0.0,0,0.0
3,,,,,,,,,0-3,,22,15,223,14.9,1,68.2,10.1,2,41,0,20.5,150,74.6,0,0.0,4,4.9
