,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2022,22,BAL,NFL,TE,16,2,60,36,373,10.4,3,18,35.0,34,2.3,23.3,60.0,6.2,0,0,0,0,0.0,0.0,36,10.4,373,3,0,4,
1,2023,23,BAL,NFL,TE,17,8,40,30,411,13.7,5,15,60.0,54,1.8,24.2,75.0,10.3,0,0,0,0,0.0,0.0,30,13.7,411,5,0,4,
2,2024,24,BAL,NFL,TE,16,9,58,42,477,11.4,6,26,60.3,49,2.6,29.8,72.4,8.2,0,0,0,0,0.0,0.0,42,11.4,477,6,1,5,
3,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,49,19,158,108,1261,11.7,14,59,50.6,54,2.2,25.7,68.4,8.0,0,0,0,0,0.0,0.0,108,11.7,1261,14,1,13,
4,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,7,55,37,437,11.7,5,20,50.6,54,2.2,25.7,68.4,8.0,0,0,0,0,0.0,0.0,37,4.1,437,5,0,5,
