,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,33.0,1.0,1.0,2018-09-10,NYJ,@,DET,"W, 48-17",*,1,1,41,41.0,1,100.0,41.0,1,-9,0,-9.0,0,0,0,,0,0,0,0,0,0,35,58.3,0,0.0,0,0.0
1,2.0,34.0,2.0,2.0,2018-09-16,NYJ,,MIA,"L, 12-20",,5,3,27,9.0,0,60.0,5.4,0,0,0,,0,0,0,,1,1,0,0,0,0,53,81.5,0,0.0,0,0.0
2,3.0,35.0,3.0,3.0,2018-09-20,NYJ,@,CLE,"L, 17-21",*,4,2,22,11.0,0,50.0,5.5,0,0,0,,0,0,0,,1,1,0,0,0,0,42,66.7,0,0.0,0,0.0
3,4.0,36.0,4.0,4.0,2018-09-30,NYJ,@,JAX,"L, 12-31",,6,2,18,9.0,0,33.3,3.0,0,0,0,,0,0,0,,0,0,0,0,0,0,42,75.0,0,0.0,0,0.0
4,5.0,37.0,5.0,5.0,2018-10-07,NYJ,,DEN,"W, 34-16",,5,3,123,41.0,2,60.0,24.6,0,0,0,,0,0,0,,0,0,0,0,0,0,32,51.6,0,0.0,0,0.0
5,6.0,38.0,6.0,6.0,2018-10-14,NYJ,,IND,"W, 42-34",*,5,3,39,13.0,0,60.0,7.8,0,0,0,,0,0,0,,0,0,0,0,0,0,53,74.6,0,0.0,0,0.0
6,7.0,39.0,7.0,7.0,2018-10-21,NYJ,,MIN,"L, 17-37",*,10,3,44,14.7,0,30.0,4.4,0,0,0,,0,0,0,,0,0,0,0,0,0,62,87.3,0,0.0,0,0.0
7,7.0,,8.0,8.0,2018-10-28,NYJ,@,CHI,"L, 10-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,8.0,40.0,9.0,9.0,2018-11-04,NYJ,@,MIA,"L, 6-13",*,7,4,32,8.0,0,57.1,4.6,1,1,0,1.0,0,0,0,,0,0,0,0,0,0,47,71.2,0,0.0,0,0.0
9,8.0,,10.0,10.0,2018-11-11,NYJ,,BUF,"L, 10-41",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,9.0,41.0,11.0,12.0,2018-11-25,NYJ,,NWE,"L, 13-27",,5,2,22,11.0,0,40.0,4.4,0,0,0,,0,0,0,,0,0,0,0,0,0,48,75.0,0,0.0,0,0.0
11,10.0,42.0,12.0,13.0,2018-12-02,NYJ,@,TEN,"L, 22-26",*,7,4,48,12.0,0,57.1,6.9,0,0,0,,0,0,0,,0,0,0,0,0,0,49,72.1,0,0.0,0,0.0
12,11.0,43.0,13.0,14.0,2018-12-09,NYJ,@,BUF,"W, 27-23",,7,4,76,19.0,1,57.1,10.9,0,0,0,,0,0,0,,0,0,0,0,0,0,38,70.4,0,0.0,0,0.0
13,12.0,44.0,14.0,15.0,2018-12-15,NYJ,,HOU,"L, 22-29",*,11,7,96,13.7,1,63.6,8.7,0,0,0,,0,0,0,,0,0,0,0,0,0,71,94.7,0,0.0,0,0.0
14,13.0,45.0,15.0,16.0,2018-12-23,NYJ,,GNB,"L, 38-44 (OT)",*,13,9,140,15.6,1,69.2,10.8,0,0,0,,1,13,0,13.0,0,0,0,0,0,0,56,93.3,0,0.0,1,2.7
15,14.0,46.0,16.0,17.0,2018-12-30,NYJ,@,NWE,"L, 3-38",*,8,3,24,8.0,0,37.5,3.0,0,0,0,,0,0,0,,0,0,0,0,0,0,54,96.4,0,0.0,0,0.0
16,,,,,,,,,4-10,,94,50,752,15.0,6,53.2,8.0,2,-8,0,-4.0,1,13,0,13.0,2,2,0,0,0,0,682,76.5,0,0.0,1,0.2
