,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2019,23,JAX,NFL,QB,14.0,12.0,6-6-0,285.0,470.0,60.6,3271.0,21.0,4.5,6.0,1.3,150.0,41.9,70.0,7.0,7.28,11.5,233.6,91.2,44.6,33.0,184.0,6.56,6.14,6.44,3.0,3.0,10.0,
1,2020,24,JAX,NFL,QB,9.0,8.0,1-7-0,216.0,327.0,66.1,2259.0,16.0,4.9,5.0,1.5,117.0,48.0,51.0,6.9,7.2,10.5,251.0,95.9,44.0,27.0,147.0,7.63,5.97,6.23,1.0,1.0,7.0,
2,2021,25,PHI,NFL,QB,4.0,2.0,1-1-0,41.0,60.0,68.3,439.0,4.0,6.7,1.0,1.7,24.0,46.2,36.0,7.3,7.9,10.7,109.8,104.8,66.2,5.0,31.0,7.69,6.28,6.82,0.0,0.0,2.0,
3,2022,26,PHI,NFL,QB,5.0,2.0,0-2-0,44.0,76.0,57.9,663.0,3.0,3.9,3.0,3.9,30.0,43.9,78.0,8.7,7.74,15.1,132.6,83.4,41.6,6.0,28.0,7.32,7.74,6.83,0.0,0.0,2.0,
4,2023,27,IND,NFL,QB,17.0,13.0,7-6-0,305.0,490.0,62.2,3305.0,15.0,3.1,9.0,1.8,147.0,41.2,75.0,6.7,6.53,10.8,194.4,84.6,59.6,34.0,187.0,6.49,5.95,5.75,2.0,2.0,10.0,PB
5,2024,28,LVR,NFL,QB,10.0,9.0,2-7-0,203.0,306.0,66.3,2013.0,9.0,2.9,10.0,3.3,106.0,44.2,57.0,6.6,5.7,9.9,201.3,81.0,38.1,29.0,164.0,8.66,5.52,4.71,1.0,1.0,4.0,
6,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,59.0,46.0,17-29-0,1094.0,1729.0,63.3,11950.0,68.0,3.9,34.0,2.0,574.0,43.5,78.0,6.9,6.81,10.9,202.5,88.5,,134.0,741.0,7.19,6.02,5.93,7.0,7.0,35.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,13.0,17-29-0,315.0,498.0,63.3,3443.0,20.0,3.9,10.0,2.0,165.0,43.5,78.0,6.9,6.81,10.9,202.5,88.5,,39.0,214.0,7.19,6.02,5.93,2.0,2.0,10.0,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,JAX (2 Yrs),JAX (2 Yrs),JAX (2 Yrs),JAX (2 Yrs),,23.0,20.0,7-13-0,501.0,797.0,62.9,5530.0,37.0,4.6,11.0,1.4,267.0,44.5,70.0,6.9,7.25,11.0,240.4,93.1,,60.0,331.0,7.0,6.07,6.35,4.0,4.0,17.0,
10,PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),PHI (2 Yrs),,9.0,4.0,1-3-0,85.0,136.0,62.5,1102.0,7.0,5.1,4.0,2.9,54.0,44.9,78.0,8.1,7.81,13.0,122.4,92.8,,11.0,59.0,7.48,7.1,6.82,0.0,0.0,4.0,
11,IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,17.0,13.0,7-6-0,305.0,490.0,62.2,3305.0,15.0,3.1,9.0,1.8,147.0,41.2,75.0,6.7,6.53,10.8,194.4,84.6,,34.0,187.0,6.49,5.95,5.75,2.0,2.0,10.0,
12,LVR (1 Yr),LVR (1 Yr),LVR (1 Yr),LVR (1 Yr),,10.0,9.0,2-7-0,203.0,306.0,66.3,2013.0,9.0,2.9,10.0,3.3,106.0,44.2,57.0,6.6,5.7,9.9,201.3,81.0,,29.0,164.0,8.66,5.52,4.71,1.0,1.0,4.0,
