,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,33.0,1.0,1.0,2012-09-09,NWE,@,TEN,"W, 34-13",*,6,6,60,10.0,1,100.0,10.0,0,0,0,,0,0,0,0,0,0,66,98.5,0,0.0,10,35.7
1,2.0,34.0,2.0,2.0,2012-09-16,NWE,,ARI,"L, 18-20",*,9,6,75,12.5,1,66.7,8.3,0,0,0,,0,0,0,0,0,0,79,98.8,0,0.0,10,31.3
2,3.0,35.0,3.0,3.0,2012-09-23,NWE,@,BAL,"L, 30-31",*,3,2,21,10.5,0,66.7,7.0,0,0,0,,0,0,0,0,0,0,82,100.0,0,0.0,6,19.4
3,4.0,36.0,4.0,4.0,2012-09-30,NWE,@,BUF,"W, 52-28",*,11,5,104,20.8,1,45.5,9.5,0,0,0,,1,1,0,0,0,0,68,88.3,0,0.0,11,30.6
4,5.0,37.0,5.0,5.0,2012-10-07,NWE,,DEN,"W, 31-21",*,5,4,35,8.8,0,80.0,7.0,1,0,0,0.0,0,0,0,0,0,0,95,100.0,0,0.0,6,25.0
5,6.0,38.0,6.0,6.0,2012-10-14,NWE,@,SEA,"L, 23-24",*,8,6,61,10.2,0,75.0,7.6,0,0,0,,0,0,0,0,0,0,69,80.2,0,0.0,5,17.9
6,7.0,39.0,7.0,7.0,2012-10-21,NWE,,NYJ,"W, 29-26 (OT)",*,9,6,78,13.0,2,66.7,8.7,0,0,0,,0,0,0,0,0,0,76,96.2,0,0.0,5,14.3
7,8.0,40.0,8.0,8.0,2012-10-28,NWE,@,STL,"W, 45-7",*,13,8,146,18.3,2,61.5,11.2,0,0,0,,0,0,0,0,0,0,54,76.1,0,0.0,7,25.9
8,9.0,41.0,9.0,10.0,2012-11-11,NWE,,BUF,"W, 37-31",*,4,3,31,10.3,1,75.0,7.8,0,0,0,,0,0,0,0,0,0,70,97.2,0,0.0,7,23.3
9,10.0,42.0,10.0,11.0,2012-11-18,NWE,,IND,"W, 59-24",*,7,7,137,19.6,2,100.0,19.6,0,0,0,,0,0,0,0,0,0,50,82.0,0,0.0,11,31.4
10,10.0,,11.0,12.0,2012-11-22,NWE,@,NYJ,"W, 49-19",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,10.0,,12.0,13.0,2012-12-02,NWE,@,MIA,"W, 23-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,10.0,,13.0,14.0,2012-12-10,NWE,,HOU,"W, 42-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,10.0,,14.0,15.0,2012-12-16,NWE,,SFO,"L, 34-41",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,10.0,,15.0,16.0,2012-12-23,NWE,@,JAX,"W, 23-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,11.0,43.0,16.0,17.0,2012-12-30,NWE,,MIA,"W, 28-0",*,4,2,42,21.0,1,50.0,10.5,0,0,0,,0,0,0,0,0,0,24,31.2,0,0.0,0,0.0
16,,,,,,,,,8-3,,79,55,790,14.4,11,69.6,10.0,1,0,0,0.0,1,1,0,0,0,0,733,86.5,0,0.0,78,23.9
