,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD
0,1.0,1.0,1.0,1.0,2010-09-12,NWE,,CIN,"W, 38-24",*,1,1,1,1.0,1,100.0,1.0,0,0,0,0,0,0
1,2.0,2.0,2.0,2.0,2010-09-19,NWE,@,NYJ,"L, 14-28",,2,1,14,14.0,0,50.0,7.0,0,0,0,0,0,0
2,3.0,3.0,3.0,3.0,2010-09-26,NWE,,BUF,"W, 38-30",,3,3,43,14.3,1,100.0,14.3,0,0,0,0,0,0
3,4.0,4.0,4.0,4.0,2010-10-04,NWE,@,MIA,"W, 41-14",*,1,1,4,4.0,0,100.0,4.0,0,0,0,0,0,0
4,5.0,5.0,5.0,6.0,2010-10-17,NWE,,BAL,"W, 23-20 (OT)",*,1,1,24,24.0,0,100.0,24.0,0,0,0,0,0,0
5,6.0,6.0,6.0,7.0,2010-10-24,NWE,@,SDG,"W, 23-20",*,2,2,10,5.0,1,100.0,5.0,0,0,0,0,0,0
6,7.0,7.0,7.0,8.0,2010-10-31,NWE,,MIN,"W, 28-18",,3,1,5,5.0,0,33.3,1.7,0,0,0,0,0,0
7,8.0,8.0,8.0,9.0,2010-11-07,NWE,@,CLE,"L, 14-34",*,8,4,47,11.8,0,50.0,5.9,1,1,0,0,0,0
8,9.0,9.0,9.0,10.0,2010-11-14,NWE,@,PIT,"W, 39-26",*,5,5,72,14.4,3,100.0,14.4,0,0,0,0,0,0
9,10.0,10.0,10.0,11.0,2010-11-21,NWE,,IND,"W, 31-28",*,1,1,25,25.0,0,100.0,25.0,0,0,0,0,0,0
10,11.0,11.0,11.0,12.0,2010-11-25,NWE,@,DET,"W, 45-24",*,5,5,65,13.0,0,100.0,13.0,0,0,0,0,0,0
11,12.0,12.0,12.0,13.0,2010-12-06,NWE,,NYJ,"W, 45-3",,2,1,12,12.0,0,50.0,6.0,0,0,0,0,0,0
12,13.0,13.0,13.0,14.0,2010-12-12,NWE,@,CHI,"W, 36-7",,6,5,43,8.6,1,83.3,7.2,0,0,0,0,0,0
13,14.0,14.0,14.0,15.0,2010-12-19,NWE,,GNB,"W, 31-27",*,2,1,25,25.0,0,50.0,12.5,0,0,0,0,0,0
14,15.0,15.0,15.0,16.0,2010-12-26,NWE,@,BUF,"W, 34-3",*,7,4,54,13.5,2,57.1,7.7,0,0,0,0,0,0
15,16.0,16.0,16.0,17.0,2011-01-02,NWE,,MIA,"W, 38-7",*,10,6,102,17.0,1,60.0,10.2,0,0,0,0,0,0
16,,,,,,,,,14-2,,59,42,546,13.0,10,71.2,9.3,1,1,0,0,0,0
