,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2010,21,NWE,NFL,TE,1.0,1.0,6.0,4.0,65.0,16.3,0.0,3.0,66.7,37.0,4.0,65.0,66.7,10.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.3,65.0,0.0,0.0,
1,2011,22,NWE,NFL,TE,3.0,3.0,23.0,17.0,258.0,15.2,3.0,15.0,73.9,28.0,5.7,86.0,73.9,11.2,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.2,258.0,3.0,0.0,
2,2012,23,NWE,NFL,TE,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2014,25,NWE,NFL,TE,3.0,3.0,31.0,16.0,204.0,12.8,3.0,12.0,41.9,46.0,5.3,68.0,51.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,16.0,12.8,204.0,3.0,0.0,
5,2015,26,NWE,NFL,TE,2.0,2.0,23.0,15.0,227.0,15.1,3.0,10.0,52.2,40.0,7.5,113.5,65.2,9.9,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.1,227.0,3.0,0.0,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2017,28,NWE,NFL,TE,3.0,3.0,27.0,16.0,218.0,13.6,3.0,15.0,59.3,27.0,5.3,72.7,59.3,8.1,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.6,218.0,3.0,0.0,
8,2018,29,NWE,NFL,TE,3.0,3.0,19.0,13.0,191.0,14.7,0.0,8.0,63.2,29.0,4.3,63.7,68.4,10.1,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.7,191.0,0.0,0.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2020,31,TAM,NFL,TE,4.0,4.0,14.0,8.0,110.0,13.8,2.0,6.0,50.0,29.0,2.0,27.5,57.1,7.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.8,110.0,2.0,0.0,
11,2021,32,TAM,NFL,TE,2.0,2.0,17.0,9.0,116.0,12.9,1.0,5.0,47.1,42.0,4.5,58.0,52.9,6.8,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.9,116.0,1.0,0.0,
12,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,22.0,22.0,161.0,98.0,1389.0,14.2,15.0,74.0,55.3,46.0,4.5,63.1,60.9,8.6,0.0,0.0,0.0,0.0,0.0,0.0,98.0,14.2,1389.0,15.0,0.0,
13,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,17.0,124.0,76.0,1073.0,14.2,12.0,57.0,55.3,46.0,4.5,63.1,60.9,8.6,0.0,0.0,0.0,0.0,0.0,0.0,76.0,14.2,1073.0,12.0,0.0,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NWE (7 Yrs),NWE (7 Yrs),NWE (7 Yrs),NWE (7 Yrs),,16.0,16.0,130.0,81.0,1163.0,14.4,12.0,63.0,56.9,46.0,5.1,72.7,62.3,8.9,0.0,0.0,0.0,0.0,0.0,0.0,81.0,14.4,1163.0,12.0,0.0,
16,TAM (2 Yrs),TAM (2 Yrs),TAM (2 Yrs),TAM (2 Yrs),,6.0,6.0,31.0,17.0,226.0,13.3,3.0,11.0,48.4,42.0,2.8,37.7,54.8,7.3,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.3,226.0,3.0,0.0,
