,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,66.0,1.0,1.0,2015-09-10,NWE,,PIT,"W, 28-21",*,8,5,94,18.8,3,62.5,11.8,0,0,0,,0,0,0,1,0,0,60,98.4,0,0.0,1,3.8
1,2.0,67.0,2.0,2.0,2015-09-20,NWE,@,BUF,"W, 40-32",*,13,7,113,16.1,1,53.8,8.7,0,0,0,,0,0,0,0,0,0,81,94.2,0,0.0,2,5.7
2,3.0,68.0,3.0,3.0,2015-09-27,NWE,,JAX,"W, 51-17",*,7,4,101,25.3,0,57.1,14.4,0,0,0,,0,0,0,0,0,0,53,66.3,0,0.0,1,3.2
3,4.0,69.0,4.0,5.0,2015-10-11,NWE,@,DAL,"W, 30-6",*,5,4,67,16.8,0,80.0,13.4,0,0,0,,0,0,0,0,0,0,57,96.6,0,0.0,0,0.0
4,5.0,70.0,5.0,6.0,2015-10-18,NWE,@,IND,"W, 34-27",*,5,3,50,16.7,1,60.0,10.0,1,5,0,5.0,0,0,0,0,0,0,66,97.1,0,0.0,1,2.9
5,6.0,71.0,6.0,7.0,2015-10-25,NWE,,NYJ,"W, 30-23",*,16,11,108,9.8,1,68.8,6.8,0,0,0,,0,0,0,0,0,0,67,100.0,0,0.0,1,3.2
6,7.0,72.0,7.0,8.0,2015-10-29,NWE,,MIA,"W, 36-7",*,9,6,113,18.8,1,66.7,12.6,0,0,0,,0,0,0,0,0,0,68,94.4,0,0.0,0,0.0
7,8.0,73.0,8.0,9.0,2015-11-08,NWE,,WAS,"W, 27-10",*,5,4,47,11.8,0,80.0,9.4,0,0,0,,0,0,0,0,0,0,78,97.5,0,0.0,1,4.5
8,9.0,74.0,9.0,10.0,2015-11-15,NWE,@,NYG,"W, 27-26",*,7,5,113,22.6,1,71.4,16.1,0,0,0,,0,0,0,0,0,0,71,98.6,0,0.0,0,0.0
9,10.0,75.0,10.0,11.0,2015-11-23,NWE,,BUF,"W, 20-13",*,7,2,37,18.5,0,28.6,5.3,0,0,0,,0,0,0,0,0,0,67,100.0,0,0.0,1,3.1
10,11.0,76.0,11.0,12.0,2015-11-29,NWE,@,DEN,"L, 24-30 (OT)",*,10,6,88,14.7,1,60.0,8.8,0,0,0,,0,0,0,0,0,0,56,84.8,0,0.0,0,0.0
11,11.0,,12.0,13.0,2015-12-06,NWE,,PHI,"L, 28-35",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,12.0,77.0,13.0,14.0,2015-12-13,NWE,@,HOU,"W, 27-6",*,4,4,87,21.8,1,100.0,21.8,0,0,0,,0,0,0,0,0,0,41,61.2,0,0.0,0,0.0
13,13.0,78.0,14.0,15.0,2015-12-20,NWE,,TEN,"W, 33-16",*,11,5,54,10.8,1,45.5,4.9,0,0,0,,0,0,0,0,0,0,62,93.9,0,0.0,0,0.0
14,14.0,79.0,15.0,16.0,2015-12-27,NWE,@,NYJ,"L, 20-26 (OT)",*,6,4,86,21.5,0,66.7,14.3,0,0,0,,0,0,0,0,0,0,55,98.2,0,0.0,0,0.0
15,15.0,80.0,16.0,17.0,2016-01-03,NWE,@,MIA,"L, 10-20",*,7,2,18,9.0,0,28.6,2.6,0,0,0,,0,0,0,0,0,0,55,91.7,0,0.0,0,0.0
16,,,,,,,,,12-3,,120,72,1176,16.3,11,60.0,9.8,1,5,0,5.0,0,0,0,1,0,0,937,91.2,0,0.0,8,1.8
