,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,20.0,1.0,1.0,2024-09-08,TEN,@,CHI,"L, 17-24",*,0.0,4,2,2,0,0,0,0,0.0,30,53.6,11,37.9
1,2.0,21.0,2.0,2.0,2024-09-15,TEN,,NYJ,"L, 17-24",,0.0,1,0,1,0,0,0,0,0.0,3,5.3,18,69.2
2,3.0,22.0,3.0,3.0,2024-09-22,TEN,,GNB,"L, 14-30",,0.0,1,1,0,0,0,0,0,0.0,0,0.0,26,92.9
3,4.0,23.0,4.0,4.0,2024-09-30,TEN,@,MIA,"W, 31-12",,0.0,0,0,0,0,0,0,0,0.0,2,3.3,24,77.4
4,5.0,24.0,5.0,6.0,2024-10-13,TEN,,IND,"L, 17-20",,0.0,0,0,0,0,0,0,0,0.0,0,0.0,16,61.5
5,6.0,25.0,6.0,7.0,2024-10-20,TEN,@,BUF,"L, 10-34",,0.0,1,1,0,0,0,0,0,0.0,12,21.8,21,75.0
6,7.0,26.0,7.0,8.0,2024-10-27,TEN,@,DET,"L, 14-52",*,0.0,8,4,4,0,0,0,0,0.0,48,100.0,25,75.8
7,8.0,27.0,8.0,9.0,2024-11-03,TEN,,NWE,"W, 20-17 (OT)",*,0.5,14,4,10,2,1,0,0,0.0,69,100.0,13,50.0
8,9.0,28.0,9.0,10.0,2024-11-10,TEN,@,LAC,"L, 17-27",*,0.0,15,10,5,0,0,0,0,0.0,59,100.0,15,57.7
9,10.0,29.0,10.0,11.0,2024-11-17,TEN,,MIN,"L, 13-23",*,0.0,0,0,0,0,0,0,0,0.0,12,16.4,11,42.3
10,10.0,,11.0,12.0,2024-11-24,TEN,@,HOU,"W, 32-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,10.0,,12.0,13.0,2024-12-01,TEN,@,WAS,"L, 19-42",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,10.0,,13.0,14.0,2024-12-08,TEN,,JAX,"L, 6-10",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,10.0,,14.0,15.0,2024-12-15,TEN,,CIN,"L, 27-37",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,10.0,,15.0,16.0,2024-12-22,TEN,@,IND,"L, 30-38",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,10.0,,16.0,17.0,2024-12-29,TEN,@,JAX,"L, 13-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,10.0,,17.0,18.0,2025-01-05,TEN,,HOU,"L, 14-23",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,2-8,,0.5,44,22,22,2,1,0,0,0.0,235,38.5,180,64.5
