,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,2.0,2.0,2022-09-19,TEN,@,BUF,"L, 7-41",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1,,,3.0,3.0,2022-09-25,TEN,,LVR,"W, 24-22",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,,4.0,4.0,2022-10-02,TEN,@,IND,"W, 24-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,,5.0,5.0,2022-10-09,TEN,@,WAS,"W, 21-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,,6.0,7.0,2022-10-23,TEN,,IND,"W, 19-10",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,,,7.0,8.0,2022-10-30,TEN,@,HOU,"W, 17-10",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,,8.0,9.0,2022-11-06,TEN,@,KAN,"L, 17-20 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,,9.0,10.0,2022-11-13,TEN,,DEN,"W, 17-10",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,,10.0,11.0,2022-11-17,TEN,@,GNB,"W, 27-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,,,11.0,12.0,2022-11-27,TEN,,CIN,"L, 16-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,,12.0,13.0,2022-12-04,TEN,@,PHI,"L, 10-35",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,1.0,1.0,13.0,14.0,2022-12-11,TEN,,JAX,"L, 22-36",,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,7,9.7,18,69.2
12,2.0,2.0,14.0,15.0,2022-12-18,TEN,@,LAC,"L, 14-17",,0.0,6,3,3,0,0,0,0,0,0,0,0,0.0,33,46.5,20,74.1
13,3.0,3.0,15.0,16.0,2022-12-24,TEN,,HOU,"L, 14-19",,0.0,8,4,4,0,0,0,1,7,0,1,0,0.0,48,71.6,22,91.7
14,4.0,4.0,16.0,17.0,2022-12-29,TEN,,DAL,"L, 13-27",*,0.0,10,5,5,0,0,0,0,0,0,0,0,0.0,80,100.0,17,68.0
15,5.0,5.0,17.0,18.0,2023-01-07,TEN,@,JAX,"L, 16-20",*,0.0,4,4,0,0,0,0,0,0,0,0,0,0.0,47,95.9,11,45.8
16,,,,,,,,,0-5,,0.0,28,16,12,0,0,0,1,7,0,1,0,0.0,215,63.4,88,69.8
