,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,6.0,1.0,1.0,2023-09-10,TEN,@,NOR,"L, 15-16",*,0.0,7,5,2,1,0,0,0,0,0,0,0,0.0,42,64.6,14,50.0
1,2.0,7.0,2.0,2.0,2023-09-17,TEN,,LAC,"W, 27-24 (OT)",*,0.0,5,3,2,0,0,0,0,0,0,0,0,0.0,45,66.2,12,40.0
2,3.0,8.0,3.0,3.0,2023-09-24,TEN,@,CLE,"L, 3-27",*,0.0,8,5,3,0,1,0,0,0,0,0,0,0.0,57,80.3,15,62.5
3,4.0,9.0,4.0,4.0,2023-10-01,TEN,,CIN,"W, 27-3",*,0.0,10,4,6,0,0,0,0,0,0,1,0,0.0,41,77.4,7,33.3
4,5.0,10.0,5.0,5.0,2023-10-08,TEN,@,IND,"L, 16-23",*,0.0,10,7,3,0,0,0,0,0,0,0,0,0.0,52,78.8,12,54.5
5,6.0,11.0,6.0,6.0,2023-10-15,TEN,,BAL,"L, 16-24",*,0.0,9,6,3,0,0,0,0,0,0,0,0,0.0,48,67.6,21,67.7
6,7.0,12.0,7.0,8.0,2023-10-29,TEN,,ATL,"W, 28-23",*,1.0,5,3,2,1,1,0,0,0,0,0,0,0.0,51,75.0,17,48.6
7,8.0,13.0,8.0,9.0,2023-11-02,TEN,@,PIT,"L, 16-20",*,0.0,6,4,2,0,0,0,0,0,0,0,0,0.0,53,81.5,8,33.3
8,9.0,14.0,9.0,10.0,2023-11-12,TEN,@,TAM,"L, 6-20",*,0.0,2,0,2,0,0,0,0,0,0,0,0,0.0,27,41.5,9,39.1
9,10.0,15.0,10.0,11.0,2023-11-19,TEN,@,JAX,"L, 14-34",,0.0,4,1,3,0,0,0,0,0,0,0,0,0.0,29,40.8,13,52.0
10,11.0,16.0,11.0,12.0,2023-11-26,TEN,,CAR,"W, 17-10",*,0.0,2,2,0,0,0,0,0,0,0,1,0,0.0,35,47.3,16,66.7
11,12.0,17.0,12.0,13.0,2023-12-03,TEN,,IND,"L, 28-31 (OT)",*,0.0,13,9,4,0,0,0,0,0,0,1,0,0.0,42,59.2,26,70.3
12,13.0,18.0,13.0,14.0,2023-12-11,TEN,@,MIA,"W, 28-27",*,0.0,6,3,3,0,0,0,0,0,0,0,0,0.0,52,72.2,17,54.8
13,14.0,19.0,14.0,15.0,2023-12-17,TEN,,HOU,"L, 16-19 (OT)",*,0.0,8,3,5,1,0,0,0,0,0,0,0,0.0,54,70.1,11,35.5
14,14.0,,15.0,16.0,2023-12-24,TEN,,SEA,"L, 17-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,14.0,,16.0,17.0,2023-12-31,TEN,@,HOU,"L, 3-26",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,14.0,,17.0,18.0,2024-01-07,TEN,,JAX,"W, 28-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,5-9,,1.0,95,55,40,3,2,0,0,0,0,3,0,0.0,628,65.6,198,51.3
